,UTC time,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,other
0,2023-06-26 00:00:00,405.17,1014.0,976.0,0.0,0.0,0.0,450.0,365.0,28.0
1,2023-06-26 01:00:00,409.51,1020.0,1566.0,0.0,0.0,0.0,430.0,304.0,30.0
2,2023-06-26 02:00:00,420.72,1021.0,1684.0,0.0,0.0,0.0,307.0,324.0,29.0
3,2023-06-26 03:00:00,455.66,1022.0,1650.0,0.0,0.0,0.0,139.0,241.0,29.0
4,2023-06-26 04:00:00,481.69,1020.0,1592.0,0.0,0.0,0.0,79.0,172.0,159.0
5,2023-06-26 05:00:00,476.94,1022.0,1292.0,0.0,0.0,0.0,72.0,279.0,166.0
6,2023-06-26 06:00:00,473.33,1022.0,1108.0,0.0,0.0,0.0,72.0,339.0,158.0
7,2023-06-26 07:00:00,473.26,1022.0,694.0,0.0,0.0,0.0,71.0,403.0,29.0
8,2023-06-26 08:00:00,501.54,1015.0,493.0,0.0,0.0,0.0,71.0,327.0,29.0
9,2023-06-26 09:00:00,513.27,939.0,416.0,0.0,0.0,0.0,73.0,266.0,31.0
10,2023-06-26 10:00:00,481.13,777.0,407.0,0.0,0.0,0.0,73.0,289.0,29.0
11,2023-06-26 11:00:00,482.6,704.0,336.0,0.0,0.0,0.0,68.0,264.0,30.0
12,2023-06-26 12:00:00,510.21,703.0,327.0,0.0,0.0,0.0,6.0,252.0,29.0
13,2023-06-26 13:00:00,510.28,702.0,325.0,0.0,0.0,0.0,4.0,254.0,30.0
14,2023-06-26 14:00:00,496.51,703.0,325.0,0.0,0.0,0.0,61.0,234.0,30.0
15,2023-06-26 15:00:00,448.23,703.0,290.0,0.0,0.0,0.0,238.0,208.0,27.0
16,2023-06-26 16:00:00,392.79,703.0,261.0,0.0,0.0,0.0,424.0,232.0,30.0
17,2023-06-26 17:00:00,373.22,701.0,353.0,0.0,0.0,0.0,461.0,277.0,27.0
18,2023-06-26 18:00:00,363.01,704.0,477.0,0.0,0.0,0.0,471.0,325.0,29.0
19,2023-06-26 19:00:00,351.44,706.0,487.0,0.0,0.0,0.0,481.0,389.0,37.0
20,2023-06-26 20:00:00,372.0,864.0,434.0,0.0,0.0,0.0,478.0,447.0,48.0
21,2023-06-26 21:00:00,394.67,1007.0,620.0,0.0,0.0,0.0,472.0,447.0,56.0
22,2023-06-26 22:00:00,396.96,1021.0,980.0,0.0,0.0,0.0,475.0,416.0,53.0
23,2023-06-26 23:00:00,397.29,1019.0,1170.0,0.0,0.0,0.0,470.0,405.0,56.0
