Unnamed: 0,UTC time,carbon_intensity,nat_gas,hydro,solar,wind,biomass,unknown
40632,2023-08-21 00:00:00,80.49,10.0,24.0,0.0,98.0,86.0,28.0
40633,2023-08-21 01:00:00,71.22,10.0,26.0,0.0,128.0,86.0,28.0
40634,2023-08-21 02:00:00,83.36,10.0,24.0,4.0,113.0,88.0,33.0
40635,2023-08-21 03:00:00,82.29,11.0,26.0,13.0,128.0,87.0,36.0
40636,2023-08-21 04:00:00,83.12,11.0,24.0,30.0,110.0,87.0,36.0
40637,2023-08-21 05:00:00,104.18,11.0,26.0,49.0,83.0,87.0,48.0
40638,2023-08-21 06:00:00,103.68,11.0,26.0,66.0,72.0,87.0,49.0
40639,2023-08-21 07:00:00,99.62,11.0,26.0,84.0,81.0,87.0,52.0
40640,2023-08-21 08:00:00,73.26,11.0,47.0,117.0,137.0,86.0,50.0
40641,2023-08-21 09:00:00,62.75,11.0,47.0,148.0,180.0,87.0,50.0
40642,2023-08-21 10:00:00,53.95,11.0,26.0,204.0,240.0,87.0,51.0
40643,2023-08-21 11:00:00,43.14,17.0,26.0,299.0,284.0,87.0,46.0
40644,2023-08-21 12:00:00,80.12,132.0,26.0,319.0,305.0,87.0,42.0
40645,2023-08-21 13:00:00,131.14,333.0,26.0,287.0,370.0,86.0,48.0
40646,2023-08-21 14:00:00,141.86,400.0,26.0,252.0,435.0,86.0,51.0
40647,2023-08-21 15:00:00,151.71,388.0,24.0,188.0,396.0,87.0,49.0
40648,2023-08-21 16:00:00,170.85,404.0,24.0,90.0,374.0,87.0,44.0
40649,2023-08-21 17:00:00,186.72,398.0,26.0,40.0,325.0,87.0,42.0
40650,2023-08-21 18:00:00,205.86,411.0,26.0,0.0,290.0,87.0,42.0
40651,2023-08-21 19:00:00,203.27,405.0,26.0,0.0,297.0,86.0,42.0
40652,2023-08-21 20:00:00,199.81,371.0,24.0,0.0,281.0,88.0,41.0
40653,2023-08-21 21:00:00,188.6,314.0,24.0,0.0,275.0,87.0,41.0
40654,2023-08-21 22:00:00,160.76,182.0,24.0,0.0,247.0,87.0,47.0
40655,2023-08-21 23:00:00,168.93,182.0,24.0,0.0,221.0,87.0,48.0
