Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,biomass,unknown
36312,2023-02-22 00:00:00,2024-07-17 00:00:00,3.1,273.62,1779.0,482.0,2773.0,1.0,1528.0,0.0,83.0,890.0,213.0
36313,2023-02-22 01:00:00,2024-07-17 00:00:00,3.1,274.11,1783.0,509.0,2773.0,1.0,1551.0,0.0,86.0,885.0,218.0
36314,2023-02-22 02:00:00,2024-07-17 00:00:00,3.1,274.85,1792.0,501.0,2773.0,1.0,1530.0,0.0,107.0,879.0,224.0
36315,2023-02-22 03:00:00,2024-07-17 00:00:00,3.1,273.63,1866.0,537.0,2773.0,0.0,1737.0,0.0,136.0,883.0,229.0
36316,2023-02-22 04:00:00,2024-07-17 00:00:00,3.1,272.93,1958.0,608.0,2773.0,0.0,1986.0,0.0,178.0,887.0,233.0
36317,2023-02-22 05:00:00,2024-07-17 00:00:00,3.1,275.33,1991.0,721.0,2773.0,0.0,2085.0,7.0,166.0,885.0,237.0
36318,2023-02-22 06:00:00,2024-07-17 00:00:00,3.1,264.7,1892.0,833.0,2773.0,0.0,2353.0,45.0,107.0,899.0,223.0
36319,2023-02-22 07:00:00,2024-07-17 00:00:00,3.1,265.47,1941.0,851.0,2774.0,32.0,2404.0,101.0,99.0,893.0,191.0
36320,2023-02-22 08:00:00,2024-07-17 00:00:00,3.1,270.93,2013.0,856.0,2774.0,1.0,2251.0,142.0,83.0,874.0,164.0
36321,2023-02-22 09:00:00,2024-07-17 00:00:00,3.1,272.08,2039.0,868.0,2774.0,13.0,2242.0,161.0,58.0,873.0,128.0
36322,2023-02-22 10:00:00,2024-07-17 00:00:00,3.1,271.68,2024.0,833.0,2772.0,1.0,2187.0,160.0,35.0,867.0,119.0
36323,2023-02-22 11:00:00,2024-07-17 00:00:00,3.1,270.59,1967.0,816.0,2772.0,1.0,2125.0,144.0,18.0,862.0,123.0
36324,2023-02-22 12:00:00,2024-07-17 00:00:00,3.1,270.53,1949.0,812.0,2772.0,1.0,2111.0,108.0,21.0,854.0,121.0
36325,2023-02-22 13:00:00,2024-07-17 00:00:00,3.1,271.51,1960.0,815.0,2773.0,1.0,2145.0,56.0,50.0,855.0,136.0
36326,2023-02-22 14:00:00,2024-07-17 00:00:00,3.1,268.56,1917.0,820.0,2773.0,1.0,2103.0,14.0,163.0,864.0,151.0
36327,2023-02-22 15:00:00,2024-07-17 00:00:00,3.1,252.02,1827.0,808.0,2773.0,1.0,2219.0,0.0,487.0,860.0,173.0
36328,2023-02-22 16:00:00,2024-07-17 00:00:00,3.1,229.59,1708.0,746.0,2774.0,1.0,2232.0,0.0,1054.0,859.0,190.0
36329,2023-02-22 17:00:00,2024-07-17 00:00:00,3.1,205.97,1563.0,702.0,2774.0,1.0,2113.0,0.0,1824.0,847.0,199.0
36330,2023-02-22 18:00:00,2024-07-17 00:00:00,3.1,177.76,1343.0,539.0,2773.0,1.0,2128.0,0.0,2370.0,837.0,205.0
36331,2023-02-22 19:00:00,2024-07-17 00:00:00,3.1,164.48,1198.0,491.0,2773.0,1.0,1994.0,0.0,2668.0,838.0,209.0
36332,2023-02-22 20:00:00,2024-07-17 00:00:00,3.1,159.07,1135.0,467.0,2773.0,1.0,1780.0,0.0,2883.0,810.0,208.0
36333,2023-02-22 21:00:00,2024-07-17 00:00:00,3.1,153.35,1062.0,430.0,2773.0,1.0,1432.0,0.0,3163.0,811.0,205.0
36334,2023-02-22 22:00:00,2024-07-17 00:00:00,3.1,148.7,995.0,410.0,2773.0,1.0,1204.0,0.0,3303.0,797.0,201.0
36335,2023-02-22 23:00:00,2024-07-17 00:00:00,3.1,146.74,934.0,397.0,2773.0,1.0,1044.0,0.0,3235.0,796.0,197.0
