UTC time,coal,nat_gas,nuclear,oil,hydro,solar,wind,biomass,geothermal,unknown
2023-03-07 00:00:00,2501.0,133.0,1820.0,28.0,30.0,27.0,0.0,0.0,0.0,0.0
2023-03-07 01:00:00,2510.0,134.0,1821.0,4.0,30.0,27.0,0.0,0.0,0.0,0.0
2023-03-07 02:00:00,2477.0,134.0,1819.0,0.0,30.0,27.0,0.0,0.0,0.0,0.0
2023-03-07 03:00:00,2450.0,146.0,1818.0,0.0,30.0,27.0,0.0,0.0,0.0,0.0
2023-03-07 04:00:00,2446.0,162.0,1820.0,3.0,30.0,27.0,0.0,0.0,0.0,0.0
2023-03-07 05:00:00,2502.0,157.0,2102.0,2.0,30.0,27.0,0.0,0.0,0.0,0.0
2023-03-07 06:00:00,2679.0,163.0,2104.0,0.0,30.0,27.0,0.0,0.0,0.0,0.0
2023-03-07 07:00:00,2891.0,139.0,2004.0,0.0,30.0,27.0,0.0,0.0,0.0,0.0
2023-03-07 08:00:00,2938.0,135.0,1970.0,0.0,30.0,27.0,0.0,0.0,0.0,0.0
2023-03-07 09:00:00,2937.0,137.0,2021.0,0.0,30.0,27.0,0.0,0.0,0.0,0.0
2023-03-07 10:00:00,2969.0,134.0,1916.0,0.0,30.0,27.0,0.0,0.0,0.0,0.0
2023-03-07 11:00:00,2995.0,137.0,1990.0,0.0,30.0,27.0,0.0,0.0,0.0,0.0
2023-03-07 12:00:00,2989.0,136.0,1943.0,0.0,30.0,27.0,0.0,0.0,0.0,0.0
2023-03-07 13:00:00,2990.0,141.0,1931.0,0.0,30.0,27.0,0.0,0.0,0.0,0.0
2023-03-07 14:00:00,2986.0,137.0,1913.0,0.0,30.0,27.0,0.0,0.0,0.0,0.0
2023-03-07 15:00:00,2978.0,137.0,1998.0,0.0,30.0,27.0,0.0,0.0,0.0,0.0
2023-03-07 16:00:00,2979.0,137.0,2026.0,0.0,30.0,27.0,0.0,0.0,0.0,0.0
2023-03-07 17:00:00,2990.0,139.0,1988.0,17.0,30.0,27.0,0.0,0.0,0.0,0.0
2023-03-07 18:00:00,3000.0,133.0,1976.0,42.0,30.0,27.0,0.0,0.0,0.0,0.0
2023-03-07 19:00:00,3011.0,137.0,1980.0,45.0,30.0,27.0,0.0,0.0,0.0,0.0
2023-03-07 20:00:00,3012.0,138.0,1929.0,37.0,30.0,27.0,0.0,0.0,0.0,0.0
2023-03-07 21:00:00,3018.0,136.0,1858.0,71.0,30.0,27.0,0.0,0.0,0.0,0.0
2023-03-07 22:00:00,3016.0,137.0,1820.0,150.0,30.0,27.0,0.0,0.0,0.0,0.0
2023-03-07 23:00:00,3021.0,135.0,1700.0,267.0,30.0,27.0,0.0,0.0,0.0,0.0
