UTC time,nat_gas,solar
2023-08-31 00:00:00,1018.0,185.0
2023-08-31 01:00:00,1035.0,117.0
2023-08-31 02:00:00,1029.0,52.0
2023-08-31 03:00:00,1014.0,46.0
2023-08-31 04:00:00,981.0,27.0
2023-08-31 05:00:00,865.0,8.0
2023-08-31 06:00:00,835.0,1.0
2023-08-31 07:00:00,647.0,0.0
2023-08-31 08:00:00,735.0,0.0
2023-08-31 09:00:00,639.0,0.0
2023-08-31 10:00:00,557.0,0.0
2023-08-31 11:00:00,557.0,0.0
2023-08-31 12:00:00,558.0,0.0
2023-08-31 13:00:00,566.0,0.0
2023-08-31 14:00:00,543.0,71.0
2023-08-31 15:00:00,535.0,183.0
2023-08-31 16:00:00,531.0,252.0
2023-08-31 17:00:00,503.0,261.0
2023-08-31 18:00:00,621.0,260.0
2023-08-31 19:00:00,715.0,244.0
2023-08-31 20:00:00,788.0,226.0
2023-08-31 21:00:00,911.0,202.0
2023-08-31 22:00:00,1057.0,204.0
2023-08-31 23:00:00,1063.0,214.0
