Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,solar
36024,2023-02-10 00:00:00,2024-07-17 00:00:00,3.1,326.57,391.0,52.0
36025,2023-02-10 01:00:00,2024-07-17 00:00:00,3.1,363.03,521.0,10.0
36026,2023-02-10 02:00:00,2024-07-17 00:00:00,3.1,369.4,620.0,1.0
36027,2023-02-10 03:00:00,2024-07-17 00:00:00,3.1,370.0,632.0,0.0
36028,2023-02-10 04:00:00,2024-07-17 00:00:00,3.1,370.0,624.0,0.0
36029,2023-02-10 05:00:00,2024-07-17 00:00:00,3.1,370.0,586.0,0.0
36030,2023-02-10 06:00:00,2024-07-17 00:00:00,3.1,370.0,523.0,0.0
36031,2023-02-10 07:00:00,2024-07-17 00:00:00,3.1,370.0,502.0,0.0
36032,2023-02-10 08:00:00,2024-07-17 00:00:00,3.1,370.0,460.0,0.0
36033,2023-02-10 09:00:00,2024-07-17 00:00:00,3.1,370.0,437.0,0.0
36034,2023-02-10 10:00:00,2024-07-17 00:00:00,3.1,370.0,430.0,0.0
36035,2023-02-10 11:00:00,2024-07-17 00:00:00,3.1,370.0,436.0,0.0
36036,2023-02-10 12:00:00,2024-07-17 00:00:00,3.1,370.0,465.0,0.0
36037,2023-02-10 13:00:00,2024-07-17 00:00:00,3.1,370.0,525.0,0.0
36038,2023-02-10 14:00:00,2024-07-17 00:00:00,3.1,370.0,618.0,0.0
36039,2023-02-10 15:00:00,2024-07-17 00:00:00,3.1,355.65,570.0,23.0
36040,2023-02-10 16:00:00,2024-07-17 00:00:00,3.1,317.14,444.0,74.0
36041,2023-02-10 17:00:00,2024-07-17 00:00:00,3.1,297.66,358.0,87.0
36042,2023-02-10 18:00:00,2024-07-17 00:00:00,3.1,289.68,321.0,89.0
36043,2023-02-10 19:00:00,2024-07-17 00:00:00,3.1,280.55,276.0,88.0
36044,2023-02-10 20:00:00,2024-07-17 00:00:00,3.1,270.43,239.0,88.0
36045,2023-02-10 21:00:00,2024-07-17 00:00:00,3.1,263.27,222.0,90.0
36046,2023-02-10 22:00:00,2024-07-17 00:00:00,3.1,263.27,222.0,90.0
36047,2023-02-10 23:00:00,2024-07-17 00:00:00,3.1,273.33,246.0,87.0
