Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,oil,hydro,solar,wind,other
43080,2023-12-01 00:00:00,2024-07-17 00:00:00,3.1,404.61,0.0,889.0,0.0,76.0,100.0,28.0,0.0
43081,2023-12-01 01:00:00,2024-07-17 00:00:00,3.1,364.9,0.0,885.0,0.0,171.0,134.0,27.0,0.0
43082,2023-12-01 02:00:00,2024-07-17 00:00:00,3.1,365.84,0.0,887.0,0.0,174.0,128.0,27.0,0.0
43083,2023-12-01 03:00:00,2024-07-17 00:00:00,3.1,383.12,0.0,888.0,0.0,177.0,63.0,27.0,0.0
43084,2023-12-01 04:00:00,2024-07-17 00:00:00,3.1,389.33,0.0,890.0,0.0,173.0,47.0,27.0,0.0
43085,2023-12-01 05:00:00,2024-07-17 00:00:00,3.1,387.64,0.0,889.0,0.0,176.0,48.0,28.0,0.0
43086,2023-12-01 06:00:00,2024-07-17 00:00:00,3.1,385.74,0.0,884.0,0.0,175.0,55.0,27.0,0.0
43087,2023-12-01 07:00:00,2024-07-17 00:00:00,3.1,377.68,0.0,865.0,0.0,163.0,89.0,27.0,0.0
43088,2023-12-01 08:00:00,2024-07-17 00:00:00,3.1,395.78,0.0,863.0,0.0,75.0,126.0,24.0,0.0
43089,2023-12-01 09:00:00,2024-07-17 00:00:00,3.1,388.71,0.0,863.0,0.0,78.0,143.0,26.0,0.0
43090,2023-12-01 10:00:00,2024-07-17 00:00:00,3.1,385.28,0.0,862.0,0.0,76.0,156.0,26.0,0.0
43091,2023-12-01 11:00:00,2024-07-17 00:00:00,3.1,388.27,0.0,862.0,0.0,78.0,143.0,27.0,0.0
43092,2023-12-01 12:00:00,2024-07-17 00:00:00,3.1,391.47,0.0,859.0,0.0,78.0,133.0,26.0,0.0
43093,2023-12-01 13:00:00,2024-07-17 00:00:00,3.1,394.0,0.0,862.0,0.0,76.0,128.0,26.0,0.0
43094,2023-12-01 14:00:00,2024-07-17 00:00:00,3.1,370.76,0.0,884.0,0.0,170.0,115.0,25.0,0.0
43095,2023-12-01 15:00:00,2024-07-17 00:00:00,3.1,365.57,0.0,887.0,0.0,176.0,128.0,26.0,0.0
43096,2023-12-01 16:00:00,2024-07-17 00:00:00,3.1,372.12,0.0,887.0,0.0,172.0,109.0,25.0,0.0
43097,2023-12-01 17:00:00,2024-07-17 00:00:00,3.1,375.0,0.0,889.0,0.0,173.0,96.0,27.0,0.0
43098,2023-12-01 18:00:00,2024-07-17 00:00:00,3.1,371.41,0.0,884.0,0.0,175.0,104.0,28.0,0.0
43099,2023-12-01 19:00:00,2024-07-17 00:00:00,3.1,373.07,0.0,861.0,0.0,173.0,95.0,27.0,2.0
43100,2023-12-01 20:00:00,2024-07-17 00:00:00,3.1,370.07,0.0,862.0,0.0,174.0,106.0,27.0,3.0
43101,2023-12-01 21:00:00,2024-07-17 00:00:00,3.1,387.55,0.0,859.0,0.0,111.0,114.0,27.0,5.0
43102,2023-12-01 22:00:00,2024-07-17 00:00:00,3.1,396.18,0.0,808.0,0.0,87.0,99.0,28.0,7.0
43103,2023-12-01 23:00:00,2024-07-17 00:00:00,3.1,382.48,0.0,762.0,0.0,91.0,120.0,28.0,5.0
