Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,hydro,wind,other
39240,2023-06-24 00:00:00,2024-07-17 00:00:00,3.1,244.07,0,643.0,153.0,214.0,26.0
39241,2023-06-24 01:00:00,2024-07-17 00:00:00,3.1,231.72,0,589.0,156.0,234.0,26.0
39242,2023-06-24 02:00:00,2024-07-17 00:00:00,3.1,222.6,0,557.0,152.0,258.0,26.0
39243,2023-06-24 03:00:00,2024-07-17 00:00:00,3.1,215.35,0,575.0,153.0,305.0,27.0
39244,2023-06-24 04:00:00,2024-07-17 00:00:00,3.1,231.73,0,610.0,155.0,246.0,25.0
39245,2023-06-24 05:00:00,2024-07-17 00:00:00,3.1,236.98,0,546.0,153.0,192.0,27.0
39246,2023-06-24 06:00:00,2024-07-17 00:00:00,3.1,262.6,0,521.0,140.0,104.0,26.0
39247,2023-06-24 07:00:00,2024-07-17 00:00:00,3.1,290.32,0,523.0,45.0,126.0,28.0
39248,2023-06-24 08:00:00,2024-07-17 00:00:00,3.1,280.96,0,523.0,44.0,150.0,27.0
39249,2023-06-24 09:00:00,2024-07-17 00:00:00,3.1,280.84,0,522.0,45.0,149.0,27.0
39250,2023-06-24 10:00:00,2024-07-17 00:00:00,3.1,264.0,0,526.0,47.0,196.0,27.0
39251,2023-06-24 11:00:00,2024-07-17 00:00:00,3.1,268.56,0,530.0,44.0,187.0,27.0
39252,2023-06-24 12:00:00,2024-07-17 00:00:00,3.1,284.95,0,531.0,45.0,142.0,28.0
39253,2023-06-24 13:00:00,2024-07-17 00:00:00,3.1,306.7,0,530.0,43.0,90.0,27.0
39254,2023-06-24 14:00:00,2024-07-17 00:00:00,3.1,304.7,0,513.0,43.0,90.0,26.0
39255,2023-06-24 15:00:00,2024-07-17 00:00:00,3.1,302.83,0,405.0,44.0,71.0,28.0
39256,2023-06-24 16:00:00,2024-07-17 00:00:00,3.1,306.38,0,367.0,43.0,56.0,26.0
39257,2023-06-24 17:00:00,2024-07-17 00:00:00,3.1,304.62,0,317.0,43.0,49.0,27.0
39258,2023-06-24 18:00:00,2024-07-17 00:00:00,3.1,337.2,0,452.0,44.0,19.0,27.0
39259,2023-06-24 19:00:00,2024-07-17 00:00:00,3.1,326.56,0,462.0,42.0,40.0,27.0
39260,2023-06-24 20:00:00,2024-07-17 00:00:00,3.1,327.71,0,462.0,43.0,37.0,27.0
39261,2023-06-24 21:00:00,2024-07-17 00:00:00,3.1,340.51,0,463.0,41.0,17.0,26.0
39262,2023-06-24 22:00:00,2024-07-17 00:00:00,3.1,340.59,0,468.0,43.0,16.0,27.0
39263,2023-06-24 23:00:00,2024-07-17 00:00:00,3.1,350.66,0,587.0,41.0,8.0,26.0
