Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,hydro,wind,other
39096,2023-06-18 00:00:00,2024-07-17 00:00:00,3.1,79.73,0,107.0,145.0,375.0,21.0
39097,2023-06-18 01:00:00,2024-07-17 00:00:00,3.1,79.24,0,107.0,147.0,377.0,21.0
39098,2023-06-18 02:00:00,2024-07-17 00:00:00,3.1,76.88,0,107.0,148.0,396.0,21.0
39099,2023-06-18 03:00:00,2024-07-17 00:00:00,3.1,76.81,0,108.0,147.0,395.0,20.0
39100,2023-06-18 04:00:00,2024-07-17 00:00:00,3.1,76.24,0,108.0,147.0,400.0,20.0
39101,2023-06-18 05:00:00,2024-07-17 00:00:00,3.1,75.96,0,108.0,146.0,410.0,21.0
39102,2023-06-18 06:00:00,2024-07-17 00:00:00,3.1,75.79,0,108.0,146.0,405.0,20.0
39103,2023-06-18 07:00:00,2024-07-17 00:00:00,3.1,79.81,0,108.0,136.0,387.0,21.0
39104,2023-06-18 08:00:00,2024-07-17 00:00:00,3.1,97.65,0,108.0,37.0,362.0,20.0
39105,2023-06-18 09:00:00,2024-07-17 00:00:00,3.1,100.31,0,108.0,37.0,348.0,20.0
39106,2023-06-18 10:00:00,2024-07-17 00:00:00,3.1,96.36,0,108.0,38.0,373.0,21.0
39107,2023-06-18 11:00:00,2024-07-17 00:00:00,3.1,96.91,0,108.0,35.0,368.0,20.0
39108,2023-06-18 12:00:00,2024-07-17 00:00:00,3.1,98.36,0,108.0,40.0,360.0,21.0
39109,2023-06-18 13:00:00,2024-07-17 00:00:00,3.1,98.63,0,107.0,36.0,355.0,20.0
39110,2023-06-18 14:00:00,2024-07-17 00:00:00,3.1,104.17,0,108.0,36.0,330.0,20.0
39111,2023-06-18 15:00:00,2024-07-17 00:00:00,3.1,120.11,0,108.0,36.0,272.0,22.0
39112,2023-06-18 16:00:00,2024-07-17 00:00:00,3.1,187.18,0,108.0,40.0,109.0,21.0
39113,2023-06-18 17:00:00,2024-07-17 00:00:00,3.1,192.78,0,107.0,41.0,99.0,21.0
39114,2023-06-18 18:00:00,2024-07-17 00:00:00,3.1,185.11,0,108.0,41.0,109.0,20.0
39115,2023-06-18 19:00:00,2024-07-17 00:00:00,3.1,131.59,0,107.0,41.0,227.0,22.0
39116,2023-06-18 20:00:00,2024-07-17 00:00:00,3.1,123.7,0,108.0,42.0,246.0,20.0
39117,2023-06-18 21:00:00,2024-07-17 00:00:00,3.1,93.09,0,107.0,44.0,383.0,21.0
39118,2023-06-18 22:00:00,2024-07-17 00:00:00,3.1,100.26,0,108.0,44.0,346.0,21.0
39119,2023-06-18 23:00:00,2024-07-17 00:00:00,3.1,97.63,0,108.0,42.0,362.0,21.0
