Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,hydro,wind,other
41088,2023-09-09 00:00:00,2024-07-17 00:00:00,3.1,446.37,0,1173.0,125.0,12.0,27.0
41089,2023-09-09 01:00:00,2024-07-17 00:00:00,3.1,443.72,0,1168.0,123.0,21.0,26.0
41090,2023-09-09 02:00:00,2024-07-17 00:00:00,3.1,438.93,0,1168.0,123.0,36.0,26.0
41091,2023-09-09 03:00:00,2024-07-17 00:00:00,3.1,431.57,0,1187.0,125.0,61.0,27.0
41092,2023-09-09 04:00:00,2024-07-17 00:00:00,3.1,430.18,0,1185.0,123.0,66.0,25.0
41093,2023-09-09 05:00:00,2024-07-17 00:00:00,3.1,438.76,0,1205.0,112.0,51.0,25.0
41094,2023-09-09 06:00:00,2024-07-17 00:00:00,3.1,473.79,0,1209.0,16.0,40.0,27.0
41095,2023-09-09 07:00:00,2024-07-17 00:00:00,3.1,476.77,0,1219.0,16.0,32.0,27.0
41096,2023-09-09 08:00:00,2024-07-17 00:00:00,3.1,482.48,0,1104.0,14.0,16.0,26.0
41097,2023-09-09 09:00:00,2024-07-17 00:00:00,3.1,484.84,0,1084.0,14.0,10.0,26.0
41098,2023-09-09 10:00:00,2024-07-17 00:00:00,3.1,483.75,0,1076.0,15.0,12.0,27.0
41099,2023-09-09 11:00:00,2024-07-17 00:00:00,3.1,483.55,0,1077.0,14.0,13.0,26.0
41100,2023-09-09 12:00:00,2024-07-17 00:00:00,3.1,477.84,0,1084.0,14.0,27.0,26.0
41101,2023-09-09 13:00:00,2024-07-17 00:00:00,3.1,477.77,0,1230.0,14.0,31.0,26.0
41102,2023-09-09 14:00:00,2024-07-17 00:00:00,3.1,479.56,0,1226.0,14.0,25.0,24.0
41103,2023-09-09 15:00:00,2024-07-17 00:00:00,3.1,475.18,0,1222.0,13.0,38.0,24.0
41104,2023-09-09 16:00:00,2024-07-17 00:00:00,3.1,474.9,0,1213.0,14.0,38.0,25.0
41105,2023-09-09 17:00:00,2024-07-17 00:00:00,3.1,472.12,0,1206.0,14.0,46.0,26.0
41106,2023-09-09 18:00:00,2024-07-17 00:00:00,3.1,473.81,0,1196.0,15.0,39.0,24.0
41107,2023-09-09 19:00:00,2024-07-17 00:00:00,3.1,477.48,0,1181.0,14.0,30.0,25.0
41108,2023-09-09 20:00:00,2024-07-17 00:00:00,3.1,476.68,0,1174.0,15.0,31.0,25.0
41109,2023-09-09 21:00:00,2024-07-17 00:00:00,3.1,474.73,0,1167.0,15.0,36.0,25.0
41110,2023-09-09 22:00:00,2024-07-17 00:00:00,3.1,477.66,0,1159.0,16.0,27.0,25.0
41111,2023-09-09 23:00:00,2024-07-17 00:00:00,3.1,438.71,0,1157.0,118.0,39.0,24.0
