UTC time,coal,nat_gas,hydro,wind,other
2023-06-17 00:00:00,0,368.0,177.0,337.0,23.0
2023-06-17 01:00:00,0,391.0,176.0,322.0,24.0
2023-06-17 02:00:00,0,404.0,172.0,318.0,25.0
2023-06-17 03:00:00,0,446.0,156.0,357.0,26.0
2023-06-17 04:00:00,0,344.0,58.0,353.0,27.0
2023-06-17 05:00:00,0,307.0,52.0,346.0,28.0
2023-06-17 06:00:00,0,344.0,151.0,354.0,27.0
2023-06-17 07:00:00,0,225.0,142.0,357.0,27.0
2023-06-17 08:00:00,0,108.0,39.0,346.0,25.0
2023-06-17 09:00:00,0,108.0,41.0,364.0,24.0
2023-06-17 10:00:00,0,108.0,38.0,363.0,22.0
2023-06-17 11:00:00,0,108.0,36.0,358.0,23.0
2023-06-17 12:00:00,0,108.0,35.0,328.0,24.0
2023-06-17 13:00:00,0,108.0,36.0,298.0,20.0
2023-06-17 14:00:00,0,108.0,35.0,278.0,21.0
2023-06-17 15:00:00,0,108.0,34.0,228.0,21.0
2023-06-17 16:00:00,0,108.0,35.0,199.0,20.0
2023-06-17 17:00:00,0,106.0,43.0,157.0,20.0
2023-06-17 18:00:00,0,107.0,33.0,162.0,21.0
2023-06-17 19:00:00,0,107.0,35.0,236.0,21.0
2023-06-17 20:00:00,0,107.0,35.0,353.0,21.0
2023-06-17 21:00:00,0,108.0,38.0,369.0,20.0
2023-06-17 22:00:00,0,107.0,114.0,370.0,21.0
2023-06-17 23:00:00,0,107.0,146.0,371.0,20.0
