Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,hydro,wind,other
42552,2023-11-09 00:00:00,2024-07-17 00:00:00,3.1,422.11,0,816.0,149.0,6.0,23.0
42553,2023-11-09 01:00:00,2024-07-17 00:00:00,3.1,424.5,0,922.0,147.0,19.0,23.0
42554,2023-11-09 02:00:00,2024-07-17 00:00:00,3.1,415.29,0,942.0,147.0,48.0,23.0
42555,2023-11-09 03:00:00,2024-07-17 00:00:00,3.1,420.67,0,944.0,144.0,36.0,23.0
42556,2023-11-09 04:00:00,2024-07-17 00:00:00,3.1,430.18,0,946.0,147.0,8.0,24.0
42557,2023-11-09 05:00:00,2024-07-17 00:00:00,3.1,433.64,0,947.0,141.0,6.0,26.0
42558,2023-11-09 06:00:00,2024-07-17 00:00:00,3.1,434.07,0,947.0,145.0,1.0,26.0
42559,2023-11-09 07:00:00,2024-07-17 00:00:00,3.1,433.42,0,949.0,146.0,2.0,26.0
42560,2023-11-09 08:00:00,2024-07-17 00:00:00,3.1,434.91,0,950.0,140.0,4.0,26.0
42561,2023-11-09 09:00:00,2024-07-17 00:00:00,3.1,402.46,0,955.0,231.0,10.0,26.0
42562,2023-11-09 10:00:00,2024-07-17 00:00:00,3.1,399.72,0,958.0,222.0,28.0,26.0
42563,2023-11-09 11:00:00,2024-07-17 00:00:00,3.1,394.52,0,960.0,209.0,57.0,25.0
42564,2023-11-09 12:00:00,2024-07-17 00:00:00,3.1,392.2,0,959.0,199.0,74.0,25.0
42565,2023-11-09 13:00:00,2024-07-17 00:00:00,3.1,388.2,0,958.0,197.0,89.0,25.0
42566,2023-11-09 14:00:00,2024-07-17 00:00:00,3.1,382.42,0,956.0,192.0,113.0,25.0
42567,2023-11-09 15:00:00,2024-07-17 00:00:00,3.1,378.67,0,955.0,194.0,123.0,24.0
42568,2023-11-09 16:00:00,2024-07-17 00:00:00,3.1,375.47,0,958.0,188.0,142.0,25.0
42569,2023-11-09 17:00:00,2024-07-17 00:00:00,3.1,375.62,0,956.0,174.0,149.0,19.0
42570,2023-11-09 18:00:00,2024-07-17 00:00:00,3.1,380.23,0,950.0,174.0,131.0,19.0
42571,2023-11-09 19:00:00,2024-07-17 00:00:00,3.1,374.74,0,949.0,176.0,148.0,19.0
42572,2023-11-09 20:00:00,2024-07-17 00:00:00,3.1,377.02,0,940.0,175.0,139.0,20.0
42573,2023-11-09 21:00:00,2024-07-17 00:00:00,3.1,376.42,0,940.0,172.0,144.0,20.0
42574,2023-11-09 22:00:00,2024-07-17 00:00:00,3.1,375.32,0,938.0,175.0,147.0,23.0
42575,2023-11-09 23:00:00,2024-07-17 00:00:00,3.1,379.5,0,937.0,171.0,136.0,23.0
