Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,hydro,wind,biomass,unknown
41448,2023-09-24 00:00:00,2024-07-17 00:00:00,3.1,429.03,150.0,0.0,22.0,12.0,9.0
41449,2023-09-24 01:00:00,2024-07-17 00:00:00,3.1,411.34,151.0,0.0,30.0,12.0,8.0
41450,2023-09-24 02:00:00,2024-07-17 00:00:00,3.1,412.77,151.0,0.0,30.0,12.0,9.0
41451,2023-09-24 03:00:00,2024-07-17 00:00:00,3.1,418.47,150.0,0.0,27.0,12.0,9.0
41452,2023-09-24 04:00:00,2024-07-17 00:00:00,3.1,430.16,156.0,0.0,23.0,16.0,13.0
41453,2023-09-24 05:00:00,2024-07-17 00:00:00,3.1,268.03,157.0,132.0,25.0,14.0,10.0
41454,2023-09-24 06:00:00,2024-07-17 00:00:00,3.1,232.11,155.0,198.0,26.0,18.0,15.0
41455,2023-09-24 07:00:00,2024-07-17 00:00:00,3.1,251.02,152.0,139.0,41.0,15.0,12.0
41456,2023-09-24 08:00:00,2024-07-17 00:00:00,3.1,328.62,151.0,22.0,65.0,15.0,12.0
41457,2023-09-24 09:00:00,2024-07-17 00:00:00,3.1,348.03,152.0,0.0,72.0,16.0,13.0
41458,2023-09-24 10:00:00,2024-07-17 00:00:00,3.1,418.64,151.0,0.0,28.0,16.0,13.0
41459,2023-09-24 11:00:00,2024-07-17 00:00:00,3.1,426.26,151.0,0.0,24.0,15.0,12.0
41460,2023-09-24 12:00:00,2024-07-17 00:00:00,3.1,381.26,151.0,0.0,49.0,16.0,13.0
41461,2023-09-24 13:00:00,2024-07-17 00:00:00,3.1,337.41,151.0,0.0,78.0,18.0,12.0
41462,2023-09-24 14:00:00,2024-07-17 00:00:00,3.1,340.68,151.0,0.0,74.0,19.0,11.0
41463,2023-09-24 15:00:00,2024-07-17 00:00:00,3.1,350.01,155.0,17.0,55.0,23.0,15.0
41464,2023-09-24 16:00:00,2024-07-17 00:00:00,3.1,224.53,155.0,202.0,37.0,23.0,15.0
41465,2023-09-24 17:00:00,2024-07-17 00:00:00,3.1,158.16,156.0,418.0,33.0,22.0,14.0
41466,2023-09-24 18:00:00,2024-07-17 00:00:00,3.1,203.34,156.0,260.0,29.0,20.0,14.0
41467,2023-09-24 19:00:00,2024-07-17 00:00:00,3.1,278.26,155.0,122.0,24.0,18.0,13.0
41468,2023-09-24 20:00:00,2024-07-17 00:00:00,3.1,422.39,149.0,7.0,19.0,16.0,13.0
41469,2023-09-24 21:00:00,2024-07-17 00:00:00,3.1,446.71,150.0,0.0,15.0,15.0,13.0
41470,2023-09-24 22:00:00,2024-07-17 00:00:00,3.1,460.85,151.0,0.0,9.0,15.0,13.0
41471,2023-09-24 23:00:00,2024-07-17 00:00:00,3.1,474.93,153.0,0.0,3.0,12.0,9.0
