Unnamed: 0,UTC time,carbon_intensity,nat_gas,hydro,wind,biomass,unknown
38352,2023-05-18 00:00:00,53.11,0.0,187.0,15.0,24.0,23.0
38353,2023-05-18 01:00:00,53.56,0.0,283.0,15.0,33.0,34.0
38354,2023-05-18 02:00:00,55.54,0.0,279.0,6.0,33.0,34.0
38355,2023-05-18 03:00:00,35.6,0.0,279.0,2.0,22.0,20.0
38356,2023-05-18 04:00:00,18.85,0.0,393.0,1.0,19.0,14.0
38357,2023-05-18 05:00:00,17.31,0.0,428.0,0.0,23.0,14.0
38358,2023-05-18 06:00:00,36.16,0.0,420.0,2.0,40.0,31.0
38359,2023-05-18 07:00:00,30.89,0.0,415.0,5.0,38.0,26.0
38360,2023-05-18 08:00:00,46.35,0.0,422.0,9.0,48.0,42.0
38361,2023-05-18 09:00:00,73.58,0.0,304.0,10.0,54.0,54.0
38362,2023-05-18 10:00:00,75.7,0.0,254.0,10.0,46.0,47.0
38363,2023-05-18 11:00:00,43.83,0.0,269.0,8.0,26.0,25.0
38364,2023-05-18 12:00:00,52.81,0.0,313.0,8.0,35.0,36.0
38365,2023-05-18 13:00:00,56.28,0.0,296.0,9.0,36.0,37.0
38366,2023-05-18 14:00:00,47.39,0.0,297.0,7.0,30.0,30.0
38367,2023-05-18 15:00:00,28.33,0.0,304.0,5.0,19.0,17.0
38368,2023-05-18 16:00:00,17.73,0.0,483.0,2.0,18.0,16.0
38369,2023-05-18 17:00:00,16.8,0.0,543.0,1.0,21.0,17.0
38370,2023-05-18 18:00:00,13.12,0.0,706.0,0.0,22.0,17.0
38371,2023-05-18 19:00:00,12.83,0.0,720.0,1.0,24.0,17.0
38372,2023-05-18 20:00:00,13.85,0.0,664.0,0.0,25.0,17.0
38373,2023-05-18 21:00:00,25.32,0.0,347.0,0.0,22.0,17.0
38374,2023-05-18 22:00:00,42.2,0.0,183.0,1.0,18.0,16.0
38375,2023-05-18 23:00:00,46.0,0.0,165.0,1.0,18.0,16.0
