Unnamed: 0,UTC time,carbon_intensity,nat_gas,hydro,wind,biomass,unknown
35736,2023-01-29 00:00:00,67.75,151.0,752.0,25.0,24.0,17.0
35737,2023-01-29 01:00:00,66.74,150.0,756.0,31.0,24.0,17.0
35738,2023-01-29 02:00:00,67.74,151.0,757.0,33.0,26.0,19.0
35739,2023-01-29 03:00:00,68.72,151.0,757.0,20.0,25.0,19.0
35740,2023-01-29 04:00:00,70.56,150.0,757.0,15.0,29.0,23.0
35741,2023-01-29 05:00:00,67.5,150.0,757.0,19.0,24.0,17.0
35742,2023-01-29 06:00:00,63.37,151.0,844.0,14.0,26.0,19.0
35743,2023-01-29 07:00:00,63.75,150.0,837.0,16.0,28.0,20.0
35744,2023-01-29 08:00:00,63.04,150.0,842.0,26.0,33.0,21.0
35745,2023-01-29 09:00:00,57.24,151.0,935.0,28.0,34.0,19.0
35746,2023-01-29 10:00:00,55.91,150.0,935.0,49.0,35.0,19.0
35747,2023-01-29 11:00:00,56.19,151.0,937.0,56.0,35.0,20.0
35748,2023-01-29 12:00:00,57.17,152.0,951.0,53.0,36.0,23.0
35749,2023-01-29 13:00:00,57.23,150.0,951.0,55.0,40.0,25.0
35750,2023-01-29 14:00:00,55.16,151.0,1048.0,61.0,45.0,31.0
35751,2023-01-29 15:00:00,57.65,162.0,989.0,66.0,38.0,24.0
35752,2023-01-29 16:00:00,63.56,190.0,974.0,77.0,34.0,21.0
35753,2023-01-29 17:00:00,64.33,191.0,994.0,85.0,35.0,26.0
35754,2023-01-29 18:00:00,58.89,154.0,854.0,100.0,26.0,19.0
35755,2023-01-29 19:00:00,61.01,149.0,846.0,104.0,32.0,27.0
35756,2023-01-29 20:00:00,59.11,150.0,813.0,108.0,25.0,18.0
35757,2023-01-29 21:00:00,62.78,151.0,814.0,106.0,31.0,26.0
35758,2023-01-29 22:00:00,62.69,152.0,797.0,107.0,29.0,23.0
35759,2023-01-29 23:00:00,62.4,151.0,753.0,107.0,24.0,17.0
