UTC time,nuclear,hydro,solar,wind
2023-08-14 00:00:00,2572.0,1216.0,0.0,11.0
2023-08-14 01:00:00,2572.0,1312.0,0.0,14.0
2023-08-14 02:00:00,2570.0,1597.0,0.0,13.0
2023-08-14 03:00:00,2574.0,2083.0,0.0,8.0
2023-08-14 04:00:00,2576.0,2582.0,2.0,10.0
2023-08-14 05:00:00,2578.0,2767.0,128.0,10.0
2023-08-14 06:00:00,2575.0,2347.0,447.0,10.0
2023-08-14 07:00:00,2568.0,2395.0,1066.0,12.0
2023-08-14 08:00:00,2568.0,1099.0,1525.0,9.0
2023-08-14 09:00:00,2555.0,1077.0,1389.0,14.0
2023-08-14 10:00:00,2548.0,911.0,1141.0,7.0
2023-08-14 11:00:00,2543.0,871.0,1901.0,12.0
2023-08-14 12:00:00,2543.0,812.0,953.0,15.0
2023-08-14 13:00:00,2543.0,807.0,1823.0,11.0
2023-08-14 14:00:00,2544.0,905.0,1780.0,11.0
2023-08-14 15:00:00,2540.0,1982.0,1415.0,12.0
2023-08-14 16:00:00,2538.0,2236.0,810.0,8.0
2023-08-14 17:00:00,2538.0,2541.0,304.0,5.0
2023-08-14 18:00:00,2541.0,2807.0,49.0,3.0
2023-08-14 19:00:00,2545.0,2769.0,0.0,1.0
2023-08-14 20:00:00,2553.0,2085.0,0.0,5.0
2023-08-14 21:00:00,2556.0,1846.0,0.0,6.0
2023-08-14 22:00:00,2559.0,2171.0,0.0,7.0
2023-08-14 23:00:00,2565.0,1951.0,0.0,6.0
