,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,hydro,solar,wind,other
0,2023-08-20 00:00:00,2023-08-21 21:40:21,3.0,490.4,30902.0,38774.0,10525.0,2665.0,1108.0,7446.0,819.0
1,2023-08-20 01:00:00,2023-08-21 21:40:21,3.0,499.32,30481.0,37847.0,10525.0,1738.0,176.0,7256.0,781.0
2,2023-08-20 02:00:00,2023-08-21 21:40:21,3.0,493.89,29073.0,36401.0,10523.0,878.0,1.0,8317.0,780.0
3,2023-08-20 03:00:00,2023-08-21 21:40:21,3.0,473.81,26690.0,33620.0,10523.0,602.0,1.0,10426.0,761.0
4,2023-08-20 04:00:00,2023-08-21 21:40:21,3.0,455.51,23857.0,30725.0,10529.0,568.0,1.0,11303.0,753.0
5,2023-08-20 05:00:00,2023-08-21 21:40:21,3.0,447.7,22396.0,28614.0,10534.0,517.0,1.0,11291.0,758.0
6,2023-08-20 06:00:00,2023-08-21 21:40:21,3.0,438.75,21139.0,26074.0,10537.0,503.0,1.0,11427.0,758.0
7,2023-08-20 07:00:00,2023-08-21 21:40:21,3.0,418.03,18549.0,22828.0,10542.0,559.0,1.0,11819.0,754.0
8,2023-08-20 08:00:00,2023-08-21 21:40:21,3.0,406.25,16987.0,21628.0,10571.0,563.0,1.0,11832.0,750.0
9,2023-08-20 09:00:00,2023-08-21 21:40:21,3.0,396.73,16350.0,20344.0,10614.0,563.0,1.0,12316.0,746.0
10,2023-08-20 10:00:00,2023-08-21 21:40:21,3.0,399.17,16172.0,19994.0,10629.0,561.0,1.0,11640.0,741.0
11,2023-08-20 11:00:00,2023-08-21 21:40:21,3.0,400.35,16116.0,19647.0,10635.0,564.0,1.0,11311.0,741.0
12,2023-08-20 12:00:00,2023-08-21 21:40:21,3.0,400.35,16111.0,19213.0,10653.0,564.0,75.0,11120.0,741.0
13,2023-08-20 13:00:00,2023-08-21 21:40:21,3.0,405.49,16198.0,21553.0,10691.0,561.0,852.0,10207.0,744.0
14,2023-08-20 14:00:00,2023-08-21 21:40:21,3.0,421.94,16653.0,26238.0,10719.0,559.0,2040.0,7881.0,753.0
15,2023-08-20 15:00:00,2023-08-21 21:40:21,3.0,449.14,19301.0,30525.0,10740.0,560.0,2566.0,5991.0,756.0
16,2023-08-20 16:00:00,2023-08-21 21:40:21,3.0,476.23,23482.0,34665.0,10744.0,597.0,2852.0,4798.0,759.0
17,2023-08-20 17:00:00,2023-08-21 21:40:21,3.0,494.93,27135.0,39178.0,10736.0,740.0,2887.0,4032.0,761.0
18,2023-08-20 18:00:00,2023-08-21 21:40:21,3.0,503.82,29589.0,42864.0,10725.0,1090.0,2852.0,3670.0,772.0
19,2023-08-20 19:00:00,2023-08-21 21:40:21,3.0,504.8,30868.0,46239.0,10637.0,1812.0,2808.0,3638.0,797.0
20,2023-08-20 20:00:00,2023-08-21 21:40:21,3.0,503.6,31638.0,47904.0,10551.0,2448.0,2749.0,3846.0,800.0
21,2023-08-20 21:00:00,2023-08-21 21:40:21,3.0,501.73,32331.0,49350.0,10550.0,2725.0,2646.0,4482.0,834.0
22,2023-08-20 22:00:00,2023-08-21 21:40:21,3.0,500.21,32942.0,50570.0,10546.0,3246.0,2404.0,4907.0,858.0
23,2023-08-20 23:00:00,2023-08-21 21:40:21,3.0,499.51,33124.0,51117.0,10548.0,3238.0,2060.0,5499.0,873.0
