Unnamed: 0,UTC time,carbon_intensity,coal,nat_gas,oil,hydro,solar,wind
40992,2023-09-05 00:00:00,275.31,0.0,1876.0,0.0,4.0,0.0,1520.0
40993,2023-09-05 01:00:00,279.84,0.0,1893.0,0.0,5.0,0.0,1475.0
40994,2023-09-05 02:00:00,284.31,0.0,1975.0,0.0,97.0,0.0,1394.0
40995,2023-09-05 03:00:00,259.68,0.0,1998.0,0.0,451.0,0.0,1423.0
40996,2023-09-05 04:00:00,242.25,0.0,2065.0,0.0,754.0,43.0,1464.0
40997,2023-09-05 05:00:00,252.58,0.0,2541.0,0.0,791.0,293.0,1497.0
40998,2023-09-05 06:00:00,260.86,0.0,2667.0,0.0,526.0,505.0,1511.0
40999,2023-09-05 07:00:00,232.96,0.0,2204.0,0.0,293.0,1002.0,1428.0
41000,2023-09-05 08:00:00,195.45,0.0,1732.0,0.0,177.0,1295.0,1545.0
41001,2023-09-05 09:00:00,190.92,0.0,1753.0,0.0,122.0,1409.0,1658.0
41002,2023-09-05 10:00:00,190.16,0.0,1642.0,0.0,92.0,1145.0,1735.0
41003,2023-09-05 11:00:00,190.78,0.0,1620.0,0.0,56.0,1104.0,1749.0
41004,2023-09-05 12:00:00,178.26,0.0,1516.0,0.0,46.0,1230.0,1803.0
41005,2023-09-05 13:00:00,189.26,0.0,1551.0,0.0,66.0,993.0,1752.0
41006,2023-09-05 14:00:00,209.12,0.0,1803.0,0.0,294.0,615.0,1772.0
41007,2023-09-05 15:00:00,237.57,0.0,2272.0,0.0,480.0,254.0,1863.0
41008,2023-09-05 16:00:00,251.3,0.0,2584.0,0.0,749.0,40.0,1824.0
41009,2023-09-05 17:00:00,258.45,0.0,2778.0,0.0,811.0,0.0,1831.0
41010,2023-09-05 18:00:00,276.02,0.0,3030.0,0.0,745.0,0.0,1738.0
41011,2023-09-05 19:00:00,284.79,0.0,3009.0,0.0,540.0,0.0,1741.0
41012,2023-09-05 20:00:00,278.69,0.0,2830.0,0.0,411.0,0.0,1843.0
41013,2023-09-05 21:00:00,270.84,0.0,2481.0,0.0,147.0,0.0,1953.0
41014,2023-09-05 22:00:00,263.41,0.0,2173.0,0.0,4.0,0.0,1947.0
41015,2023-09-05 23:00:00,265.67,0.0,2117.0,0.0,4.0,0.0,1861.0
