Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,oil,hydro,solar,wind
38064,2023-05-06 00:00:00,2024-07-17 00:00:00,3.1,162.78,416.0,336.0,0.0,74.0,0.0,2458.0
38065,2023-05-06 01:00:00,2024-07-17 00:00:00,3.1,160.19,412.0,330.0,0.0,153.0,0.0,2412.0
38066,2023-05-06 02:00:00,2024-07-17 00:00:00,3.1,162.66,426.0,321.0,0.0,172.0,0.0,2382.0
38067,2023-05-06 03:00:00,2024-07-17 00:00:00,3.1,169.18,445.0,364.0,0.0,200.0,11.0,2377.0
38068,2023-05-06 04:00:00,2024-07-17 00:00:00,3.1,164.11,447.0,357.0,0.0,143.0,248.0,2351.0
38069,2023-05-06 05:00:00,2024-07-17 00:00:00,3.1,150.55,444.0,399.0,0.0,178.0,862.0,2287.0
38070,2023-05-06 06:00:00,2024-07-17 00:00:00,3.1,136.15,445.0,424.0,0.0,168.0,1591.0,2321.0
38071,2023-05-06 07:00:00,2024-07-17 00:00:00,3.1,120.77,415.0,396.0,0.0,132.0,2207.0,2336.0
38072,2023-05-06 08:00:00,2024-07-17 00:00:00,3.1,107.04,406.0,274.0,0.0,94.0,2685.0,2291.0
38073,2023-05-06 09:00:00,2024-07-17 00:00:00,3.1,107.06,406.0,288.0,0.0,96.0,2757.0,2297.0
38074,2023-05-06 10:00:00,2024-07-17 00:00:00,3.1,108.76,407.0,282.0,0.0,110.0,2590.0,2276.0
38075,2023-05-06 11:00:00,2024-07-17 00:00:00,3.1,113.1,414.0,306.0,0.0,78.0,2423.0,2312.0
38076,2023-05-06 12:00:00,2024-07-17 00:00:00,3.1,114.35,412.0,280.0,0.0,63.0,2192.0,2305.0
38077,2023-05-06 13:00:00,2024-07-17 00:00:00,3.1,120.54,410.0,300.0,0.0,71.0,1871.0,2277.0
38078,2023-05-06 14:00:00,2024-07-17 00:00:00,3.1,130.71,416.0,298.0,0.0,112.0,1469.0,2138.0
38079,2023-05-06 15:00:00,2024-07-17 00:00:00,3.1,173.86,412.0,599.0,0.0,115.0,836.0,2030.0
38080,2023-05-06 16:00:00,2024-07-17 00:00:00,3.1,203.39,414.0,813.0,0.0,367.0,233.0,2004.0
38081,2023-05-06 17:00:00,2024-07-17 00:00:00,3.1,221.35,434.0,980.0,0.0,541.0,11.0,1970.0
38082,2023-05-06 18:00:00,2024-07-17 00:00:00,3.1,232.31,433.0,1104.0,0.0,523.0,0.0,1943.0
38083,2023-05-06 19:00:00,2024-07-17 00:00:00,3.1,240.17,430.0,1034.0,0.0,420.0,0.0,1819.0
38084,2023-05-06 20:00:00,2024-07-17 00:00:00,3.1,244.15,429.0,920.0,0.0,292.0,0.0,1754.0
38085,2023-05-06 21:00:00,2024-07-17 00:00:00,3.1,246.76,424.0,850.0,0.0,128.0,0.0,1787.0
38086,2023-05-06 22:00:00,2024-07-17 00:00:00,3.1,242.71,414.0,716.0,0.0,7.0,0.0,1789.0
38087,2023-05-06 23:00:00,2024-07-17 00:00:00,3.1,216.83,420.0,455.0,0.0,6.0,0.0,1829.0
