Unnamed: 0,UTC time,carbon_intensity,coal,nat_gas,oil,solar,wind,biomass
36696,2023-03-10 00:00:00,407.57,682.0,282.0,42.0,0.0,490.0,678.0
36697,2023-03-10 01:00:00,447.07,714.0,283.0,42.0,0.0,321.0,677.0
36698,2023-03-10 02:00:00,452.81,701.0,292.0,42.0,0.0,285.0,676.0
36699,2023-03-10 03:00:00,419.45,679.0,377.0,42.0,0.0,443.0,672.0
36700,2023-03-10 04:00:00,398.21,733.0,436.0,40.0,0.0,635.0,674.0
36701,2023-03-10 05:00:00,369.26,786.0,509.0,44.0,1.0,918.0,710.0
36702,2023-03-10 06:00:00,354.2,862.0,559.0,39.0,50.0,1117.0,726.0
36703,2023-03-10 07:00:00,340.31,911.0,560.0,37.0,218.0,1180.0,719.0
36704,2023-03-10 08:00:00,323.41,933.0,565.0,50.0,424.0,1247.0,708.0
36705,2023-03-10 09:00:00,305.22,828.0,546.0,46.0,557.0,1169.0,719.0
36706,2023-03-10 10:00:00,318.15,859.0,560.0,48.0,642.0,992.0,717.0
36707,2023-03-10 11:00:00,303.59,793.0,519.0,47.0,602.0,1077.0,703.0
36708,2023-03-10 12:00:00,298.17,731.0,533.0,49.0,544.0,1093.0,724.0
36709,2023-03-10 13:00:00,295.19,685.0,505.0,45.0,440.0,1124.0,680.0
36710,2023-03-10 14:00:00,304.32,703.0,496.0,44.0,274.0,1187.0,681.0
36711,2023-03-10 15:00:00,312.28,745.0,549.0,47.0,138.0,1323.0,683.0
36712,2023-03-10 16:00:00,311.46,734.0,578.0,48.0,35.0,1418.0,704.0
36713,2023-03-10 17:00:00,326.83,811.0,618.0,48.0,1.0,1411.0,727.0
36714,2023-03-10 18:00:00,300.32,736.0,602.0,49.0,1.0,1583.0,790.0
36715,2023-03-10 19:00:00,289.38,737.0,530.0,48.0,1.0,1662.0,872.0
36716,2023-03-10 20:00:00,275.78,705.0,461.0,46.0,1.0,1722.0,949.0
36717,2023-03-10 21:00:00,256.93,663.0,432.0,44.0,1.0,1898.0,903.0
36718,2023-03-10 22:00:00,233.69,537.0,360.0,42.0,1.0,1892.0,838.0
36719,2023-03-10 23:00:00,233.28,572.0,269.0,46.0,0.0,1894.0,869.0
