UTC time,nat_gas,hydro,wind,biomass,unknown
2023-01-29 00:00:00,151.0,752.0,25.0,24.0,17.0
2023-01-29 01:00:00,150.0,756.0,31.0,24.0,17.0
2023-01-29 02:00:00,151.0,757.0,33.0,26.0,19.0
2023-01-29 03:00:00,151.0,757.0,20.0,25.0,19.0
2023-01-29 04:00:00,150.0,757.0,15.0,29.0,23.0
2023-01-29 05:00:00,150.0,757.0,19.0,24.0,17.0
2023-01-29 06:00:00,151.0,844.0,14.0,26.0,19.0
2023-01-29 07:00:00,150.0,837.0,16.0,28.0,20.0
2023-01-29 08:00:00,150.0,842.0,26.0,33.0,21.0
2023-01-29 09:00:00,151.0,935.0,28.0,34.0,19.0
2023-01-29 10:00:00,150.0,935.0,49.0,35.0,19.0
2023-01-29 11:00:00,151.0,937.0,56.0,35.0,20.0
2023-01-29 12:00:00,152.0,951.0,53.0,36.0,23.0
2023-01-29 13:00:00,150.0,951.0,55.0,40.0,25.0
2023-01-29 14:00:00,151.0,1048.0,61.0,45.0,31.0
2023-01-29 15:00:00,162.0,989.0,66.0,38.0,24.0
2023-01-29 16:00:00,190.0,974.0,77.0,34.0,21.0
2023-01-29 17:00:00,191.0,994.0,85.0,35.0,26.0
2023-01-29 18:00:00,154.0,854.0,100.0,26.0,19.0
2023-01-29 19:00:00,149.0,846.0,104.0,32.0,27.0
2023-01-29 20:00:00,150.0,813.0,108.0,25.0,18.0
2023-01-29 21:00:00,151.0,814.0,106.0,31.0,26.0
2023-01-29 22:00:00,152.0,797.0,107.0,29.0,23.0
2023-01-29 23:00:00,151.0,753.0,107.0,24.0,17.0
