,UTC time,Local time,net_generation,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,other,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_hydro_production_forecast,avg_nat_gas_production_forecast,avg_other_production_forecast,avg_wind_production_forecast,avg_nuclear_production_forecast,avg_solar_production_forecast
0,01/01/2020 00:00:00,2019-12-31 19:00:00,12109,312.21,1,6616,3309,0,1227,0,291,665,6.93297548047715,272.680643859415,269.298632589874,75.0355525577088,0.204371904255401,1740.9839,6347.4424,669.813,708.74524,3366.32,1.1368235
1,01/01/2020 01:00:00,2019-12-31 20:00:00,11240,315.8,2,6162,3305,0,869,0,237,665,6.94433523528569,272.615470875565,269.373698809366,0,0.064441609721642,1410.1968,6153.276,667.5305,701.40955,3365.1511,0.83148533
2,01/01/2020 02:00:00,2019-12-31 21:00:00,10515,307.33,0,5505,3317,0,821,0,197,675,6.94433523528569,272.615470875565,269.373698809366,0,0.064441609721642,1093.9136,5735.9517,671.0421,706.7648,3335.0938,0
3,01/01/2020 03:00:00,2019-12-31 22:00:00,9920,299.7,1,4960,3324,0,796,0,151,687,6.94433523528569,272.615470875565,269.373698809366,0,0.064441609721642,879.9545,4925.5156,668.36536,712.36053,3359.6177,0
4,01/01/2020 04:00:00,2019-12-31 23:00:00,9202,289.05,2,4343,3308,0,767,0,110,673,6.48252912196085,271.987613098092,268.725613830092,0,0.149206432312595,823.68695,4281.994,671.84814,721.96387,3351.4185,0.40886477
5,01/01/2020 05:00:00,2020-01-01 00:00:00,8774,279.24,1,3903,3325,0,733,0,130,683,6.48252912196085,271.987613098092,268.725613830092,0,0.149206432312595,789.62634,3721.0562,673.1427,724.1887,3359.0461,0
6,01/01/2020 06:00:00,2020-01-01 01:00:00,8751,277.77,2,3887,3341,0,674,0,181,666,6.48252912196085,271.987613098092,268.725613830092,0,0.149206432312595,732.2618,3166.2407,675.7773,725.3564,3375.4685,0
7,01/01/2020 07:00:00,2020-01-01 02:00:00,8397,269.85,1,3562,3316,0,655,0,203,660,5.91569582029552,271.522231605962,268.335269200377,0,0.010988006145599,660.86145,2912.7627,678.66016,730.18243,3348.8171,0
8,01/01/2020 08:00:00,2020-01-01 03:00:00,8056,257.34,0,3175,3311,0,678,0,236,655,5.91569582029552,271.522231605962,268.335269200377,0,0.010988006145599,607.915,2712.9905,676.7623,718.70026,3370.5688,0
9,01/01/2020 09:00:00,2020-01-01 04:00:00,8047,252.8,2,3107,3342,0,682,0,270,644,5.91569582029552,271.522231605962,268.335269200377,0,0.010988006145599,588.0302,2995.2527,675.26904,713.8997,3374.945,0
