,UTC time,Local time,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,avg_wind_production_forecast
138,01/06/2019 18:00:00,2019-01-06 13:00:00,229.14,5,3333,4019,0,950,52,637,0
139,01/06/2019 19:00:00,2019-01-06 14:00:00,225.29,3,3331,4029,0,949,57,793,0
140,01/06/2019 20:00:00,2019-01-06 15:00:00,228.42,4,3534,4041,0,975,41,879,0
141,01/06/2019 21:00:00,2019-01-06 16:00:00,239.51,3,4012,4049,0,985,11,917,0
142,01/06/2019 22:00:00,2019-01-06 17:00:00,251.56,2,4812,4068,0,1186,1,967,0
143,01/06/2019 23:00:00,2019-01-06 18:00:00,263.25,0,5895,4045,0,1600,0,1018,0
144,01/07/2019 00:00:00,2019-01-06 19:00:00,265.09,0,5919,4001,0,1599,0,995,0
145,01/07/2019 01:00:00,2019-01-06 20:00:00,263.85,1,5722,4005,0,1439,0,1013,0
146,01/07/2019 02:00:00,2019-01-06 21:00:00,269.97,0,5761,3987,0,1131,0,1008,0
147,01/07/2019 03:00:00,2019-01-06 22:00:00,262.53,0,5058,3962,0,896,0,994,0
148,01/07/2019 04:00:00,2019-01-06 23:00:00,244.66,0,4219,3977,0,877,0,1002,0
149,01/07/2019 05:00:00,2019-01-07 00:00:00,226.87,0,3467,3971,0,870,0,992,0
150,01/07/2019 06:00:00,2019-01-07 01:00:00,211.37,0,2829,3921,0,844,0,938,0
151,01/07/2019 07:00:00,2019-01-07 02:00:00,210.26,0,2776,4007,0,825,0,899,0
152,01/07/2019 08:00:00,2019-01-07 03:00:00,219.6,0,2998,3833,0,781,0,942,0
153,01/07/2019 09:00:00,2019-01-07 04:00:00,217.16,0,2930,3919,0,770,0,905,0
154,01/07/2019 10:00:00,2019-01-07 05:00:00,229.42,0,3320,4024,0,762,0,781,0
155,01/07/2019 11:00:00,2019-01-07 06:00:00,245.33,1,3894,4041,0,767,0,756,0
156,01/07/2019 12:00:00,2019-01-07 07:00:00,274.11,1,5544,4078,0,961,0,794,0
157,01/07/2019 13:00:00,2019-01-07 08:00:00,287.58,0,6453,4021,0,998,1,859,0
158,01/07/2019 14:00:00,2019-01-07 09:00:00,280.42,0,5945,3992,0,998,20,803,0
159,01/07/2019 15:00:00,2019-01-07 10:00:00,275.07,2,5517,4000,0,975,56,715,0
160,01/07/2019 16:00:00,2019-01-07 11:00:00,273.34,1,5328,4016,0,985,84,609,0
161,01/07/2019 17:00:00,2019-01-07 12:00:00,272.4,1,5167,4016,0,933,93,575,0
162,01/07/2019 18:00:00,2019-01-07 13:00:00,282.06,0,5656,4045,0,906,85,519,0
163,01/07/2019 19:00:00,2019-01-07 14:00:00,287.78,1,5842,4024,0,910,66,436,0
164,01/07/2019 20:00:00,2019-01-07 15:00:00,290.74,1,5951,4034,0,917,44,395,0
165,01/07/2019 21:00:00,2019-01-07 16:00:00,301.7,1,6568,4034,0,931,16,363,0
166,01/07/2019 22:00:00,2019-01-07 17:00:00,305.18,2,7127,4068,0,1127,2,368,0
167,01/07/2019 23:00:00,2019-01-07 18:00:00,304.44,6,7596,4032,0,1481,0,394,0
168,01/08/2019 00:00:00,2019-01-07 19:00:00,307.77,3,7604,4015,0,1299,0,409,0
169,01/08/2019 01:00:00,2019-01-07 20:00:00,312.54,1,7675,4016,0,1121,0,399,0
170,01/08/2019 02:00:00,2019-01-07 21:00:00,307.88,0,7092,4004,0,1019,0,358,0
171,01/08/2019 03:00:00,2019-01-07 22:00:00,305.63,0,6678,4018,0,828,0,379,0
172,01/08/2019 04:00:00,2019-01-07 23:00:00,290.37,0,5704,3995,0,806,0,378,0
173,01/08/2019 05:00:00,2019-01-08 00:00:00,263.52,0,4405,4003,0,902,0,349,0
174,01/08/2019 06:00:00,2019-01-08 01:00:00,246.6,0,3531,4014,0,782,0,311,0
175,01/08/2019 07:00:00,2019-01-08 02:00:00,236.9,0,3220,4018,0,743,0,408,0
176,01/08/2019 08:00:00,2019-01-08 03:00:00,229.23,1,2969,4025,0,748,0,428,0
177,01/08/2019 09:00:00,2019-01-08 04:00:00,235.67,2,3203,4033,0,749,0,423,0
178,01/08/2019 10:00:00,2019-01-08 05:00:00,236.42,2,3343,4017,0,750,0,557,0
179,01/08/2019 11:00:00,2019-01-08 06:00:00,249.71,4,3938,4056,0,783,0,592,0
180,01/08/2019 12:00:00,2019-01-08 07:00:00,271.21,6,5375,4035,0,1136,0,646,0
181,01/08/2019 13:00:00,2019-01-08 08:00:00,285.66,5,6160,4023,0,1086,0,675,0
182,01/08/2019 14:00:00,2019-01-08 09:00:00,288.92,0,6391,4025,18,1072,0,717,0
183,01/08/2019 15:00:00,2019-01-08 10:00:00,293.84,4,6617,4028,60,1056,0,722,0
184,01/08/2019 16:00:00,2019-01-08 11:00:00,297,7,6807,4019,34,1064,4,660,0
185,01/08/2019 17:00:00,2019-01-08 12:00:00,284.12,2,6342,4005,2,1375,6,589,0
186,01/08/2019 18:00:00,2019-01-08 13:00:00,285.4,8,6124,4001,18,1276,7,484,0
187,01/08/2019 19:00:00,2019-01-08 14:00:00,286.73,4,6051,4016,32,1202,6,432,0
188,01/08/2019 20:00:00,2019-01-08 15:00:00,295.39,1,6163,4027,8,929,4,372,0
189,01/08/2019 21:00:00,2019-01-08 16:00:00,297.25,2,6297,4033,4,1043,2,285,0
190,01/08/2019 22:00:00,2019-01-08 17:00:00,294.89,1,6638,4057,0,1427,0,257,0
191,01/08/2019 23:00:00,2019-01-08 18:00:00,289.3,1,6719,4016,0,1817,0,247,0
192,01/09/2019 00:00:00,2019-01-08 19:00:00,290.22,0,6541,3995,0,1664,0,228,0
193,01/09/2019 01:00:00,2019-01-08 20:00:00,286.59,3,6187,4000,0,1595,0,195,0
194,01/09/2019 02:00:00,2019-01-08 21:00:00,289.03,7,5903,4004,0,1235,0,228,0
195,01/09/2019 03:00:00,2019-01-08 22:00:00,277.61,7,5003,3989,0,1023,0,244,0
196,01/09/2019 04:00:00,2019-01-08 23:00:00,251.9,10,3832,4004,0,1026,0,248,0
197,01/09/2019 05:00:00,2019-01-09 00:00:00,241.58,11,3311,4002,0,862,0,274,0
198,01/09/2019 06:00:00,2019-01-09 01:00:00,227.66,7,2839,4010,0,851,0,272,0
199,01/09/2019 07:00:00,2019-01-09 02:00:00,232.31,2,2970,4038,0,804,0,251,0
200,01/09/2019 08:00:00,2019-01-09 03:00:00,231.32,2,2901,4014,0,781,0,257,0
201,01/09/2019 09:00:00,2019-01-09 04:00:00,233.36,2,2988,4031,0,787,0,255,0
202,01/09/2019 10:00:00,2019-01-09 05:00:00,236.27,2,3145,4029,0,791,0,267,0
203,01/09/2019 11:00:00,2019-01-09 06:00:00,242.57,6,3410,4047,0,801,0,301,0
204,01/09/2019 12:00:00,2019-01-09 07:00:00,267.24,5,4499,4053,0,862,0,286,0
205,01/09/2019 13:00:00,2019-01-09 08:00:00,289.37,0,5639,4039,0,871,0,273,0
206,01/09/2019 14:00:00,2019-01-09 09:00:00,287.56,6,5457,4008,6,846,7,270,0
207,01/09/2019 15:00:00,2019-01-09 10:00:00,285.55,0,5318,4026,9,824,24,243,0
208,01/09/2019 16:00:00,2019-01-09 11:00:00,283.05,0,5199,4039,9,842,33,222,0
209,01/09/2019 17:00:00,2019-01-09 12:00:00,279.78,0,5121,4038,9,951,25,192,0
210,01/09/2019 18:00:00,2019-01-09 13:00:00,281.56,0,5317,4021,1,1014,21,212,0
211,01/09/2019 19:00:00,2019-01-09 14:00:00,279.43,0,5280,4028,0,1054,21,217,0
212,01/09/2019 20:00:00,2019-01-09 15:00:00,281.53,0,5277,4018,0,995,14,210,0
213,01/09/2019 21:00:00,2019-01-09 16:00:00,276.2,0,5360,4037,0,1255,11,239,0
214,01/09/2019 22:00:00,2019-01-09 17:00:00,280.65,0,5927,4042,0,1497,2,252,0
215,01/09/2019 23:00:00,2019-01-09 18:00:00,272.29,0,6323,4034,0,2244,0,265,0
216,01/10/2019 00:00:00,2019-01-09 19:00:00,274.17,0,6403,4021,0,2196,0,297,0
217,01/10/2019 01:00:00,2019-01-09 20:00:00,284.52,0,6494,4014,0,1700,0,322,0
218,01/10/2019 02:00:00,2019-01-09 21:00:00,292.58,0,6463,4016,0,1204,0,323,0
219,01/10/2019 03:00:00,2019-01-09 22:00:00,290.14,0,5976,4008,0,983,0,308,0
220,01/10/2019 04:00:00,2019-01-09 23:00:00,276.85,0,5072,4000,0,853,0,300,0
221,01/10/2019 05:00:00,2019-01-10 00:00:00,260.09,1,4238,3990,0,832,0,294,0
222,01/10/2019 06:00:00,2019-01-10 01:00:00,243.18,0,3554,3990,0,832,0,295,0
223,01/10/2019 07:00:00,2019-01-10 02:00:00,244.87,0,3619,4038,0,811,0,291,0
224,01/10/2019 08:00:00,2019-01-10 03:00:00,242.61,0,3486,4028,0,798,0,259,0
225,01/10/2019 09:00:00,2019-01-10 04:00:00,250.8,0,3766,4022,0,798,0,235,0
226,01/10/2019 10:00:00,2019-01-10 05:00:00,248.74,0,3689,4011,0,801,0,228,0
227,01/10/2019 11:00:00,2019-01-10 06:00:00,252.11,0,3834,4045,0,805,0,217,0
228,01/10/2019 12:00:00,2019-01-10 07:00:00,277.44,0,5244,4044,0,1018,0,233,0
229,01/10/2019 13:00:00,2019-01-10 08:00:00,286.24,0,6035,4042,0,1256,0,263,0
230,01/10/2019 14:00:00,2019-01-10 09:00:00,286.66,4,6052,4013,0,1246,9,307,0
231,01/10/2019 15:00:00,2019-01-10 10:00:00,285.5,7,6044,4023,0,1210,24,343,0
232,01/10/2019 16:00:00,2019-01-10 11:00:00,288.52,5,6117,4018,0,1133,20,343,0
233,01/10/2019 17:00:00,2019-01-10 12:00:00,291.12,5,5987,3993,0,958,25,337,0
234,01/10/2019 18:00:00,2019-01-10 13:00:00,289.38,0,5826,4013,0,901,22,332,0
235,01/10/2019 19:00:00,2019-01-10 14:00:00,286.3,0,5774,4038,2,931,33,371,0
236,01/10/2019 20:00:00,2019-01-10 15:00:00,284.39,0,5692,4019,1,930,32,404,0
237,01/10/2019 21:00:00,2019-01-10 16:00:00,289.72,0,6009,4037,0,958,17,396,0
238,01/10/2019 22:00:00,2019-01-10 17:00:00,294.23,0,6566,4050,0,1117,1,436,0
239,01/10/2019 23:00:00,2019-01-10 18:00:00,295.12,0,7140,4027,0,1540,0,437,0
240,01/11/2019 00:00:00,2019-01-10 19:00:00,296.16,0,7081,4002,0,1518,0,423,0
241,01/11/2019 01:00:00,2019-01-10 20:00:00,295.9,0,6911,4016,0,1354,0,458,0
242,01/11/2019 02:00:00,2019-01-10 21:00:00,297.87,0,6608,3999,0,1040,0,460,0
243,01/11/2019 03:00:00,2019-01-10 22:00:00,287.11,0,5716,3990,8,893,0,470,0
244,01/11/2019 04:00:00,2019-01-10 23:00:00,269.26,0,4561,3996,103,855,0,492,0
245,01/11/2019 05:00:00,2019-01-11 00:00:00,251.72,0,3911,4001,0,824,0,508,0
246,01/11/2019 06:00:00,2019-01-11 01:00:00,244.58,0,3584,4016,0,802,0,495,0
247,01/11/2019 07:00:00,2019-01-11 02:00:00,242.06,0,3437,4012,0,793,0,475,0
248,01/11/2019 08:00:00,2019-01-11 03:00:00,246,0,3548,4019,0,779,0,457,0
249,01/11/2019 09:00:00,2019-01-11 04:00:00,247.34,0,3650,4037,0,780,0,500,0
250,01/11/2019 10:00:00,2019-01-11 05:00:00,246.14,0,3562,4020,6,774,0,499,0
251,01/11/2019 11:00:00,2019-01-11 06:00:00,250.24,0,4117,4052,17,1202,0,496,0
252,01/11/2019 12:00:00,2019-01-11 07:00:00,250.29,0,4830,4076,53,2016,0,501,0
253,01/11/2019 13:00:00,2019-01-11 08:00:00,267.78,0,5672,4038,78,2000,1,495,0
254,01/11/2019 14:00:00,2019-01-11 09:00:00,276.58,0,5912,4011,84,1769,17,493,0
255,01/11/2019 15:00:00,2019-01-11 10:00:00,277.45,0,5679,3986,81,1480,46,501,0
256,01/11/2019 16:00:00,2019-01-11 11:00:00,280.06,0,5361,3991,42,1016,75,490,0
257,01/11/2019 17:00:00,2019-01-11 12:00:00,285.28,0,5537,4026,17,833,81,489,0
258,01/11/2019 18:00:00,2019-01-11 13:00:00,286.69,0,5546,4040,54,852,68,483,0
259,01/11/2019 19:00:00,2019-01-11 14:00:00,290.33,0,5799,4027,9,832,65,504,0
260,01/11/2019 20:00:00,2019-01-11 15:00:00,293.07,0,6033,4039,0,876,46,510,0
261,01/11/2019 21:00:00,2019-01-11 16:00:00,296.87,0,6285,4027,0,904,13,528,0
262,01/11/2019 22:00:00,2019-01-11 17:00:00,299.41,0,6765,4068,0,1118,2,525,0
263,01/11/2019 23:00:00,2019-01-11 18:00:00,300.26,0,7341,4032,0,1474,0,534,0
264,01/12/2019 00:00:00,2019-01-11 19:00:00,300.1,0,7364,4007,0,1446,0,560,0
265,01/12/2019 01:00:00,2019-01-11 20:00:00,301.43,0,7195,4006,0,1230,0,557,0
266,01/12/2019 02:00:00,2019-01-11 21:00:00,303.76,0,6927,4006,0,982,0,533,0
267,01/12/2019 03:00:00,2019-01-11 22:00:00,299.35,0,6425,4012,0,846,0,533,0
268,01/12/2019 04:00:00,2019-01-11 23:00:00,289.38,0,5689,4012,0,790,0,522,0
269,01/12/2019 05:00:00,2019-01-12 00:00:00,276.59,0,4899,3980,0,734,0,536,0
270,01/12/2019 06:00:00,2019-01-12 01:00:00,263.55,0,4308,4014,0,753,0,502,0
271,01/12/2019 07:00:00,2019-01-12 02:00:00,264.56,0,4313,4038,0,669,0,507,0
272,01/12/2019 08:00:00,2019-01-12 03:00:00,261.29,0,4090,4013,0,676,0,472,0
273,01/12/2019 09:00:00,2019-01-12 04:00:00,258.15,0,3945,4025,0,662,0,481,0
274,01/12/2019 10:00:00,2019-01-12 05:00:00,258.91,0,3973,4025,0,614,0,513,0
