UTC time,coal,nat_gas,nuclear,oil,hydro,solar,wind,other
2023-10-13 00:00:00,0.0,0.0,389.0,24.0,3253.0,194.0,7898.0,3695.0
2023-10-13 01:00:00,0.0,0.0,449.0,25.0,3260.0,195.0,7557.0,3312.0
2023-10-13 02:00:00,0.0,0.0,394.0,25.0,2941.0,192.0,7270.0,3376.0
2023-10-13 03:00:00,0.0,0.0,373.0,25.0,0.0,2891.0,7113.0,2921.0
2023-10-13 04:00:00,0.0,0.0,365.0,26.0,0.0,2904.0,5883.0,2678.0
2023-10-13 05:00:00,0.0,0.0,382.0,26.0,0.0,2923.0,4893.0,2539.0
2023-10-13 06:00:00,0.0,0.0,350.0,25.0,0.0,2930.0,4775.0,2388.0
2023-10-13 07:00:00,0.0,0.0,344.0,24.0,0.0,2840.0,4541.0,2282.0
2023-10-13 08:00:00,0.0,0.0,326.0,24.0,0.0,2835.0,4535.0,2256.0
2023-10-13 09:00:00,0.0,0.0,290.0,25.0,0.0,2921.0,4591.0,2371.0
2023-10-13 10:00:00,0.0,0.0,299.0,25.0,0.0,2926.0,5279.0,2328.0
2023-10-13 11:00:00,0.0,0.0,304.0,26.0,0.0,2915.0,6079.0,2796.0
2023-10-13 12:00:00,0.0,0.0,239.0,24.0,0.0,2888.0,7076.0,3765.0
2023-10-13 13:00:00,0.0,0.0,230.0,24.0,0.0,2924.0,6771.0,3382.0
2023-10-13 14:00:00,0.0,0.0,123.0,25.0,0.0,2967.0,6248.0,3138.0
2023-10-13 15:00:00,0.0,0.0,156.0,26.0,0.0,2989.0,5868.0,3198.0
2023-10-13 16:00:00,0.0,0.0,173.0,25.0,0.0,2995.0,5812.0,3289.0
2023-10-13 17:00:00,0.0,0.0,177.0,25.0,0.0,2994.0,5669.0,3300.0
2023-10-13 18:00:00,0.0,0.0,180.0,43.0,0.0,2966.0,5666.0,3302.0
2023-10-13 19:00:00,0.0,0.0,236.0,20.0,0.0,2984.0,5732.0,3179.0
2023-10-13 20:00:00,0.0,0.0,265.0,6.0,0.0,2983.0,5878.0,3268.0
2023-10-13 21:00:00,0.0,0.0,227.0,5.0,0.0,2946.0,6470.0,3507.0
2023-10-13 22:00:00,0.0,0.0,187.0,7.0,0.0,2934.0,7066.0,3699.0
2023-10-13 23:00:00,0.0,0.0,225.0,7.0,0.0,2914.0,7424.0,3873.0
