UTC time,creation_time (UTC),version,coal,nat_gas,nuclear,oil,hydro,solar,wind,other
2023-09-01 00:00:00,2023-09-03 16:44:46,3.0,0.0,7465.0,3312.0,0.0,1208.0,7.0,444.0,526.0
2023-09-01 01:00:00,2023-09-03 16:44:46,3.0,0.0,7340.0,3318.0,0.0,1307.0,4.0,421.0,529.0
2023-09-01 02:00:00,2023-09-03 16:44:46,3.0,0.0,7226.0,3307.0,0.0,1127.0,0.0,449.0,529.0
2023-09-01 03:00:00,2023-09-03 16:44:46,3.0,3.0,6217.0,3296.0,0.0,866.0,0.0,443.0,533.0
2023-09-01 04:00:00,2023-09-03 16:44:46,3.0,0.0,5229.0,3293.0,0.0,740.0,0.0,404.0,524.0
2023-09-01 05:00:00,2023-09-03 16:44:46,3.0,0.0,3927.0,3263.0,0.0,699.0,0.0,418.0,531.0
2023-09-01 06:00:00,2023-09-03 16:44:46,3.0,0.0,3577.0,3311.0,0.0,667.0,0.0,392.0,520.0
2023-09-01 07:00:00,2023-09-03 16:44:46,3.0,0.0,3443.0,3288.0,0.0,655.0,0.0,325.0,521.0
2023-09-01 08:00:00,2023-09-03 16:44:46,3.0,0.0,3385.0,3268.0,0.0,671.0,0.0,270.0,511.0
2023-09-01 09:00:00,2023-09-03 16:44:46,3.0,0.0,3494.0,3194.0,0.0,712.0,0.0,240.0,514.0
2023-09-01 10:00:00,2023-09-03 16:44:46,3.0,0.0,3645.0,3196.0,0.0,740.0,0.0,208.0,523.0
2023-09-01 11:00:00,2023-09-03 16:44:46,3.0,0.0,3828.0,3187.0,0.0,886.0,6.0,207.0,537.0
2023-09-01 12:00:00,2023-09-03 16:44:46,3.0,0.0,3991.0,3198.0,0.0,878.0,82.0,197.0,523.0
2023-09-01 13:00:00,2023-09-03 16:44:46,3.0,0.0,3941.0,3192.0,0.0,853.0,227.0,146.0,536.0
2023-09-01 14:00:00,2023-09-03 16:44:46,3.0,1.0,3956.0,3205.0,0.0,853.0,369.0,114.0,540.0
2023-09-01 15:00:00,2023-09-03 16:44:46,3.0,1.0,4005.0,3191.0,0.0,799.0,456.0,110.0,527.0
2023-09-01 16:00:00,2023-09-03 16:44:46,3.0,0.0,3762.0,3194.0,0.0,772.0,488.0,175.0,520.0
2023-09-01 17:00:00,2023-09-03 16:44:46,3.0,0.0,3880.0,3198.0,0.0,776.0,497.0,180.0,529.0
2023-09-01 18:00:00,2023-09-03 16:44:46,3.0,0.0,4211.0,3202.0,0.0,741.0,492.0,159.0,530.0
2023-09-01 19:00:00,2023-09-03 16:44:46,3.0,0.0,4565.0,3191.0,0.0,744.0,471.0,141.0,539.0
2023-09-01 20:00:00,2023-09-03 16:44:46,3.0,0.0,4656.0,3201.0,0.0,1518.0,408.0,135.0,544.0
2023-09-01 21:00:00,2023-09-03 16:44:46,3.0,0.0,5703.0,3201.0,0.0,1610.0,302.0,115.0,543.0
2023-09-01 22:00:00,2023-09-03 16:44:46,3.0,0.0,6333.0,3193.0,0.0,1879.0,162.0,89.0,541.0
2023-09-01 23:00:00,2023-09-03 16:44:46,3.0,0.0,6336.0,3190.0,0.0,1864.0,47.0,113.0,546.0
