Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,oil,hydro,solar,other
41064,2023-09-08 00:00:00,2024-07-17 00:00:00,3.1,614.08,1723.0,786.0,0.0,93.0,0.0,63.0
41065,2023-09-08 01:00:00,2024-07-17 00:00:00,3.1,625.22,1883.0,754.0,0.0,93.0,0.0,64.0
41066,2023-09-08 02:00:00,2024-07-17 00:00:00,3.1,629.16,1720.0,644.0,0.0,87.0,0.0,63.0
41067,2023-09-08 03:00:00,2024-07-17 00:00:00,3.1,652.2,1827.0,516.0,0.0,71.0,0.0,65.0
41068,2023-09-08 04:00:00,2024-07-17 00:00:00,3.1,662.46,1570.0,466.0,0.0,17.0,0.0,64.0
41069,2023-09-08 05:00:00,2024-07-17 00:00:00,3.1,651.01,1325.0,494.0,0.0,1.0,0.0,65.0
41070,2023-09-08 06:00:00,2024-07-17 00:00:00,3.1,645.68,1201.0,479.0,0.0,1.0,0.0,65.0
41071,2023-09-08 07:00:00,2024-07-17 00:00:00,3.1,644.84,1187.0,479.0,0.0,1.0,0.0,63.0
41072,2023-09-08 08:00:00,2024-07-17 00:00:00,3.1,637.42,1113.0,490.0,0.0,2.0,0.0,66.0
41073,2023-09-08 09:00:00,2024-07-17 00:00:00,3.1,637.1,1113.0,492.0,0.0,2.0,0.0,66.0
41074,2023-09-08 10:00:00,2024-07-17 00:00:00,3.1,640.51,1150.0,487.0,0.0,2.0,0.0,67.0
41075,2023-09-08 11:00:00,2024-07-17 00:00:00,3.1,649.83,1295.0,487.0,0.0,2.0,0.0,68.0
41076,2023-09-08 12:00:00,2024-07-17 00:00:00,3.1,648.74,1333.0,489.0,0.0,1.0,10.0,66.0
41077,2023-09-08 13:00:00,2024-07-17 00:00:00,3.1,616.51,1247.0,517.0,0.0,12.0,67.0,67.0
41078,2023-09-08 14:00:00,2024-07-17 00:00:00,3.1,594.35,1355.0,600.0,0.0,2.0,147.0,67.0
41079,2023-09-08 15:00:00,2024-07-17 00:00:00,3.1,611.02,1627.0,504.0,0.0,2.0,192.0,66.0
41080,2023-09-08 16:00:00,2024-07-17 00:00:00,3.1,618.11,1795.0,549.0,0.0,1.0,186.0,67.0
41081,2023-09-08 17:00:00,2024-07-17 00:00:00,3.1,626.49,2122.0,566.0,0.0,21.0,194.0,67.0
41082,2023-09-08 18:00:00,2024-07-17 00:00:00,3.1,623.24,2214.0,536.0,0.0,70.0,193.0,65.0
41083,2023-09-08 19:00:00,2024-07-17 00:00:00,3.1,618.15,2185.0,518.0,0.0,80.0,209.0,64.0
41084,2023-09-08 20:00:00,2024-07-17 00:00:00,3.1,618.9,2265.0,549.0,0.0,96.0,195.0,65.0
41085,2023-09-08 21:00:00,2024-07-17 00:00:00,3.1,622.84,2293.0,586.0,0.0,94.0,168.0,66.0
41086,2023-09-08 22:00:00,2024-07-17 00:00:00,3.1,627.35,2263.0,585.0,0.0,95.0,138.0,66.0
41087,2023-09-08 23:00:00,2024-07-17 00:00:00,3.1,647.38,2255.0,590.0,0.0,93.0,39.0,67.0
