Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,hydro,solar,wind,biomass
37176,2023-03-30 00:00:00,2024-07-17 00:00:00,3.1,367.44,1769.0,349.0,2170.0,112.0,0.0,83.0,29.0
37177,2023-03-30 01:00:00,2024-07-17 00:00:00,3.1,366.48,1778.0,349.0,2170.0,111.0,0.0,108.0,28.0
37178,2023-03-30 02:00:00,2024-07-17 00:00:00,3.1,360.53,1755.0,353.0,2170.0,115.0,0.0,152.0,30.0
37179,2023-03-30 03:00:00,2024-07-17 00:00:00,3.1,350.82,1784.0,352.0,2169.0,140.0,0.0,299.0,31.0
37180,2023-03-30 04:00:00,2024-07-17 00:00:00,3.1,340.96,1858.0,353.0,2168.0,272.0,54.0,376.0,29.0
37181,2023-03-30 05:00:00,2024-07-17 00:00:00,3.1,324.89,1825.0,354.0,2170.0,303.0,315.0,322.0,28.0
37182,2023-03-30 06:00:00,2024-07-17 00:00:00,3.1,301.66,1687.0,351.0,2170.0,273.0,654.0,228.0,29.0
37183,2023-03-30 07:00:00,2024-07-17 00:00:00,3.1,288.27,1686.0,337.0,2170.0,198.0,1003.0,241.0,31.0
37184,2023-03-30 08:00:00,2024-07-17 00:00:00,3.1,259.86,1514.0,329.0,2170.0,156.0,1285.0,290.0,28.0
37185,2023-03-30 09:00:00,2024-07-17 00:00:00,3.1,256.9,1498.0,329.0,2170.0,119.0,1408.0,252.0,28.0
37186,2023-03-30 10:00:00,2024-07-17 00:00:00,3.1,257.42,1475.0,331.0,2170.0,119.0,1423.0,176.0,30.0
37187,2023-03-30 11:00:00,2024-07-17 00:00:00,3.1,262.57,1477.0,332.0,2169.0,118.0,1355.0,125.0,28.0
37188,2023-03-30 12:00:00,2024-07-17 00:00:00,3.1,271.94,1488.0,330.0,2168.0,118.0,1178.0,100.0,29.0
37189,2023-03-30 13:00:00,2024-07-17 00:00:00,3.1,283.01,1490.0,328.0,2169.0,122.0,950.0,77.0,29.0
37190,2023-03-30 14:00:00,2024-07-17 00:00:00,3.1,301.29,1498.0,331.0,2169.0,134.0,613.0,54.0,29.0
37191,2023-03-30 15:00:00,2024-07-17 00:00:00,3.1,316.52,1577.0,337.0,2169.0,420.0,213.0,28.0,31.0
37192,2023-03-30 16:00:00,2024-07-17 00:00:00,3.1,320.57,1763.0,340.0,2168.0,821.0,18.0,58.0,30.0
37193,2023-03-30 17:00:00,2024-07-17 00:00:00,3.1,316.35,1864.0,345.0,2167.0,1034.0,0.0,113.0,28.0
37194,2023-03-30 18:00:00,2024-07-17 00:00:00,3.1,337.62,1856.0,344.0,2168.0,613.0,0.0,142.0,29.0
37195,2023-03-30 19:00:00,2024-07-17 00:00:00,3.1,350.1,1815.0,343.0,2168.0,312.0,0.0,184.0,31.0
37196,2023-03-30 20:00:00,2024-07-17 00:00:00,3.1,349.12,1738.0,344.0,2168.0,150.0,0.0,247.0,31.0
37197,2023-03-30 21:00:00,2024-07-17 00:00:00,3.1,353.85,1668.0,334.0,2169.0,98.0,0.0,136.0,21.0
37198,2023-03-30 22:00:00,2024-07-17 00:00:00,3.1,358.11,1710.0,334.0,2167.0,95.0,0.0,142.0,22.0
37199,2023-03-30 23:00:00,2024-07-17 00:00:00,3.1,345.34,1604.0,335.0,2169.0,92.0,0.0,164.0,21.0
