,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,hydro,solar,wind,other
0,2023-09-07 00:00:00,2023-09-08 23:15:10,3.0,414.41,31110.0,41680.0,10514.0,2457.0,443.0,8469.0,1045.0
1,2023-09-07 01:00:00,2023-09-08 23:15:10,3.0,431.08,32014.0,41079.0,10518.0,1571.0,21.0,6817.0,960.0
2,2023-09-07 02:00:00,2023-09-08 23:15:10,3.0,437.38,32182.0,39405.0,10532.0,580.0,6.0,6849.0,949.0
3,2023-09-07 03:00:00,2023-09-08 23:15:10,3.0,432.38,30142.0,36141.0,10537.0,344.0,6.0,7046.0,935.0
4,2023-09-07 04:00:00,2023-09-08 23:15:10,3.0,425.8,27821.0,33537.0,10537.0,332.0,5.0,6889.0,921.0
5,2023-09-07 05:00:00,2023-09-08 23:15:10,3.0,424.57,26273.0,31631.0,10545.0,305.0,5.0,6164.0,924.0
6,2023-09-07 06:00:00,2023-09-08 23:15:10,3.0,419.13,24361.0,29408.0,10546.0,306.0,5.0,5852.0,924.0
7,2023-09-07 07:00:00,2023-09-08 23:15:10,3.0,412.2,22303.0,28765.0,10547.0,303.0,5.0,5382.0,922.0
8,2023-09-07 08:00:00,2023-09-08 23:15:10,3.0,406.13,20963.0,28001.0,10550.0,291.0,5.0,5312.0,922.0
9,2023-09-07 09:00:00,2023-09-08 23:15:10,3.0,403.11,20381.0,27726.0,10558.0,283.0,5.0,5317.0,929.0
10,2023-09-07 10:00:00,2023-09-08 23:15:10,3.0,411.24,21532.0,27612.0,10562.0,280.0,5.0,5016.0,931.0
11,2023-09-07 11:00:00,2023-09-08 23:15:10,3.0,421.34,23175.0,28401.0,10562.0,289.0,5.0,4650.0,930.0
12,2023-09-07 12:00:00,2023-09-08 23:15:10,3.0,429.69,25000.0,29693.0,10564.0,295.0,7.0,4542.0,930.0
13,2023-09-07 13:00:00,2023-09-08 23:15:10,3.0,435.79,26589.0,30343.0,10560.0,317.0,259.0,4361.0,929.0
14,2023-09-07 14:00:00,2023-09-08 23:15:10,3.0,436.71,27267.0,31277.0,10558.0,322.0,808.0,4012.0,925.0
15,2023-09-07 15:00:00,2023-09-08 23:15:10,3.0,436.02,27789.0,32892.0,10557.0,817.0,1196.0,3394.0,927.0
16,2023-09-07 16:00:00,2023-09-08 23:15:10,3.0,438.41,29095.0,34812.0,10560.0,641.0,1454.0,3545.0,929.0
17,2023-09-07 17:00:00,2023-09-08 23:15:10,3.0,441.26,30356.0,36655.0,10556.0,644.0,1707.0,3383.0,932.0
18,2023-09-07 18:00:00,2023-09-08 23:15:10,3.0,441.24,31356.0,38027.0,10556.0,1250.0,1827.0,3166.0,944.0
19,2023-09-07 19:00:00,2023-09-08 23:15:10,3.0,440.41,32234.0,38705.0,10551.0,2291.0,1782.0,2885.0,1001.0
20,2023-09-07 20:00:00,2023-09-08 23:15:10,3.0,442.46,32611.0,38854.0,10545.0,2448.0,1652.0,2715.0,1067.0
21,2023-09-07 21:00:00,2023-09-08 23:15:10,3.0,442.68,32790.0,39021.0,10540.0,2814.0,1427.0,2650.0,1112.0
22,2023-09-07 22:00:00,2023-09-08 23:15:10,3.0,444.63,32923.0,38938.0,10526.0,2977.0,1186.0,2455.0,1115.0
23,2023-09-07 23:00:00,2023-09-08 23:15:10,3.0,447.02,32597.0,38624.0,10544.0,2747.0,878.0,2299.0,1045.0
