UTC time,coal,nat_gas,nuclear,hydro,solar,wind,other
2023-08-05 00:00:00,11488.0,47013.0,4931.0,218.0,9409.0,7452.0,237.0
2023-08-05 01:00:00,11713.0,47776.0,4932.0,235.0,4211.0,8731.0,556.0
2023-08-05 02:00:00,11729.0,47428.0,4933.0,235.0,277.0,10575.0,526.0
2023-08-05 03:00:00,11444.0,44298.0,4934.0,57.0,0.0,13306.0,232.0
2023-08-05 04:00:00,10910.0,39081.0,4935.0,4.0,0.0,16239.0,114.0
2023-08-05 05:00:00,10406.0,33643.0,4936.0,4.0,0.0,19044.0,112.0
2023-08-05 06:00:00,9234.0,29607.0,4937.0,4.0,0.0,20868.0,76.0
2023-08-05 07:00:00,7499.0,27724.0,4939.0,4.0,0.0,21342.0,78.0
2023-08-05 08:00:00,6406.0,26618.0,4939.0,4.0,0.0,21205.0,58.0
2023-08-05 09:00:00,5658.0,25301.0,4940.0,5.0,0.0,21172.0,72.0
2023-08-05 10:00:00,4955.0,24542.0,4941.0,5.0,0.0,21146.0,68.0
2023-08-05 11:00:00,4725.0,24458.0,4940.0,4.0,0.0,20528.0,74.0
2023-08-05 12:00:00,4780.0,25181.0,4941.0,4.0,4.0,18982.0,79.0
2023-08-05 13:00:00,4822.0,25338.0,4943.0,5.0,1708.0,17141.0,156.0
2023-08-05 14:00:00,4808.0,24964.0,4943.0,4.0,8534.0,14016.0,79.0
2023-08-05 15:00:00,4784.0,24843.0,4944.0,4.0,12151.0,15233.0,74.0
2023-08-05 16:00:00,6165.0,28132.0,4943.0,4.0,12859.0,14204.0,182.0
2023-08-05 17:00:00,9238.0,32006.0,4942.0,5.0,13112.0,11412.0,96.0
2023-08-05 18:00:00,10021.0,36493.0,4941.0,5.0,13106.0,10031.0,121.0
2023-08-05 19:00:00,10052.0,40013.0,4939.0,22.0,12850.0,9798.0,168.0
2023-08-05 20:00:00,10456.0,42266.0,4938.0,36.0,12791.0,9845.0,185.0
2023-08-05 21:00:00,10375.0,43647.0,4936.0,140.0,12337.0,10426.0,233.0
2023-08-05 22:00:00,10103.0,43543.0,4933.0,183.0,11788.0,11944.0,152.0
2023-08-05 23:00:00,9961.0,43606.0,4933.0,217.0,10804.0,12829.0,245.0
