Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,hydro,solar,wind,other
39216,2023-06-23 00:00:00,2024-07-17 00:00:00,3.1,142.4,9642.0,7903.0,14463.0,4650.0,121.0,35617.0,132.0
39217,2023-06-23 01:00:00,2024-07-17 00:00:00,3.1,126.8,9810.0,3843.0,17034.0,4650.0,155.0,34987.0,132.0
39218,2023-06-23 02:00:00,2024-07-17 00:00:00,3.1,112.72,9857.0,515.0,17806.0,4650.0,208.0,35379.0,64.0
39219,2023-06-23 03:00:00,2024-07-17 00:00:00,3.1,111.27,9803.0,0.0,19230.0,4651.0,112.0,33233.0,17.0
39220,2023-06-23 04:00:00,2024-07-17 00:00:00,3.1,109.02,9107.0,0.0,19722.0,4653.0,186.0,29858.0,9.0
39221,2023-06-23 05:00:00,2024-07-17 00:00:00,3.1,109.85,8564.0,0.0,18055.0,4652.0,81.0,27936.0,9.0
39222,2023-06-23 06:00:00,2024-07-17 00:00:00,3.1,105.11,7693.0,0.0,17594.0,4652.0,73.0,25655.0,10.0
39223,2023-06-23 07:00:00,2024-07-17 00:00:00,3.1,91.86,6380.0,0.0,17652.0,4653.0,86.0,24064.0,10.0
39224,2023-06-23 08:00:00,2024-07-17 00:00:00,3.1,90.63,6041.0,0.0,15891.0,4654.0,69.0,24161.0,29.0
39225,2023-06-23 09:00:00,2024-07-17 00:00:00,3.1,91.17,5945.0,0.0,14856.0,4654.0,82.0,24076.0,10.0
39226,2023-06-23 10:00:00,2024-07-17 00:00:00,3.1,88.51,5730.0,0.0,14520.0,4655.0,87.0,24258.0,9.0
39227,2023-06-23 11:00:00,2024-07-17 00:00:00,3.1,92.88,6083.0,0.0,14257.0,4656.0,103.0,24724.0,9.0
39228,2023-06-23 12:00:00,2024-07-17 00:00:00,3.1,103.21,6840.0,68.0,13871.0,4656.0,152.0,25072.0,10.0
39229,2023-06-23 13:00:00,2024-07-17 00:00:00,3.1,119.05,7023.0,2262.0,12795.0,4657.0,101.0,25066.0,10.0
39230,2023-06-23 14:00:00,2024-07-17 00:00:00,3.1,135.48,6404.0,6805.0,12860.0,4656.0,85.0,23794.0,29.0
39231,2023-06-23 15:00:00,2024-07-17 00:00:00,3.1,141.72,6251.0,9495.0,14491.0,4656.0,108.0,23401.0,30.0
39232,2023-06-23 16:00:00,2024-07-17 00:00:00,3.1,144.58,6525.0,10780.0,14466.0,4654.0,123.0,25430.0,30.0
39233,2023-06-23 17:00:00,2024-07-17 00:00:00,3.1,149.91,7249.0,11518.0,13599.0,4652.0,193.0,28072.0,37.0
39234,2023-06-23 18:00:00,2024-07-17 00:00:00,3.1,161.85,8837.0,11807.0,12161.0,4650.0,257.0,30870.0,37.0
39235,2023-06-23 19:00:00,2024-07-17 00:00:00,3.1,165.58,9514.0,12291.0,11296.0,4648.0,187.0,33288.0,37.0
39236,2023-06-23 20:00:00,2024-07-17 00:00:00,3.1,164.23,10078.0,11996.0,11975.0,4644.0,212.0,34851.0,37.0
39237,2023-06-23 21:00:00,2024-07-17 00:00:00,3.1,157.42,10154.0,10935.0,13250.0,4642.0,211.0,35625.0,36.0
39238,2023-06-23 22:00:00,2024-07-17 00:00:00,3.1,146.6,10331.0,8520.0,15506.0,4640.0,250.0,35921.0,37.0
39239,2023-06-23 23:00:00,2024-07-17 00:00:00,3.1,132.44,9055.0,8015.0,19172.0,4639.0,114.0,33571.0,64.0
