UTC time,coal,nat_gas,nuclear,hydro,solar,wind,other
2023-08-24 00:00:00,11379.0,7651.0,12291.0,4942.0,220.0,44879.0,190.0
2023-08-24 01:00:00,11747.0,2449.0,10805.0,4943.0,737.0,46887.0,208.0
2023-08-24 02:00:00,11774.0,53.0,8577.0,4943.0,975.0,47819.0,177.0
2023-08-24 03:00:00,11383.0,1.0,7892.0,4945.0,292.0,46784.0,9.0
2023-08-24 04:00:00,10965.0,0.0,7640.0,4945.0,174.0,43979.0,0.0
2023-08-24 05:00:00,10819.0,0.0,8174.0,4946.0,86.0,39468.0,0.0
2023-08-24 06:00:00,10956.0,0.0,8324.0,4947.0,75.0,35442.0,0.0
2023-08-24 07:00:00,9580.0,0.0,8358.0,4947.0,82.0,33919.0,0.0
2023-08-24 08:00:00,9271.0,0.0,7478.0,4948.0,76.0,33017.0,0.0
2023-08-24 09:00:00,9202.0,0.0,6608.0,4950.0,88.0,32557.0,18.0
2023-08-24 10:00:00,9195.0,0.0,5878.0,4951.0,72.0,32848.0,2.0
2023-08-24 11:00:00,8815.0,0.0,5229.0,4951.0,112.0,34570.0,0.0
2023-08-24 12:00:00,9043.0,0.0,4644.0,4952.0,76.0,36456.0,0.0
2023-08-24 13:00:00,9024.0,654.0,3899.0,4953.0,105.0,37027.0,0.0
2023-08-24 14:00:00,8716.0,5836.0,2490.0,4954.0,72.0,35738.0,0.0
2023-08-24 15:00:00,8803.0,10878.0,2107.0,4954.0,149.0,34837.0,1.0
2023-08-24 16:00:00,9027.0,12489.0,2512.0,4952.0,119.0,37782.0,19.0
2023-08-24 17:00:00,8993.0,12925.0,5105.0,4952.0,114.0,39865.0,19.0
2023-08-24 18:00:00,9700.0,12722.0,7648.0,4952.0,178.0,41849.0,27.0
2023-08-24 19:00:00,10746.0,12454.0,7549.0,4950.0,230.0,44838.0,107.0
2023-08-24 20:00:00,11463.0,12111.0,6518.0,4947.0,234.0,47339.0,109.0
2023-08-24 21:00:00,11660.0,11974.0,5639.0,4944.0,244.0,48345.0,135.0
2023-08-24 22:00:00,11612.0,11718.0,5543.0,4938.0,217.0,49259.0,141.0
2023-08-24 23:00:00,11617.0,10370.0,5827.0,4936.0,196.0,49758.0,200.0
