Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,nuclear,oil,hydro,solar,wind,biomass,unknown
37560,2023-04-15 00:00:00,2024-07-17 00:00:00,3.1,208.38,1268.0,3370.0,0.0,42.0,0.0,199.0,328.0,701.0
37561,2023-04-15 01:00:00,2024-07-17 00:00:00,3.1,198.93,1259.0,3385.0,0.0,42.0,0.0,366.0,329.0,663.0
37562,2023-04-15 02:00:00,2024-07-17 00:00:00,3.1,180.65,1087.0,3406.0,0.0,43.0,0.0,673.0,330.0,660.0
37563,2023-04-15 03:00:00,2024-07-17 00:00:00,3.1,177.76,1062.0,3417.0,0.0,43.0,0.0,709.0,327.0,656.0
37564,2023-04-15 04:00:00,2024-07-17 00:00:00,3.1,195.41,1271.0,3428.0,0.0,43.0,0.0,554.0,322.0,699.0
37565,2023-04-15 05:00:00,2024-07-17 00:00:00,3.1,204.1,1320.0,3444.0,0.0,43.0,127.0,430.0,323.0,780.0
37566,2023-04-15 06:00:00,2024-07-17 00:00:00,3.1,193.54,1327.0,3462.0,0.0,43.0,743.0,296.0,321.0,780.0
37567,2023-04-15 07:00:00,2024-07-17 00:00:00,3.1,162.68,1228.0,3475.0,0.0,42.0,1934.0,351.0,327.0,719.0
37568,2023-04-15 08:00:00,2024-07-17 00:00:00,3.1,137.8,1063.0,3483.0,0.0,41.0,3252.0,420.0,325.0,700.0
37569,2023-04-15 09:00:00,2024-07-17 00:00:00,3.1,124.92,1062.0,3496.0,0.0,41.0,4256.0,766.0,321.0,704.0
37570,2023-04-15 10:00:00,2024-07-17 00:00:00,3.1,120.25,1110.0,3512.0,0.0,41.0,4860.0,1010.0,311.0,717.0
37571,2023-04-15 11:00:00,2024-07-17 00:00:00,3.1,108.43,951.0,3525.0,0.0,41.0,5240.0,1075.0,306.0,643.0
37572,2023-04-15 12:00:00,2024-07-17 00:00:00,3.1,107.11,967.0,3536.0,0.0,41.0,5224.0,938.0,303.0,585.0
37573,2023-04-15 13:00:00,2024-07-17 00:00:00,3.1,109.79,1076.0,3547.0,0.0,40.0,4693.0,1146.0,296.0,547.0
37574,2023-04-15 14:00:00,2024-07-17 00:00:00,3.1,107.96,1005.0,3559.0,0.0,40.0,3753.0,1588.0,292.0,533.0
37575,2023-04-15 15:00:00,2024-07-17 00:00:00,3.1,120.19,1107.0,3571.0,0.0,39.0,2724.0,1962.0,293.0,634.0
37576,2023-04-15 16:00:00,2024-07-17 00:00:00,3.1,139.66,1284.0,3585.0,0.0,39.0,1545.0,2054.0,295.0,707.0
37577,2023-04-15 17:00:00,2024-07-17 00:00:00,3.1,160.97,1479.0,3599.0,0.0,39.0,492.0,2066.0,292.0,745.0
37578,2023-04-15 18:00:00,2024-07-17 00:00:00,3.1,178.87,1700.0,3614.0,0.0,40.0,42.0,1885.0,297.0,743.0
37579,2023-04-15 19:00:00,2024-07-17 00:00:00,3.1,184.32,1752.0,3628.0,0.0,43.0,0.0,1649.0,298.0,715.0
37580,2023-04-15 20:00:00,2024-07-17 00:00:00,3.1,192.38,1736.0,3635.0,0.0,45.0,0.0,1377.0,294.0,759.0
37581,2023-04-15 21:00:00,2024-07-17 00:00:00,3.1,196.97,1725.0,3633.0,0.0,45.0,0.0,1179.0,296.0,763.0
37582,2023-04-15 22:00:00,2024-07-17 00:00:00,3.1,178.86,1381.0,3639.0,0.0,45.0,0.0,1081.0,297.0,673.0
37583,2023-04-15 23:00:00,2024-07-17 00:00:00,3.1,164.86,1198.0,3639.0,0.0,45.0,0.0,1082.0,300.0,598.0
