Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,nuclear,oil,hydro,solar,wind,biomass,unknown
41712,2023-10-05 00:00:00,2024-07-17 00:00:00,3.1,78.17,558.0,2407.0,0.0,4.0,0.0,2273.0,374.0,468.0
41713,2023-10-05 01:00:00,2024-07-17 00:00:00,3.1,78.2,512.0,2408.0,0.0,4.0,0.0,2322.0,378.0,504.0
41714,2023-10-05 02:00:00,2024-07-17 00:00:00,3.1,76.98,528.0,2405.0,0.0,4.0,0.0,2190.0,380.0,459.0
41715,2023-10-05 03:00:00,2024-07-17 00:00:00,3.1,102.76,912.0,2406.0,0.0,4.0,0.0,1960.0,373.0,516.0
41716,2023-10-05 04:00:00,2024-07-17 00:00:00,3.1,133.92,1457.0,2409.0,0.0,3.0,0.0,1911.0,363.0,643.0
41717,2023-10-05 05:00:00,2024-07-17 00:00:00,3.1,161.16,1892.0,2411.0,0.0,2.0,0.0,1671.0,368.0,779.0
41718,2023-10-05 06:00:00,2024-07-17 00:00:00,3.1,177.78,2267.0,2412.0,0.0,1.0,135.0,1442.0,378.0,858.0
41719,2023-10-05 07:00:00,2024-07-17 00:00:00,3.1,177.94,2308.0,2413.0,0.0,1.0,431.0,1153.0,352.0,833.0
41720,2023-10-05 08:00:00,2024-07-17 00:00:00,3.1,177.81,2379.0,2413.0,0.0,1.0,634.0,914.0,325.0,768.0
41721,2023-10-05 09:00:00,2024-07-17 00:00:00,3.1,163.88,1838.0,2409.0,0.0,1.0,859.0,686.0,346.0,793.0
41722,2023-10-05 10:00:00,2024-07-17 00:00:00,3.1,126.47,1373.0,2406.0,0.0,3.0,1908.0,564.0,348.0,729.0
41723,2023-10-05 11:00:00,2024-07-17 00:00:00,3.1,96.22,1071.0,2403.0,0.0,5.0,3154.0,583.0,351.0,693.0
41724,2023-10-05 12:00:00,2024-07-17 00:00:00,3.1,94.85,1087.0,2404.0,0.0,6.0,3229.0,560.0,351.0,671.0
41725,2023-10-05 13:00:00,2024-07-17 00:00:00,3.1,114.1,1406.0,2407.0,0.0,8.0,2531.0,594.0,356.0,679.0
41726,2023-10-05 14:00:00,2024-07-17 00:00:00,3.1,129.46,1804.0,2403.0,0.0,7.0,2005.0,719.0,362.0,623.0
41727,2023-10-05 15:00:00,2024-07-17 00:00:00,3.1,165.45,2391.0,2403.0,0.0,4.0,1141.0,699.0,360.0,667.0
41728,2023-10-05 16:00:00,2024-07-17 00:00:00,3.1,208.11,3146.0,2406.0,0.0,1.0,262.0,815.0,363.0,794.0
41729,2023-10-05 17:00:00,2024-07-17 00:00:00,3.1,202.65,3370.0,2410.0,0.0,0.0,1.0,1575.0,377.0,860.0
41730,2023-10-05 18:00:00,2024-07-17 00:00:00,3.1,185.91,3127.0,2411.0,0.0,0.0,0.0,1977.0,364.0,791.0
41731,2023-10-05 19:00:00,2024-07-17 00:00:00,3.1,178.87,3108.0,2410.0,0.0,1.0,0.0,2129.0,340.0,704.0
41732,2023-10-05 20:00:00,2024-07-17 00:00:00,3.1,163.74,2535.0,2410.0,0.0,3.0,0.0,2096.0,342.0,660.0
41733,2023-10-05 21:00:00,2024-07-17 00:00:00,3.1,148.42,2112.0,2409.0,0.0,4.0,0.0,2039.0,342.0,571.0
41734,2023-10-05 22:00:00,2024-07-17 00:00:00,3.1,112.16,1174.0,2398.0,0.0,6.0,0.0,1962.0,363.0,492.0
41735,2023-10-05 23:00:00,2024-07-17 00:00:00,3.1,99.59,910.0,2388.0,0.0,7.0,0.0,1986.0,362.0,476.0
