Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,wind
42240,2023-10-27 00:00:00,2024-07-17 00:00:00,3.1,662.86,1624.0,922.0,147.0
42241,2023-10-27 01:00:00,2024-07-17 00:00:00,3.1,647.71,1610.0,907.0,211.0
42242,2023-10-27 02:00:00,2024-07-17 00:00:00,3.1,633.53,1566.0,690.0,310.0
42243,2023-10-27 03:00:00,2024-07-17 00:00:00,3.1,611.51,1560.0,601.0,420.0
42244,2023-10-27 04:00:00,2024-07-17 00:00:00,3.1,561.31,1289.0,447.0,548.0
42245,2023-10-27 05:00:00,2024-07-17 00:00:00,3.1,501.58,991.0,349.0,635.0
42246,2023-10-27 06:00:00,2024-07-17 00:00:00,3.1,497.99,972.0,165.0,640.0
42247,2023-10-27 07:00:00,2024-07-17 00:00:00,3.1,578.67,971.0,210.0,380.0
42248,2023-10-27 08:00:00,2024-07-17 00:00:00,3.1,511.14,980.0,170.0,598.0
42249,2023-10-27 09:00:00,2024-07-17 00:00:00,3.1,534.69,1071.0,205.0,566.0
42250,2023-10-27 10:00:00,2024-07-17 00:00:00,3.1,532.32,1121.0,180.0,604.0
42251,2023-10-27 11:00:00,2024-07-17 00:00:00,3.1,563.36,1202.0,380.0,508.0
42252,2023-10-27 12:00:00,2024-07-17 00:00:00,3.1,577.83,1398.0,402.0,535.0
42253,2023-10-27 13:00:00,2024-07-17 00:00:00,3.1,560.03,1402.0,336.0,621.0
42254,2023-10-27 14:00:00,2024-07-17 00:00:00,3.1,566.2,1486.0,381.0,627.0
42255,2023-10-27 15:00:00,2024-07-17 00:00:00,3.1,572.35,1523.0,388.0,615.0
42256,2023-10-27 16:00:00,2024-07-17 00:00:00,3.1,580.56,1505.0,344.0,578.0
42257,2023-10-27 17:00:00,2024-07-17 00:00:00,3.1,574.33,1492.0,345.0,599.0
42258,2023-10-27 18:00:00,2024-07-17 00:00:00,3.1,578.94,1481.0,419.0,563.0
42259,2023-10-27 19:00:00,2024-07-17 00:00:00,3.1,591.88,1538.0,536.0,510.0
42260,2023-10-27 20:00:00,2024-07-17 00:00:00,3.1,604.2,1531.0,566.0,448.0
42261,2023-10-27 21:00:00,2024-07-17 00:00:00,3.1,604.82,1528.0,500.0,457.0
42262,2023-10-27 22:00:00,2024-07-17 00:00:00,3.1,599.62,1490.0,547.0,456.0
42263,2023-10-27 23:00:00,2024-07-17 00:00:00,3.1,613.93,1486.0,666.0,371.0
