Unnamed: 0,UTC time,carbon_intensity,nat_gas,hydro,wind,biomass,unknown
39816,2023-07-18 00:00:00,244.56,0.0,2.0,19.0,9.0,11.0
39817,2023-07-18 01:00:00,319.06,0.0,0.0,11.0,9.0,11.0
39818,2023-07-18 02:00:00,319.06,0.0,0.0,11.0,9.0,11.0
39819,2023-07-18 03:00:00,92.18,0.0,101.0,22.0,10.0,12.0
39820,2023-07-18 04:00:00,123.79,0.0,54.0,29.0,11.0,13.0
39821,2023-07-18 05:00:00,187.03,0.0,7.0,37.0,11.0,14.0
39822,2023-07-18 06:00:00,151.66,0.0,14.0,48.0,11.0,14.0
39823,2023-07-18 07:00:00,164.42,0.0,0.0,54.0,12.0,14.0
39824,2023-07-18 08:00:00,154.51,0.0,0.0,59.0,11.0,14.0
39825,2023-07-18 09:00:00,127.2,0.0,0.0,68.0,10.0,12.0
39826,2023-07-18 10:00:00,113.69,0.0,0.0,73.0,9.0,11.0
39827,2023-07-18 11:00:00,119.94,0.0,0.0,74.0,10.0,12.0
39828,2023-07-18 12:00:00,178.54,0.0,0.0,74.0,18.0,22.0
39829,2023-07-18 13:00:00,150.42,0.0,0.0,75.0,14.0,17.0
39830,2023-07-18 14:00:00,162.45,0.0,5.0,74.0,17.0,20.0
39831,2023-07-18 15:00:00,142.23,0.0,34.0,70.0,17.0,21.0
39832,2023-07-18 16:00:00,87.47,0.0,172.0,67.0,18.0,22.0
39833,2023-07-18 17:00:00,65.29,0.0,335.0,57.0,18.0,22.0
39834,2023-07-18 18:00:00,74.64,0.0,263.0,41.0,18.0,21.0
39835,2023-07-18 19:00:00,71.57,0.0,264.0,42.0,16.0,20.0
39836,2023-07-18 20:00:00,131.44,21.0,114.0,47.0,13.0,16.0
39837,2023-07-18 21:00:00,259.85,31.0,18.0,40.0,14.0,17.0
39838,2023-07-18 22:00:00,333.73,120.0,37.0,33.0,10.0,12.0
39839,2023-07-18 23:00:00,416.46,150.0,0.0,31.0,10.0,12.0
