,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,oil,wind
0,2023-09-09 00:00:00,2023-09-11 16:15:59,3.0,623.89,1003.0,1286.0,0.0,40.0
1,2023-09-09 01:00:00,2023-09-11 16:15:59,3.0,627.57,1011.0,1217.0,0.0,44.0
2,2023-09-09 02:00:00,2023-09-11 16:15:59,3.0,615.23,1001.0,1246.0,0.0,81.0
3,2023-09-09 03:00:00,2023-09-11 16:15:59,3.0,587.35,796.0,1328.0,0.0,97.0
4,2023-09-09 04:00:00,2023-09-11 16:15:59,3.0,590.19,756.0,1208.0,0.0,91.0
5,2023-09-09 05:00:00,2023-09-11 16:15:59,3.0,581.43,654.0,1226.0,0.0,77.0
6,2023-09-09 06:00:00,2023-09-11 16:15:59,3.0,553.77,650.0,1139.0,0.0,185.0
7,2023-09-09 07:00:00,2023-09-11 16:15:59,3.0,524.77,651.0,1080.0,0.0,301.0
8,2023-09-09 08:00:00,2023-09-11 16:15:59,3.0,532.22,652.0,1074.0,0.0,273.0
9,2023-09-09 09:00:00,2023-09-11 16:15:59,3.0,537.8,652.0,1160.0,0.0,244.0
10,2023-09-09 10:00:00,2023-09-11 16:15:59,3.0,544.54,649.0,1155.0,0.0,217.0
11,2023-09-09 11:00:00,2023-09-11 16:15:59,3.0,547.51,655.0,1219.0,0.0,202.0
12,2023-09-09 12:00:00,2023-09-11 16:15:59,3.0,586.45,774.0,1200.0,0.0,113.0
13,2023-09-09 13:00:00,2023-09-11 16:15:59,3.0,619.27,871.0,1136.0,0.0,46.0
14,2023-09-09 14:00:00,2023-09-11 16:15:59,3.0,623.13,870.0,1121.0,0.0,36.0
15,2023-09-09 15:00:00,2023-09-11 16:15:59,3.0,629.21,891.0,1119.0,0.0,23.0
16,2023-09-09 16:00:00,2023-09-11 16:15:59,3.0,636.96,963.0,1127.0,0.0,17.0
17,2023-09-09 17:00:00,2023-09-11 16:15:59,3.0,635.27,962.0,1176.0,0.0,11.0
18,2023-09-09 18:00:00,2023-09-11 16:15:59,3.0,632.35,960.0,1235.0,0.0,7.0
19,2023-09-09 19:00:00,2023-09-11 16:15:59,3.0,628.25,961.0,1324.0,0.0,2.0
20,2023-09-09 20:00:00,2023-09-11 16:15:59,3.0,625.42,961.0,1349.0,0.0,7.0
21,2023-09-09 21:00:00,2023-09-11 16:15:59,3.0,621.48,960.0,1400.0,7.0,11.0
22,2023-09-09 22:00:00,2023-09-11 16:15:59,3.0,615.05,962.0,1471.0,2.0,22.0
23,2023-09-09 23:00:00,2023-09-11 16:15:59,3.0,613.65,955.0,1494.0,9.0,21.0
