,UTC time,carbon_intensity,nat_gas,nuclear,hydro,solar,wind,other
0,2023-08-05 00:00:00,72.87,958.0,1123.0,7229.0,40.0,1308.0,166.0
1,2023-08-05 01:00:00,70.22,962.0,1124.0,8033.0,22.0,1201.0,166.0
2,2023-08-05 02:00:00,70.8,967.0,1123.0,8271.0,57.0,955.0,169.0
3,2023-08-05 03:00:00,72.7,968.0,1124.0,8107.0,42.0,793.0,174.0
4,2023-08-05 04:00:00,74.34,970.0,1126.0,7875.0,19.0,729.0,176.0
5,2023-08-05 05:00:00,78.42,966.0,1129.0,7310.0,0.0,617.0,188.0
6,2023-08-05 06:00:00,79.46,911.0,1130.0,6692.0,0.0,524.0,176.0
7,2023-08-05 07:00:00,87.02,906.0,1131.0,5599.0,8.0,387.0,167.0
8,2023-08-05 08:00:00,92.75,906.0,1133.0,5113.0,0.0,239.0,169.0
9,2023-08-05 09:00:00,96.81,909.0,1132.0,4805.0,0.0,136.0,166.0
10,2023-08-05 10:00:00,100.34,907.0,1131.0,4551.0,0.0,90.0,170.0
11,2023-08-05 11:00:00,102.38,908.0,1131.0,4343.0,0.0,67.0,162.0
12,2023-08-05 12:00:00,104.25,910.0,1131.0,4230.0,0.0,72.0,167.0
13,2023-08-05 13:00:00,103.16,912.0,1131.0,4275.0,0.0,106.0,165.0
14,2023-08-05 14:00:00,105.81,976.0,1132.0,4360.0,9.0,145.0,172.0
15,2023-08-05 15:00:00,102.49,973.0,1130.0,4653.0,53.0,128.0,176.0
16,2023-08-05 16:00:00,92.81,922.0,1129.0,5298.0,78.0,99.0,167.0
17,2023-08-05 17:00:00,92.99,974.0,1129.0,5644.0,87.0,89.0,174.0
18,2023-08-05 18:00:00,91.7,976.0,1128.0,5773.0,109.0,63.0,168.0
19,2023-08-05 19:00:00,88.69,974.0,1128.0,6106.0,124.0,54.0,164.0
20,2023-08-05 20:00:00,88.71,970.0,1127.0,6165.0,89.0,58.0,171.0
21,2023-08-05 21:00:00,85.57,923.0,1126.0,6264.0,99.0,53.0,168.0
22,2023-08-05 22:00:00,84.26,920.0,1125.0,6407.0,83.0,75.0,167.0
23,2023-08-05 23:00:00,80.05,893.0,1127.0,6774.0,69.0,139.0,165.0
