,UTC time,carbon_intensity,nat_gas,nuclear,hydro,solar,wind,other
0,2023-08-04 00:00:00,79.77,965.0,1107.0,7397.0,62.0,223.0,176.0
1,2023-08-04 01:00:00,75.36,967.0,1127.0,8101.0,72.0,320.0,175.0
2,2023-08-04 02:00:00,72.98,967.0,1129.0,8307.0,62.0,503.0,168.0
3,2023-08-04 03:00:00,72.87,968.0,1128.0,7856.0,49.0,851.0,164.0
4,2023-08-04 04:00:00,70.52,972.0,1127.0,7569.0,27.0,1232.0,134.0
5,2023-08-04 05:00:00,71.61,972.0,1128.0,6866.0,18.0,1558.0,131.0
6,2023-08-04 06:00:00,73.97,918.0,1129.0,5816.0,0.0,1581.0,125.0
7,2023-08-04 07:00:00,78.16,918.0,1130.0,5076.0,0.0,1534.0,120.0
8,2023-08-04 08:00:00,81.67,895.0,1131.0,4439.0,0.0,1484.0,120.0
9,2023-08-04 09:00:00,84.01,897.0,1131.0,4168.0,0.0,1468.0,121.0
10,2023-08-04 10:00:00,85.71,895.0,1136.0,3942.0,0.0,1453.0,120.0
11,2023-08-04 11:00:00,85.77,898.0,1136.0,3926.0,0.0,1476.0,120.0
12,2023-08-04 12:00:00,88.6,898.0,1138.0,3984.0,0.0,1174.0,123.0
13,2023-08-04 13:00:00,87.84,901.0,1138.0,4180.0,0.0,1155.0,130.0
14,2023-08-04 14:00:00,90.15,980.0,1137.0,4483.0,3.0,1074.0,129.0
15,2023-08-04 15:00:00,86.55,982.0,1137.0,4781.0,10.0,1165.0,124.0
16,2023-08-04 16:00:00,83.27,979.0,1136.0,5261.0,15.0,1193.0,132.0
17,2023-08-04 17:00:00,82.06,978.0,1135.0,5583.0,23.0,1105.0,136.0
18,2023-08-04 18:00:00,82.6,978.0,1132.0,5706.0,35.0,1011.0,145.0
19,2023-08-04 19:00:00,82.46,974.0,1132.0,5980.0,47.0,1051.0,177.0
20,2023-08-04 20:00:00,79.23,972.0,1133.0,6225.0,51.0,1299.0,179.0
21,2023-08-04 21:00:00,76.96,969.0,1128.0,6434.0,51.0,1467.0,180.0
22,2023-08-04 22:00:00,74.82,968.0,1126.0,6549.0,53.0,1664.0,175.0
23,2023-08-04 23:00:00,73.28,963.0,1125.0,6890.0,66.0,1536.0,167.0
