,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,nuclear,hydro,solar,wind,other
0,2023-08-24 00:00:00,2023-08-25 21:23:44,3.0,40.85,898.0,1136.0,8024.0,84.0,333.0,179.0
1,2023-08-24 01:00:00,2023-08-25 21:23:44,3.0,42.06,902.0,1133.0,8004.0,108.0,284.0,197.0
2,2023-08-24 02:00:00,2023-08-25 21:23:44,3.0,43.14,989.0,1133.0,8277.0,73.0,205.0,178.0
3,2023-08-24 03:00:00,2023-08-25 21:23:44,3.0,42.13,968.0,1134.0,8348.0,34.0,156.0,169.0
4,2023-08-24 04:00:00,2023-08-25 21:23:44,3.0,43.12,969.0,1134.0,8129.0,25.0,129.0,168.0
5,2023-08-24 05:00:00,2023-08-25 21:23:44,3.0,44.71,922.0,1138.0,7493.0,0.0,93.0,170.0
6,2023-08-24 06:00:00,2023-08-25 21:23:44,3.0,48.75,784.0,1140.0,5783.0,0.0,67.0,169.0
7,2023-08-24 07:00:00,2023-08-25 21:23:44,3.0,53.83,776.0,1141.0,4951.0,8.0,55.0,165.0
8,2023-08-24 08:00:00,2023-08-25 21:23:44,3.0,55.89,732.0,1141.0,4485.0,0.0,39.0,167.0
9,2023-08-24 09:00:00,2023-08-25 21:23:44,3.0,57.01,732.0,1143.0,4486.0,0.0,25.0,180.0
10,2023-08-24 10:00:00,2023-08-25 21:23:44,3.0,57.81,731.0,1143.0,4409.0,0.0,24.0,182.0
11,2023-08-24 11:00:00,2023-08-25 21:23:44,3.0,57.67,732.0,1143.0,4385.0,0.0,24.0,177.0
12,2023-08-24 12:00:00,2023-08-25 21:23:44,3.0,57.31,738.0,1145.0,4466.0,0.0,33.0,179.0
13,2023-08-24 13:00:00,2023-08-25 21:23:44,3.0,59.3,824.0,1146.0,4686.0,0.0,33.0,178.0
14,2023-08-24 14:00:00,2023-08-25 21:23:44,3.0,53.08,907.0,1145.0,6046.0,7.0,36.0,185.0
15,2023-08-24 15:00:00,2023-08-25 21:23:44,3.0,51.71,911.0,1145.0,6305.0,56.0,54.0,193.0
16,2023-08-24 16:00:00,2023-08-25 21:23:44,3.0,50.04,910.0,1144.0,6533.0,116.0,50.0,193.0
17,2023-08-24 17:00:00,2023-08-25 21:23:44,3.0,48.17,907.0,1142.0,6737.0,128.0,131.0,190.0
18,2023-08-24 18:00:00,2023-08-25 21:23:44,3.0,46.52,903.0,1140.0,6856.0,128.0,370.0,195.0
19,2023-08-24 19:00:00,2023-08-25 21:23:44,3.0,44.62,896.0,1137.0,6947.0,132.0,624.0,194.0
20,2023-08-24 20:00:00,2023-08-25 21:23:44,3.0,43.27,894.0,1136.0,7011.0,133.0,829.0,192.0
21,2023-08-24 21:00:00,2023-08-25 21:23:44,3.0,41.66,893.0,1135.0,7332.0,133.0,961.0,197.0
22,2023-08-24 22:00:00,2023-08-25 21:23:44,3.0,39.53,888.0,1135.0,7688.0,109.0,1107.0,193.0
23,2023-08-24 23:00:00,2023-08-25 21:23:44,3.0,38.12,886.0,1135.0,7932.0,75.0,1263.0,191.0
