Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,oil,hydro,solar,wind,other
37152,2023-03-29 00:00:00,2024-07-17 00:00:00,3.1,130.66,329.0,0.0,594.0,92.0,602.0,44.0
37153,2023-03-29 01:00:00,2024-07-17 00:00:00,3.1,132.67,358.0,0.0,732.0,64.0,594.0,52.0
37154,2023-03-29 02:00:00,2024-07-17 00:00:00,3.1,145.57,426.0,0.0,855.0,11.0,524.0,52.0
37155,2023-03-29 03:00:00,2024-07-17 00:00:00,3.1,151.41,430.0,0.0,857.0,0.0,478.0,56.0
37156,2023-03-29 04:00:00,2024-07-17 00:00:00,3.1,153.98,430.0,0.0,819.0,0.0,476.0,55.0
37157,2023-03-29 05:00:00,2024-07-17 00:00:00,3.1,163.7,429.0,0.0,689.0,0.0,476.0,54.0
37158,2023-03-29 06:00:00,2024-07-17 00:00:00,3.1,166.94,434.0,0.0,639.0,0.0,498.0,54.0
37159,2023-03-29 07:00:00,2024-07-17 00:00:00,3.1,175.39,439.0,0.0,581.0,0.0,487.0,57.0
37160,2023-03-29 08:00:00,2024-07-17 00:00:00,3.1,202.35,443.0,0.0,439.0,0.0,405.0,57.0
37161,2023-03-29 09:00:00,2024-07-17 00:00:00,3.1,215.09,445.0,0.0,442.0,0.0,321.0,57.0
37162,2023-03-29 10:00:00,2024-07-17 00:00:00,3.1,220.39,447.0,0.0,438.0,0.0,293.0,56.0
37163,2023-03-29 11:00:00,2024-07-17 00:00:00,3.1,242.42,447.0,0.0,445.0,0.0,163.0,53.0
37164,2023-03-29 12:00:00,2024-07-17 00:00:00,3.1,217.61,446.0,0.0,666.0,0.0,90.0,54.0
37165,2023-03-29 13:00:00,2024-07-17 00:00:00,3.1,209.39,448.0,0.0,743.0,0.0,63.0,50.0
37166,2023-03-29 14:00:00,2024-07-17 00:00:00,3.1,216.62,450.0,0.0,738.0,1.0,26.0,51.0
37167,2023-03-29 15:00:00,2024-07-17 00:00:00,3.1,200.66,450.0,0.0,822.0,14.0,41.0,50.0
37168,2023-03-29 16:00:00,2024-07-17 00:00:00,3.1,188.97,447.0,0.0,898.0,36.0,41.0,51.0
37169,2023-03-29 17:00:00,2024-07-17 00:00:00,3.1,193.32,445.0,0.0,839.0,54.0,40.0,50.0
37170,2023-03-29 18:00:00,2024-07-17 00:00:00,3.1,216.42,440.0,0.0,627.0,80.0,52.0,51.0
37171,2023-03-29 19:00:00,2024-07-17 00:00:00,3.1,210.23,442.0,0.0,594.0,153.0,59.0,49.0
37172,2023-03-29 20:00:00,2024-07-17 00:00:00,3.1,200.95,424.0,0.0,638.0,183.0,32.0,50.0
37173,2023-03-29 21:00:00,2024-07-17 00:00:00,3.1,203.1,436.0,0.0,662.0,179.0,16.0,50.0
37174,2023-03-29 22:00:00,2024-07-17 00:00:00,3.1,197.9,438.0,0.0,744.0,138.0,11.0,49.0
37175,2023-03-29 23:00:00,2024-07-17 00:00:00,3.1,206.67,439.0,0.0,714.0,91.0,20.0,50.0
