Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,hydro,solar,wind,other
41016,2023-09-06 00:00:00,2024-07-17 00:00:00,3.1,274.14,406.0,654.0,235.0,827.0,64.0,162.0
41017,2023-09-06 01:00:00,2024-07-17 00:00:00,3.1,297.24,411.0,1023.0,478.0,530.0,86.0,218.0
41018,2023-09-06 02:00:00,2024-07-17 00:00:00,3.1,369.7,521.0,1361.0,509.0,114.0,52.0,223.0
41019,2023-09-06 03:00:00,2024-07-17 00:00:00,3.1,398.48,606.0,1432.0,507.0,0.0,37.0,218.0
41020,2023-09-06 04:00:00,2024-07-17 00:00:00,3.1,398.01,622.0,1430.0,506.0,0.0,56.0,218.0
41021,2023-09-06 05:00:00,2024-07-17 00:00:00,3.1,401.07,631.0,1429.0,503.0,0.0,49.0,226.0
41022,2023-09-06 06:00:00,2024-07-17 00:00:00,3.1,413.71,436.0,1430.0,273.0,0.0,29.0,226.0
41023,2023-09-06 07:00:00,2024-07-17 00:00:00,3.1,412.89,446.0,1418.0,270.0,0.0,46.0,225.0
41024,2023-09-06 08:00:00,2024-07-17 00:00:00,3.1,436.7,511.0,1223.0,222.0,0.0,43.0,232.0
41025,2023-09-06 09:00:00,2024-07-17 00:00:00,3.1,483.32,545.0,1224.0,34.0,0.0,35.0,232.0
41026,2023-09-06 10:00:00,2024-07-17 00:00:00,3.1,477.36,467.0,1186.0,30.0,0.0,27.0,231.0
41027,2023-09-06 11:00:00,2024-07-17 00:00:00,3.1,474.98,422.0,1116.0,30.0,0.0,25.0,230.0
41028,2023-09-06 12:00:00,2024-07-17 00:00:00,3.1,500.68,561.0,1035.0,30.0,0.0,25.0,233.0
41029,2023-09-06 13:00:00,2024-07-17 00:00:00,3.1,438.4,539.0,1034.0,267.0,0.0,40.0,234.0
41030,2023-09-06 14:00:00,2024-07-17 00:00:00,3.1,423.47,464.0,1033.0,271.0,17.0,24.0,206.0
41031,2023-09-06 15:00:00,2024-07-17 00:00:00,3.1,371.26,453.0,845.0,250.0,318.0,5.0,185.0
41032,2023-09-06 16:00:00,2024-07-17 00:00:00,3.1,277.58,385.0,455.0,218.0,758.0,0.0,145.0
41033,2023-09-06 17:00:00,2024-07-17 00:00:00,3.1,246.44,374.0,444.0,218.0,958.0,2.0,132.0
41034,2023-09-06 18:00:00,2024-07-17 00:00:00,3.1,255.78,379.0,442.0,34.0,1035.0,34.0,127.0
41035,2023-09-06 19:00:00,2024-07-17 00:00:00,3.1,249.02,389.0,443.0,33.0,1053.0,95.0,128.0
41036,2023-09-06 20:00:00,2024-07-17 00:00:00,3.1,280.68,536.0,453.0,33.0,1046.0,121.0,134.0
41037,2023-09-06 21:00:00,2024-07-17 00:00:00,3.1,287.56,573.0,515.0,33.0,1053.0,135.0,132.0
41038,2023-09-06 22:00:00,2024-07-17 00:00:00,3.1,299.21,631.0,638.0,37.0,1032.0,191.0,149.0
41039,2023-09-06 23:00:00,2024-07-17 00:00:00,3.1,305.18,716.0,715.0,251.0,955.0,173.0,181.0
