Unnamed: 0,UTC time,carbon_intensity,coal,nat_gas,oil,hydro,solar,wind,biomass,geothermal,unknown
43008,2023-11-28 00:00:00,214.1,1029.0,6785.0,25.0,2524.0,0.0,6394.0,643.0,625.0,1542.0
43009,2023-11-28 01:00:00,207.3,935.0,6552.0,15.0,2436.0,0.0,6437.0,650.0,626.0,1409.0
43010,2023-11-28 02:00:00,207.49,975.0,6795.0,15.0,2398.0,0.0,6693.0,641.0,625.0,1369.0
43011,2023-11-28 03:00:00,201.52,958.0,6809.0,15.0,2418.0,0.0,7193.0,648.0,622.0,1359.0
43012,2023-11-28 04:00:00,213.97,1154.0,7494.0,15.0,2505.0,0.0,7326.0,640.0,621.0,1582.0
43013,2023-11-28 05:00:00,243.68,1421.0,10596.0,15.0,2850.0,0.0,7412.0,625.0,621.0,2202.0
43014,2023-11-28 06:00:00,249.61,1661.0,13543.0,16.0,4615.0,129.0,7259.0,618.0,621.0,2534.0
43015,2023-11-28 07:00:00,239.03,1671.0,14659.0,15.0,5945.0,1044.0,7095.0,609.0,621.0,2582.0
43016,2023-11-28 08:00:00,227.19,1669.0,14492.0,25.0,5991.0,2651.0,7157.0,601.0,620.0,2598.0
43017,2023-11-28 09:00:00,223.14,1676.0,14215.0,25.0,4615.0,4104.0,7592.0,603.0,619.0,2616.0
43018,2023-11-28 10:00:00,224.92,1680.0,14194.0,25.0,3730.0,4688.0,7615.0,597.0,617.0,2618.0
43019,2023-11-28 11:00:00,220.15,1665.0,13625.0,25.0,3628.0,5206.0,7552.0,590.0,617.0,2615.0
43020,2023-11-28 12:00:00,221.88,1659.0,13904.0,25.0,3698.0,5032.0,7631.0,603.0,620.0,2675.0
43021,2023-11-28 13:00:00,233.59,1687.0,14973.0,25.0,4203.0,3458.0,7620.0,613.0,621.0,2703.0
43022,2023-11-28 14:00:00,247.63,1686.0,16711.0,25.0,5296.0,1345.0,7460.0,606.0,623.0,2699.0
43023,2023-11-28 15:00:00,254.85,1715.0,17859.0,25.0,6301.0,101.0,7293.0,624.0,624.0,2754.0
43024,2023-11-28 16:00:00,255.2,1821.0,17918.0,25.0,6833.0,0.0,7019.0,640.0,623.0,2743.0
43025,2023-11-28 17:00:00,259.36,1867.0,17888.0,25.0,6659.0,0.0,6753.0,628.0,623.0,2806.0
43026,2023-11-28 18:00:00,261.13,1748.0,17528.0,25.0,6139.0,0.0,6533.0,626.0,621.0,2711.0
43027,2023-11-28 19:00:00,268.93,1690.0,16380.0,25.0,4846.0,0.0,6168.0,639.0,621.0,2653.0
43028,2023-11-28 20:00:00,272.13,1636.0,14757.0,25.0,3791.0,0.0,6046.0,641.0,621.0,2558.0
43029,2023-11-28 21:00:00,262.96,1562.0,12261.0,15.0,3292.0,0.0,5999.0,656.0,622.0,2206.0
43030,2023-11-28 22:00:00,257.12,1462.0,10929.0,18.0,3254.0,0.0,5492.0,649.0,622.0,1900.0
43031,2023-11-28 23:00:00,250.31,1368.0,9710.0,15.0,3071.0,0.0,5246.0,648.0,622.0,1657.0
