,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,hydro,solar,wind,other
0,2023-08-31 00:00:00,2023-09-03 15:38:40,3.0,393.95,3134.0,1756.0,171.0,1398.0,2580.0,115.0
1,2023-08-31 01:00:00,2023-09-03 15:38:40,3.0,417.71,3126.0,1855.0,171.0,999.0,2422.0,117.0
2,2023-08-31 02:00:00,2023-09-03 15:38:40,3.0,480.2,3384.0,2019.0,172.0,229.0,2169.0,119.0
3,2023-08-31 03:00:00,2023-09-03 15:38:40,3.0,528.35,3673.0,2038.0,171.0,0.0,1794.0,124.0
4,2023-08-31 04:00:00,2023-09-03 15:38:40,3.0,562.55,3969.0,2050.0,173.0,0.0,1445.0,124.0
5,2023-08-31 05:00:00,2023-09-03 15:38:40,3.0,577.84,3823.0,1945.0,175.0,0.0,1188.0,126.0
6,2023-08-31 06:00:00,2023-09-03 15:38:40,3.0,581.45,3915.0,1946.0,174.0,0.0,1181.0,124.0
7,2023-08-31 07:00:00,2023-09-03 15:38:40,3.0,587.56,3849.0,1703.0,174.0,0.0,1118.0,126.0
8,2023-08-31 08:00:00,2023-09-03 15:38:40,3.0,586.62,3587.0,1641.0,176.0,0.0,1032.0,128.0
9,2023-08-31 09:00:00,2023-09-03 15:38:40,3.0,592.11,3364.0,1655.0,177.0,0.0,879.0,127.0
10,2023-08-31 10:00:00,2023-09-03 15:38:40,3.0,608.88,3668.0,1642.0,174.0,0.0,818.0,128.0
11,2023-08-31 11:00:00,2023-09-03 15:38:40,3.0,625.03,3746.0,1645.0,170.0,0.0,677.0,129.0
12,2023-08-31 12:00:00,2023-09-03 15:38:40,3.0,629.52,3849.0,1643.0,174.0,0.0,659.0,128.0
13,2023-08-31 13:00:00,2023-09-03 15:38:40,3.0,626.94,3941.0,1646.0,174.0,0.0,714.0,127.0
14,2023-08-31 14:00:00,2023-09-03 15:38:40,3.0,593.74,3808.0,1616.0,174.0,204.0,852.0,128.0
15,2023-08-31 15:00:00,2023-09-03 15:38:40,3.0,531.17,3456.0,1497.0,172.0,979.0,759.0,127.0
16,2023-08-31 16:00:00,2023-09-03 15:38:40,3.0,463.1,2780.0,1521.0,171.0,1384.0,903.0,122.0
17,2023-08-31 17:00:00,2023-09-03 15:38:40,3.0,427.77,2575.0,1456.0,171.0,1445.0,1227.0,121.0
18,2023-08-31 18:00:00,2023-09-03 15:38:40,3.0,415.37,2660.0,1579.0,174.0,1462.0,1528.0,117.0
19,2023-08-31 19:00:00,2023-09-03 15:38:40,3.0,414.1,2828.0,1593.0,171.0,1433.0,1753.0,117.0
20,2023-08-31 20:00:00,2023-09-03 15:38:40,3.0,431.47,3232.0,1666.0,173.0,1416.0,1824.0,117.0
21,2023-08-31 21:00:00,2023-09-03 15:38:40,3.0,420.52,3193.0,1742.0,172.0,1420.0,2018.0,112.0
22,2023-08-31 22:00:00,2023-09-03 15:38:40,3.0,424.86,3202.0,1769.0,168.0,1298.0,2056.0,112.0
23,2023-08-31 23:00:00,2023-09-03 15:38:40,3.0,442.47,3426.0,1803.0,172.0,1265.0,1931.0,112.0
