UTC time,nat_gas,nuclear,hydro,solar,wind,other
2023-08-06 00:00:00,899.0,1128.0,7276.0,86.0,128.0,169.0
2023-08-06 01:00:00,967.0,1129.0,7579.0,70.0,205.0,171.0
2023-08-06 02:00:00,972.0,1128.0,7479.0,62.0,221.0,171.0
2023-08-06 03:00:00,983.0,1127.0,7234.0,42.0,185.0,178.0
2023-08-06 04:00:00,997.0,1128.0,7061.0,29.0,162.0,181.0
2023-08-06 05:00:00,993.0,1129.0,6764.0,13.0,145.0,173.0
2023-08-06 06:00:00,911.0,1128.0,6112.0,10.0,139.0,166.0
2023-08-06 07:00:00,907.0,1128.0,5475.0,0.0,146.0,163.0
2023-08-06 08:00:00,915.0,1128.0,4634.0,0.0,146.0,167.0
2023-08-06 09:00:00,914.0,1128.0,4392.0,0.0,166.0,174.0
2023-08-06 10:00:00,917.0,1128.0,4297.0,9.0,135.0,165.0
2023-08-06 11:00:00,919.0,1128.0,4158.0,0.0,159.0,174.0
2023-08-06 12:00:00,918.0,1129.0,4153.0,0.0,203.0,171.0
2023-08-06 13:00:00,919.0,1129.0,4168.0,0.0,253.0,169.0
2023-08-06 14:00:00,918.0,1128.0,4224.0,9.0,265.0,173.0
2023-08-06 15:00:00,917.0,1128.0,4391.0,42.0,242.0,170.0
2023-08-06 16:00:00,904.0,1128.0,4546.0,93.0,236.0,171.0
2023-08-06 17:00:00,866.0,1124.0,4937.0,56.0,331.0,177.0
2023-08-06 18:00:00,817.0,1124.0,5172.0,73.0,371.0,172.0
2023-08-06 19:00:00,817.0,1123.0,5628.0,77.0,402.0,170.0
2023-08-06 20:00:00,815.0,1124.0,5783.0,54.0,514.0,180.0
2023-08-06 21:00:00,814.0,1122.0,5808.0,50.0,641.0,180.0
2023-08-06 22:00:00,817.0,1123.0,5948.0,96.0,650.0,176.0
2023-08-06 23:00:00,905.0,1124.0,6710.0,50.0,593.0,181.0
