Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,nuclear,hydro,solar,wind,other
38472,2023-05-23 00:00:00,2024-07-17 00:00:00,3.1,29.6,5.0,0.0,11942.0,52.0,1975.0,150.0
38473,2023-05-23 01:00:00,2024-07-17 00:00:00,3.1,29.11,5.0,0.0,12065.0,51.0,1989.0,141.0
38474,2023-05-23 02:00:00,2024-07-17 00:00:00,3.1,29.51,5.0,0.0,12143.0,33.0,1968.0,150.0
38475,2023-05-23 03:00:00,2024-07-17 00:00:00,3.1,30.24,5.0,0.0,12221.0,16.0,1875.0,164.0
38476,2023-05-23 04:00:00,2024-07-17 00:00:00,3.1,30.74,5.0,0.0,12056.0,15.0,1843.0,172.0
38477,2023-05-23 05:00:00,2024-07-17 00:00:00,3.1,31.17,5.0,0.0,12345.0,22.0,1341.0,169.0
38478,2023-05-23 06:00:00,2024-07-17 00:00:00,3.1,31.86,5.0,0.0,12375.0,4.0,701.0,164.0
38479,2023-05-23 07:00:00,2024-07-17 00:00:00,3.1,32.48,6.0,0.0,12266.0,0.0,260.0,160.0
38480,2023-05-23 08:00:00,2024-07-17 00:00:00,3.1,31.74,5.0,0.0,12147.0,0.0,279.0,146.0
38481,2023-05-23 09:00:00,2024-07-17 00:00:00,3.1,32.4,5.0,0.0,12295.0,0.0,20.0,152.0
38482,2023-05-23 10:00:00,2024-07-17 00:00:00,3.1,32.24,5.0,0.0,12104.0,0.0,34.0,147.0
38483,2023-05-23 11:00:00,2024-07-17 00:00:00,3.1,32.28,5.0,0.0,12094.0,0.0,77.0,149.0
38484,2023-05-23 12:00:00,2024-07-17 00:00:00,3.1,31.65,5.0,0.0,12156.0,0.0,463.0,150.0
38485,2023-05-23 13:00:00,2024-07-17 00:00:00,3.1,30.62,5.0,0.0,12049.0,1.0,1240.0,152.0
38486,2023-05-23 14:00:00,2024-07-17 00:00:00,3.1,30.8,5.0,0.0,12093.0,65.0,1214.0,154.0
38487,2023-05-23 15:00:00,2024-07-17 00:00:00,3.1,31.1,5.0,0.0,12012.0,120.0,1082.0,154.0
38488,2023-05-23 16:00:00,2024-07-17 00:00:00,3.1,31.38,11.0,0.0,12185.0,124.0,908.0,152.0
38489,2023-05-23 17:00:00,2024-07-17 00:00:00,3.1,32.27,12.0,0.0,12607.0,128.0,550.0,163.0
38490,2023-05-23 18:00:00,2024-07-17 00:00:00,3.1,32.62,8.0,0.0,12663.0,130.0,193.0,162.0
38491,2023-05-23 19:00:00,2024-07-17 00:00:00,3.1,32.76,5.0,0.0,12707.0,130.0,60.0,163.0
38492,2023-05-23 20:00:00,2024-07-17 00:00:00,3.1,32.87,5.0,0.0,12849.0,131.0,30.0,166.0
38493,2023-05-23 21:00:00,2024-07-17 00:00:00,3.1,32.63,5.0,0.0,12851.0,130.0,23.0,161.0
38494,2023-05-23 22:00:00,2024-07-17 00:00:00,3.1,32.95,6.0,0.0,12868.0,132.0,27.0,167.0
38495,2023-05-23 23:00:00,2024-07-17 00:00:00,3.1,32.66,5.0,0.0,13127.0,132.0,44.0,166.0
