Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,hydro,solar,wind
38232,2023-05-13 00:00:00,2024-07-17 00:00:00,3.1,308.48,1123.0,374.0,1183.0,79.0,958.0
38233,2023-05-13 01:00:00,2024-07-17 00:00:00,3.1,302.94,1116.0,376.0,1232.0,57.0,990.0
38234,2023-05-13 02:00:00,2024-07-17 00:00:00,3.1,293.65,1102.0,368.0,1282.0,10.0,1076.0
38235,2023-05-13 03:00:00,2024-07-17 00:00:00,3.1,292.13,1095.0,331.0,1275.0,0.0,1073.0
38236,2023-05-13 04:00:00,2024-07-17 00:00:00,3.1,288.08,1070.0,273.0,1277.0,0.0,1036.0
38237,2023-05-13 05:00:00,2024-07-17 00:00:00,3.1,293.94,1083.0,272.0,1217.0,0.0,1041.0
38238,2023-05-13 06:00:00,2024-07-17 00:00:00,3.1,300.79,1099.0,270.0,1130.0,0.0,1066.0
38239,2023-05-13 07:00:00,2024-07-17 00:00:00,3.1,304.67,1065.0,271.0,1088.0,0.0,1000.0
38240,2023-05-13 08:00:00,2024-07-17 00:00:00,3.1,303.27,1063.0,271.0,1113.0,0.0,989.0
38241,2023-05-13 09:00:00,2024-07-17 00:00:00,3.1,305.63,1045.0,271.0,1112.0,0.0,931.0
38242,2023-05-13 10:00:00,2024-07-17 00:00:00,3.1,301.02,1019.0,271.0,1092.0,0.0,957.0
38243,2023-05-13 11:00:00,2024-07-17 00:00:00,3.1,300.54,1016.0,271.0,1112.0,0.0,938.0
38244,2023-05-13 12:00:00,2024-07-17 00:00:00,3.1,307.63,1065.0,271.0,1137.0,0.0,919.0
38245,2023-05-13 13:00:00,2024-07-17 00:00:00,3.1,307.17,1084.0,270.0,1150.0,16.0,930.0
38246,2023-05-13 14:00:00,2024-07-17 00:00:00,3.1,292.42,1081.0,263.0,1213.0,89.0,976.0
38247,2023-05-13 15:00:00,2024-07-17 00:00:00,3.1,293.57,1102.0,264.0,1197.0,111.0,997.0
38248,2023-05-13 16:00:00,2024-07-17 00:00:00,3.1,292.76,1070.0,285.0,1173.0,109.0,987.0
38249,2023-05-13 17:00:00,2024-07-17 00:00:00,3.1,294.49,1057.0,279.0,1167.0,122.0,931.0
38250,2023-05-13 18:00:00,2024-07-17 00:00:00,3.1,297.54,1053.0,272.0,1155.0,143.0,874.0
38251,2023-05-13 19:00:00,2024-07-17 00:00:00,3.1,299.18,1052.0,281.0,1162.0,155.0,841.0
38252,2023-05-13 20:00:00,2024-07-17 00:00:00,3.1,309.87,1074.0,290.0,1136.0,155.0,784.0
38253,2023-05-13 21:00:00,2024-07-17 00:00:00,3.1,313.43,1060.0,272.0,1181.0,133.0,686.0
38254,2023-05-13 22:00:00,2024-07-17 00:00:00,3.1,315.77,1062.0,273.0,1192.0,117.0,668.0
38255,2023-05-13 23:00:00,2024-07-17 00:00:00,3.1,329.27,1136.0,317.0,1233.0,84.0,654.0
