,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,hydro,solar,wind,other
0,2023-09-06 00:00:00,2023-09-08 18:25:38,3.0,345.12,406.0,654.0,235.0,827.0,64.0,162.0
1,2023-09-06 01:00:00,2023-09-08 18:25:38,3.0,374.06,411.0,1023.0,478.0,530.0,86.0,218.0
2,2023-09-06 02:00:00,2023-09-08 18:25:38,3.0,456.16,521.0,1361.0,509.0,114.0,52.0,223.0
3,2023-09-06 03:00:00,2023-09-08 18:25:38,3.0,487.06,606.0,1432.0,507.0,0.0,37.0,218.0
4,2023-09-06 04:00:00,2023-09-08 18:25:38,3.0,485.91,622.0,1430.0,506.0,0.0,56.0,218.0
5,2023-09-06 05:00:00,2023-09-08 18:25:38,3.0,489.23,631.0,1429.0,503.0,0.0,49.0,226.0
6,2023-09-06 06:00:00,2023-09-08 18:25:38,3.0,510.98,436.0,1430.0,273.0,0.0,29.0,226.0
7,2023-09-06 07:00:00,2023-09-08 18:25:38,3.0,509.37,446.0,1418.0,270.0,0.0,46.0,225.0
8,2023-09-06 08:00:00,2023-09-08 18:25:38,3.0,531.82,511.0,1223.0,222.0,0.0,43.0,232.0
9,2023-09-06 09:00:00,2023-09-08 18:25:38,3.0,584.67,545.0,1224.0,34.0,0.0,35.0,232.0
10,2023-09-06 10:00:00,2023-09-08 18:25:38,3.0,580.52,467.0,1186.0,30.0,0.0,27.0,231.0
11,2023-09-06 11:00:00,2023-09-08 18:25:38,3.0,578.65,422.0,1116.0,30.0,0.0,25.0,230.0
12,2023-09-06 12:00:00,2023-09-08 18:25:38,3.0,600.46,561.0,1035.0,30.0,0.0,25.0,233.0
13,2023-09-06 13:00:00,2023-09-08 18:25:38,3.0,529.46,539.0,1034.0,267.0,0.0,40.0,234.0
14,2023-09-06 14:00:00,2023-09-08 18:25:38,3.0,515.33,464.0,1033.0,271.0,17.0,24.0,206.0
15,2023-09-06 15:00:00,2023-09-08 18:25:38,3.0,454.95,453.0,845.0,250.0,318.0,5.0,185.0
16,2023-09-06 16:00:00,2023-09-08 18:25:38,3.0,346.5,385.0,455.0,218.0,758.0,0.0,145.0
17,2023-09-06 17:00:00,2023-09-08 18:25:38,3.0,312.5,374.0,444.0,218.0,958.0,2.0,132.0
18,2023-09-06 18:00:00,2023-09-08 18:25:38,3.0,323.76,379.0,442.0,34.0,1035.0,34.0,127.0
19,2023-09-06 19:00:00,2023-09-08 18:25:38,3.0,315.21,389.0,443.0,33.0,1053.0,95.0,128.0
20,2023-09-06 20:00:00,2023-09-08 18:25:38,3.0,346.31,536.0,453.0,33.0,1046.0,121.0,134.0
21,2023-09-06 21:00:00,2023-09-08 18:25:38,3.0,354.06,573.0,515.0,33.0,1053.0,135.0,132.0
22,2023-09-06 22:00:00,2023-09-08 18:25:38,3.0,367.35,631.0,638.0,37.0,1032.0,191.0,149.0
23,2023-09-06 23:00:00,2023-09-08 18:25:38,3.0,372.81,716.0,715.0,251.0,955.0,173.0,181.0
