UTC time,nat_gas,hydro
2023-08-21 00:00:00,222.0,121.0
2023-08-21 01:00:00,214.0,121.0
2023-08-21 02:00:00,210.0,120.0
2023-08-21 03:00:00,212.0,120.0
2023-08-21 04:00:00,172.0,120.0
2023-08-21 05:00:00,175.0,106.0
2023-08-21 06:00:00,173.0,104.0
2023-08-21 07:00:00,169.0,91.0
2023-08-21 08:00:00,171.0,74.0
2023-08-21 09:00:00,173.0,72.0
2023-08-21 10:00:00,174.0,73.0
2023-08-21 11:00:00,170.0,73.0
2023-08-21 12:00:00,168.0,73.0
2023-08-21 13:00:00,191.0,73.0
2023-08-21 14:00:00,208.0,87.0
2023-08-21 15:00:00,216.0,89.0
2023-08-21 16:00:00,178.0,89.0
2023-08-21 17:00:00,171.0,89.0
2023-08-21 18:00:00,194.0,89.0
2023-08-21 19:00:00,197.0,99.0
2023-08-21 20:00:00,209.0,104.0
2023-08-21 21:00:00,206.0,104.0
2023-08-21 22:00:00,199.0,105.0
2023-08-21 23:00:00,192.0,118.0
