UTC time,coal,nat_gas,nuclear,oil,hydro,solar,wind,biomass,unknown
2023-02-21 00:00:00,3024.0,281.0,3486.0,6.0,182.0,0.0,219.0,289.0,333.0
2023-02-21 01:00:00,3066.0,285.0,3486.0,7.0,177.0,0.0,222.0,290.0,331.0
2023-02-21 02:00:00,3050.0,281.0,3487.0,6.0,177.0,0.0,215.0,289.0,331.0
2023-02-21 03:00:00,3084.0,287.0,3485.0,8.0,175.0,0.0,219.0,291.0,335.0
2023-02-21 04:00:00,3226.0,288.0,3487.0,6.0,179.0,0.0,214.0,292.0,340.0
2023-02-21 05:00:00,3879.0,300.0,3489.0,4.0,413.0,6.0,211.0,291.0,371.0
2023-02-21 06:00:00,4030.0,309.0,3491.0,7.0,477.0,38.0,203.0,295.0,369.0
2023-02-21 07:00:00,4021.0,313.0,3492.0,8.0,435.0,170.0,203.0,298.0,373.0
2023-02-21 08:00:00,3909.0,315.0,3491.0,9.0,348.0,406.0,193.0,295.0,375.0
2023-02-21 09:00:00,3639.0,313.0,3487.0,10.0,246.0,549.0,165.0,293.0,375.0
2023-02-21 10:00:00,3322.0,311.0,3485.0,11.0,186.0,529.0,159.0,293.0,370.0
2023-02-21 11:00:00,3332.0,312.0,3480.0,10.0,181.0,517.0,157.0,295.0,369.0
2023-02-21 12:00:00,3270.0,309.0,3479.0,7.0,180.0,396.0,144.0,295.0,365.0
2023-02-21 13:00:00,3614.0,369.0,3476.0,5.0,181.0,241.0,127.0,297.0,366.0
2023-02-21 14:00:00,3864.0,510.0,3478.0,6.0,240.0,140.0,118.0,299.0,367.0
2023-02-21 15:00:00,4101.0,870.0,3479.0,7.0,305.0,58.0,116.0,302.0,372.0
2023-02-21 16:00:00,4310.0,1116.0,3480.0,10.0,493.0,12.0,102.0,301.0,378.0
2023-02-21 17:00:00,4398.0,1128.0,3481.0,11.0,517.0,2.0,85.0,301.0,376.0
2023-02-21 18:00:00,4348.0,1129.0,3481.0,11.0,577.0,0.0,77.0,301.0,379.0
2023-02-21 19:00:00,4241.0,1131.0,3479.0,11.0,501.0,0.0,72.0,301.0,380.0
2023-02-21 20:00:00,4119.0,1126.0,3480.0,12.0,361.0,0.0,62.0,301.0,370.0
2023-02-21 21:00:00,4022.0,1109.0,3481.0,11.0,240.0,0.0,44.0,298.0,347.0
2023-02-21 22:00:00,3926.0,1109.0,3481.0,11.0,199.0,0.0,38.0,297.0,342.0
2023-02-21 23:00:00,3886.0,1100.0,3484.0,9.0,267.0,0.0,32.0,297.0,340.0
