Unnamed: 0,UTC time,carbon_intensity,nat_gas,hydro,solar,wind,biomass,unknown
37104,2023-03-27 00:00:00,77.24,12.0,25.0,0.0,314.0,88.0,6.0
37105,2023-03-27 01:00:00,73.52,12.0,25.0,0.0,338.0,87.0,6.0
37106,2023-03-27 02:00:00,75.91,12.0,31.0,0.0,316.0,87.0,6.0
37107,2023-03-27 03:00:00,79.52,12.0,46.0,0.0,280.0,87.0,6.0
37108,2023-03-27 04:00:00,75.99,12.0,93.0,6.0,263.0,87.0,6.0
37109,2023-03-27 05:00:00,70.33,11.0,98.0,36.0,281.0,86.0,6.0
37110,2023-03-27 06:00:00,62.63,11.0,98.0,75.0,345.0,86.0,6.0
37111,2023-03-27 07:00:00,64.54,12.0,98.0,88.0,326.0,86.0,6.0
37112,2023-03-27 08:00:00,61.93,12.0,98.0,114.0,349.0,86.0,6.0
37113,2023-03-27 09:00:00,60.98,12.0,98.0,142.0,356.0,87.0,6.0
37114,2023-03-27 10:00:00,58.19,12.0,98.0,152.0,391.0,86.0,6.0
37115,2023-03-27 11:00:00,61.17,12.0,50.0,116.0,394.0,86.0,6.0
37116,2023-03-27 12:00:00,62.01,12.0,50.0,92.0,391.0,86.0,6.0
37117,2023-03-27 13:00:00,61.49,12.0,68.0,68.0,392.0,86.0,6.0
37118,2023-03-27 14:00:00,63.35,12.0,68.0,47.0,377.0,86.0,6.0
37119,2023-03-27 15:00:00,63.04,12.0,98.0,21.0,367.0,86.0,6.0
37120,2023-03-27 16:00:00,69.76,11.0,98.0,3.0,300.0,86.0,6.0
37121,2023-03-27 17:00:00,71.6,11.0,98.0,0.0,286.0,86.0,6.0
37122,2023-03-27 18:00:00,72.08,12.0,98.0,0.0,289.0,86.0,6.0
37123,2023-03-27 19:00:00,90.32,12.0,44.0,0.0,223.0,87.0,6.0
37124,2023-03-27 20:00:00,98.16,12.0,47.0,0.0,187.0,87.0,6.0
37125,2023-03-27 21:00:00,100.97,12.0,58.0,0.0,167.0,87.0,6.0
37126,2023-03-27 22:00:00,106.85,11.0,81.0,0.0,119.0,84.0,6.0
37127,2023-03-27 23:00:00,117.21,11.0,68.0,0.0,100.0,83.0,6.0
