Unnamed: 0,UTC time,carbon_intensity,nat_gas,hydro,solar,wind,biomass,unknown
36168,2023-02-16 00:00:00,43.57,20.0,63.0,0.0,77.0,83.0,6.0
36169,2023-02-16 01:00:00,39.03,20.0,97.0,0.0,72.0,83.0,6.0
36170,2023-02-16 02:00:00,53.14,20.0,42.0,0.0,63.0,83.0,7.0
36171,2023-02-16 03:00:00,49.46,20.0,73.0,0.0,48.0,83.0,7.0
36172,2023-02-16 04:00:00,54.93,20.0,58.0,0.0,40.0,83.0,7.0
36173,2023-02-16 05:00:00,43.75,20.0,97.0,0.0,43.0,82.0,6.0
36174,2023-02-16 06:00:00,42.38,20.0,97.0,6.0,45.0,82.0,6.0
36175,2023-02-16 07:00:00,43.44,20.0,96.0,18.0,39.0,83.0,7.0
36176,2023-02-16 08:00:00,42.63,20.0,97.0,32.0,29.0,83.0,7.0
36177,2023-02-16 09:00:00,41.55,20.0,97.0,44.0,24.0,83.0,7.0
36178,2023-02-16 10:00:00,38.52,19.0,97.0,53.0,29.0,82.0,7.0
36179,2023-02-16 11:00:00,37.22,19.0,98.0,47.0,44.0,82.0,7.0
36180,2023-02-16 12:00:00,39.26,20.0,97.0,39.0,47.0,81.0,7.0
36181,2023-02-16 13:00:00,40.49,19.0,94.0,26.0,46.0,81.0,7.0
36182,2023-02-16 14:00:00,46.26,20.0,74.0,9.0,56.0,81.0,7.0
36183,2023-02-16 15:00:00,50.33,20.0,49.0,1.0,69.0,81.0,7.0
36184,2023-02-16 16:00:00,44.47,20.0,47.0,0.0,90.0,81.0,6.0
36185,2023-02-16 17:00:00,44.46,20.0,47.0,0.0,103.0,80.0,7.0
36186,2023-02-16 18:00:00,42.47,20.0,47.0,0.0,113.0,82.0,7.0
36187,2023-02-16 19:00:00,37.34,20.0,88.0,0.0,109.0,82.0,7.0
36188,2023-02-16 20:00:00,41.7,20.0,47.0,0.0,118.0,82.0,7.0
36189,2023-02-16 21:00:00,47.75,21.0,35.0,0.0,101.0,83.0,7.0
36190,2023-02-16 22:00:00,47.8,20.0,35.0,0.0,95.0,82.0,7.0
36191,2023-02-16 23:00:00,46.69,20.0,59.0,0.0,88.0,82.0,8.0
