UTC time,coal,nat_gas,nuclear,oil,hydro,solar,wind,biomass
2023-10-06 00:00:00,1.0,2778.0,39263.0,143.0,2342.0,0.0,1581.0,399.0
2023-10-06 01:00:00,1.0,2247.0,39010.0,144.0,2084.0,0.0,1637.0,398.0
2023-10-06 02:00:00,1.0,1523.0,39355.0,145.0,2044.0,0.0,1625.0,403.0
2023-10-06 03:00:00,1.0,1418.0,39560.0,145.0,2154.0,0.0,1665.0,408.0
2023-10-06 04:00:00,1.0,1400.0,39517.0,145.0,2492.0,0.0,1648.0,405.0
2023-10-06 05:00:00,1.0,2746.0,39722.0,145.0,3141.0,222.0,1655.0,387.0
2023-10-06 06:00:00,1.0,3230.0,39904.0,145.0,3946.0,236.0,1739.0,389.0
2023-10-06 07:00:00,1.0,3357.0,40063.0,145.0,3872.0,757.0,1809.0,385.0
2023-10-06 08:00:00,1.0,3378.0,39533.0,144.0,3181.0,3366.0,1723.0,382.0
2023-10-06 09:00:00,1.0,2907.0,38514.0,144.0,2536.0,6833.0,1332.0,386.0
2023-10-06 10:00:00,1.0,1535.0,37767.0,144.0,2354.0,9388.0,1138.0,385.0
2023-10-06 11:00:00,1.0,1334.0,37214.0,144.0,2323.0,10906.0,1244.0,395.0
2023-10-06 12:00:00,1.0,1259.0,37322.0,143.0,2221.0,11506.0,1322.0,394.0
2023-10-06 13:00:00,1.0,1225.0,36753.0,143.0,2028.0,11272.0,1354.0,397.0
2023-10-06 14:00:00,1.0,1338.0,36534.0,143.0,2047.0,10202.0,1361.0,395.0
2023-10-06 15:00:00,1.0,1620.0,36514.0,143.0,2565.0,8257.0,1301.0,393.0
2023-10-06 16:00:00,1.0,2667.0,37108.0,143.0,2928.0,5182.0,1191.0,401.0
2023-10-06 17:00:00,1.0,3041.0,37223.0,143.0,4162.0,1821.0,1118.0,401.0
2023-10-06 18:00:00,1.0,3100.0,37400.0,143.0,4816.0,0.0,1154.0,403.0
2023-10-06 19:00:00,1.0,3004.0,36828.0,143.0,4565.0,0.0,1372.0,402.0
2023-10-06 20:00:00,1.0,2617.0,36385.0,143.0,3692.0,0.0,1675.0,403.0
2023-10-06 21:00:00,1.0,2738.0,36672.0,145.0,3436.0,0.0,1970.0,403.0
2023-10-06 22:00:00,6.0,2956.0,35528.0,145.0,3631.0,0.0,2005.0,404.0
2023-10-06 23:00:00,11.0,1839.0,35259.0,145.0,2943.0,0.0,2077.0,406.0
