Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,other
36768,2023-03-13 00:00:00,2024-07-17 00:00:00,3.1,224.84,0,4937.0,3219.0,0.0,3372.0,198.0,187.0
36769,2023-03-13 01:00:00,2024-07-17 00:00:00,3.1,228.84,0,5168.0,3095.0,0.0,3567.0,183.0,182.0
36770,2023-03-13 02:00:00,2024-07-17 00:00:00,3.1,230.96,0,5239.0,2952.0,0.0,3622.0,268.0,189.0
36771,2023-03-13 03:00:00,2024-07-17 00:00:00,3.1,218.53,0,4432.0,2840.0,0.0,3367.0,284.0,182.0
36772,2023-03-13 04:00:00,2024-07-17 00:00:00,3.1,219.52,0,4081.0,2780.0,0.0,2935.0,232.0,182.0
36773,2023-03-13 05:00:00,2024-07-17 00:00:00,3.1,219.16,0,3902.0,2680.0,20.0,2859.0,226.0,181.0
36774,2023-03-13 06:00:00,2024-07-17 00:00:00,3.1,401.67,0,3821.0,0.0,40.0,2844.0,277.0,2767.0
36775,2023-03-13 07:00:00,2024-07-17 00:00:00,3.1,400.76,0,3725.0,0.0,128.0,2885.0,297.0,2768.0
36776,2023-03-13 08:00:00,2024-07-17 00:00:00,3.1,399.58,0,3698.0,0.0,126.0,2899.0,299.0,2759.0
36777,2023-03-13 09:00:00,2024-07-17 00:00:00,3.1,402.67,0,4098.0,0.0,45.0,2937.0,299.0,2859.0
36778,2023-03-13 10:00:00,2024-07-17 00:00:00,3.1,406.65,0,4623.0,0.0,48.0,2958.0,296.0,2870.0
36779,2023-03-13 11:00:00,2024-07-17 00:00:00,3.1,417.19,0,5321.0,0.0,172.0,2890.0,277.0,2871.0
36780,2023-03-13 12:00:00,2024-07-17 00:00:00,3.1,404.07,0,6059.0,0.0,242.0,3505.0,285.0,2887.0
36781,2023-03-13 13:00:00,2024-07-17 00:00:00,3.1,405.02,0,6043.0,0.0,266.0,3523.0,274.0,2923.0
36782,2023-03-13 14:00:00,2024-07-17 00:00:00,3.1,409.35,0,5989.0,0.0,380.0,3519.0,209.0,2951.0
36783,2023-03-13 15:00:00,2024-07-17 00:00:00,3.1,410.75,0,5870.0,0.0,511.0,3532.0,176.0,2914.0
36784,2023-03-13 16:00:00,2024-07-17 00:00:00,3.1,412.32,0,5707.0,0.0,624.0,3524.0,176.0,2925.0
36785,2023-03-13 17:00:00,2024-07-17 00:00:00,3.1,412.35,0,5650.0,0.0,681.0,3566.0,160.0,2931.0
36786,2023-03-13 18:00:00,2024-07-17 00:00:00,3.1,411.35,0,5544.0,0.0,688.0,3574.0,157.0,2916.0
36787,2023-03-13 19:00:00,2024-07-17 00:00:00,3.1,412.02,0,5734.0,0.0,684.0,3583.0,140.0,2888.0
36788,2023-03-13 20:00:00,2024-07-17 00:00:00,3.1,412.63,0,5781.0,0.0,683.0,3545.0,166.0,2886.0
36789,2023-03-13 21:00:00,2024-07-17 00:00:00,3.1,410.84,0,6054.0,0.0,671.0,3614.0,210.0,2888.0
36790,2023-03-13 22:00:00,2024-07-17 00:00:00,3.1,406.41,0,6238.0,0.0,635.0,3767.0,239.0,2898.0
36791,2023-03-13 23:00:00,2024-07-17 00:00:00,3.1,411.56,0,6895.0,0.0,672.0,3771.0,209.0,2902.0
