,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,oil,hydro,solar,wind
0,2023-08-25 00:00:00,2023-08-27 18:30:16,3.0,548.99,1497.0,43.0,46.0,369.0,64.0,338.0
1,2023-08-25 01:00:00,2023-08-27 18:30:16,3.0,528.44,1496.0,34.0,48.0,370.0,46.0,448.0
2,2023-08-25 02:00:00,2023-08-27 18:30:16,3.0,507.55,1495.0,21.0,48.0,371.0,8.0,585.0
3,2023-08-25 03:00:00,2023-08-27 18:30:16,3.0,500.59,1494.0,67.0,56.0,364.0,0.0,636.0
4,2023-08-25 04:00:00,2023-08-27 18:30:16,3.0,504.31,1500.0,42.0,53.0,367.0,0.0,617.0
5,2023-08-25 05:00:00,2023-08-27 18:30:16,3.0,505.32,1502.0,25.0,58.0,366.0,0.0,616.0
6,2023-08-25 06:00:00,2023-08-27 18:30:16,3.0,526.58,1501.0,35.0,59.0,363.0,0.0,512.0
7,2023-08-25 07:00:00,2023-08-27 18:30:16,3.0,546.65,1507.0,34.0,61.0,361.0,0.0,425.0
8,2023-08-25 08:00:00,2023-08-27 18:30:16,3.0,534.11,1512.0,23.0,61.0,365.0,0.0,482.0
9,2023-08-25 09:00:00,2023-08-27 18:30:16,3.0,556.77,1505.0,15.0,60.0,366.0,0.0,377.0
10,2023-08-25 10:00:00,2023-08-27 18:30:16,3.0,575.87,1510.0,20.0,61.0,366.0,0.0,300.0
11,2023-08-25 11:00:00,2023-08-27 18:30:16,3.0,581.64,1510.0,14.0,61.0,360.0,0.0,284.0
12,2023-08-25 12:00:00,2023-08-27 18:30:16,3.0,594.59,1508.0,24.0,60.0,366.0,0.0,226.0
13,2023-08-25 13:00:00,2023-08-27 18:30:16,3.0,615.15,1507.0,35.0,60.0,361.0,1.0,153.0
14,2023-08-25 14:00:00,2023-08-27 18:30:16,3.0,630.44,1506.0,34.0,59.0,360.0,26.0,78.0
15,2023-08-25 15:00:00,2023-08-27 18:30:16,3.0,638.54,1510.0,17.0,59.0,359.0,53.0,32.0
16,2023-08-25 16:00:00,2023-08-27 18:30:16,3.0,624.87,1510.0,18.0,59.0,360.0,89.0,42.0
17,2023-08-25 17:00:00,2023-08-27 18:30:16,3.0,618.83,1506.0,28.0,58.0,361.0,86.0,61.0
18,2023-08-25 18:00:00,2023-08-27 18:30:16,3.0,611.73,1506.0,13.0,59.0,356.0,89.0,91.0
19,2023-08-25 19:00:00,2023-08-27 18:30:16,3.0,606.11,1507.0,15.0,57.0,359.0,92.0,105.0
20,2023-08-25 20:00:00,2023-08-27 18:30:16,3.0,603.68,1505.0,31.0,57.0,360.0,92.0,109.0
21,2023-08-25 21:00:00,2023-08-27 18:30:16,3.0,594.65,1504.0,29.0,56.0,352.0,92.0,150.0
22,2023-08-25 22:00:00,2023-08-27 18:30:16,3.0,589.92,1505.0,35.0,55.0,352.0,90.0,169.0
23,2023-08-25 23:00:00,2023-08-27 18:30:16,3.0,583.92,1502.0,34.0,54.0,357.0,90.0,186.0
