,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,oil,hydro,solar,wind
0,2023-09-01 00:00:00,2023-09-03 16:44:46,3.0,417.28,772.0,43.0,52.0,360.0,81.0,380.0
1,2023-09-01 01:00:00,2023-09-03 16:44:46,3.0,463.92,770.0,48.0,51.0,359.0,48.0,236.0
2,2023-09-01 02:00:00,2023-09-03 16:44:46,3.0,506.18,772.0,45.0,53.0,358.0,6.0,149.0
3,2023-09-01 03:00:00,2023-09-03 16:44:46,3.0,524.31,773.0,78.0,53.0,354.0,0.0,108.0
4,2023-09-01 04:00:00,2023-09-03 16:44:46,3.0,540.28,770.0,77.0,56.0,357.0,0.0,63.0
5,2023-09-01 05:00:00,2023-09-03 16:44:46,3.0,553.18,771.0,62.0,57.0,359.0,0.0,32.0
6,2023-09-01 06:00:00,2023-09-03 16:44:46,3.0,554.72,770.0,77.0,57.0,355.0,0.0,30.0
7,2023-09-01 07:00:00,2023-09-03 16:44:46,3.0,545.57,771.0,67.0,59.0,355.0,0.0,54.0
8,2023-09-01 08:00:00,2023-09-03 16:44:46,3.0,531.54,771.0,80.0,58.0,358.0,0.0,85.0
9,2023-09-01 09:00:00,2023-09-03 16:44:46,3.0,531.2,771.0,41.0,58.0,359.0,0.0,88.0
10,2023-09-01 10:00:00,2023-09-03 16:44:46,3.0,525.47,772.0,30.0,58.0,359.0,0.0,104.0
11,2023-09-01 11:00:00,2023-09-03 16:44:46,3.0,511.06,771.0,17.0,58.0,357.0,0.0,144.0
12,2023-09-01 12:00:00,2023-09-03 16:44:46,3.0,527.03,774.0,32.0,58.0,359.0,0.0,101.0
13,2023-09-01 13:00:00,2023-09-03 16:44:46,3.0,532.67,772.0,42.0,59.0,359.0,0.0,85.0
14,2023-09-01 14:00:00,2023-09-03 16:44:46,3.0,502.95,772.0,39.0,58.0,359.0,24.0,142.0
15,2023-09-01 15:00:00,2023-09-03 16:44:46,3.0,487.36,770.0,41.0,59.0,359.0,72.0,142.0
16,2023-09-01 16:00:00,2023-09-03 16:44:46,3.0,508.78,769.0,31.0,57.0,357.0,86.0,68.0
17,2023-09-01 17:00:00,2023-09-03 16:44:46,3.0,494.13,770.0,42.0,56.0,357.0,90.0,106.0
18,2023-09-01 18:00:00,2023-09-03 16:44:46,3.0,484.94,768.0,41.0,56.0,355.0,89.0,135.0
19,2023-09-01 19:00:00,2023-09-03 16:44:46,3.0,475.78,768.0,41.0,55.0,359.0,86.0,162.0
20,2023-09-01 20:00:00,2023-09-03 16:44:46,3.0,463.82,770.0,20.0,54.0,355.0,77.0,213.0
21,2023-09-01 21:00:00,2023-09-03 16:44:46,3.0,456.21,769.0,18.0,50.0,358.0,66.0,243.0
22,2023-09-01 22:00:00,2023-09-03 16:44:46,3.0,464.07,766.0,19.0,48.0,357.0,56.0,224.0
23,2023-09-01 23:00:00,2023-09-03 16:44:46,3.0,462.44,815.0,24.0,48.0,358.0,50.0,273.0
