Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,hydro,solar,other
38184,2023-05-11 00:00:00,2024-07-17 00:00:00,3.1,259.45,3287.0,3795.0,6150.0,1752.0,75.0,15.0
38185,2023-05-11 01:00:00,2024-07-17 00:00:00,3.1,257.83,3103.0,3808.0,6145.0,1571.0,3.0,15.0
38186,2023-05-11 02:00:00,2024-07-17 00:00:00,3.1,261.39,3022.0,3637.0,6147.0,1147.0,0.0,15.0
38187,2023-05-11 03:00:00,2024-07-17 00:00:00,3.1,260.89,2662.0,3190.0,6151.0,294.0,0.0,15.0
38188,2023-05-11 04:00:00,2024-07-17 00:00:00,3.1,238.61,2050.0,3001.0,6153.0,0.0,0.0,15.0
38189,2023-05-11 05:00:00,2024-07-17 00:00:00,3.1,224.96,1789.0,2906.0,6152.0,0.0,0.0,15.0
38190,2023-05-11 06:00:00,2024-07-17 00:00:00,3.1,214.84,1592.0,2893.0,6154.0,0.0,0.0,15.0
38191,2023-05-11 07:00:00,2024-07-17 00:00:00,3.1,212.7,1550.0,2894.0,6154.0,0.0,0.0,15.0
38192,2023-05-11 08:00:00,2024-07-17 00:00:00,3.1,212.64,1546.0,2904.0,6154.0,0.0,0.0,15.0
38193,2023-05-11 09:00:00,2024-07-17 00:00:00,3.1,212.9,1551.0,2908.0,6157.0,0.0,0.0,15.0
38194,2023-05-11 10:00:00,2024-07-17 00:00:00,3.1,215.9,1581.0,3002.0,6152.0,0.0,0.0,15.0
38195,2023-05-11 11:00:00,2024-07-17 00:00:00,3.1,228.97,1811.0,3147.0,6153.0,0.0,8.0,15.0
38196,2023-05-11 12:00:00,2024-07-17 00:00:00,3.1,238.72,2109.0,3049.0,6156.0,0.0,146.0,14.0
38197,2023-05-11 13:00:00,2024-07-17 00:00:00,3.1,227.51,1988.0,2974.0,6153.0,0.0,387.0,16.0
38198,2023-05-11 14:00:00,2024-07-17 00:00:00,3.1,217.44,1834.0,3034.0,6152.0,0.0,579.0,16.0
38199,2023-05-11 15:00:00,2024-07-17 00:00:00,3.1,215.28,1835.0,3000.0,6150.0,0.0,676.0,16.0
38200,2023-05-11 16:00:00,2024-07-17 00:00:00,3.1,210.68,1831.0,2949.0,6148.0,0.0,884.0,16.0
38201,2023-05-11 17:00:00,2024-07-17 00:00:00,3.1,209.89,1867.0,2817.0,6149.0,0.0,921.0,16.0
38202,2023-05-11 18:00:00,2024-07-17 00:00:00,3.1,212.55,2025.0,2896.0,6153.0,274.0,961.0,16.0
38203,2023-05-11 19:00:00,2024-07-17 00:00:00,3.1,228.68,2347.0,3058.0,6146.0,283.0,938.0,16.0
38204,2023-05-11 20:00:00,2024-07-17 00:00:00,3.1,241.48,2804.0,3172.0,6149.0,685.0,893.0,13.0
38205,2023-05-11 21:00:00,2024-07-17 00:00:00,3.1,240.2,2845.0,3519.0,6149.0,1136.0,793.0,14.0
38206,2023-05-11 22:00:00,2024-07-17 00:00:00,3.1,234.27,2865.0,3517.0,6151.0,1742.0,596.0,15.0
38207,2023-05-11 23:00:00,2024-07-17 00:00:00,3.1,230.88,2869.0,3724.0,6149.0,2409.0,282.0,14.0
