,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,hydro,solar,other
0,2023-08-10 00:00:00,2023-08-13 18:15:09,3.0,327.66,4364.0,4799.0,7213.0,2109.0,54.0,13.0
1,2023-08-10 01:00:00,2023-08-13 18:15:09,3.0,327.99,4371.0,4169.0,7207.0,1822.0,1.0,15.0
2,2023-08-10 02:00:00,2023-08-13 18:15:09,3.0,314.46,4134.0,3416.0,7206.0,1777.0,0.0,16.0
3,2023-08-10 03:00:00,2023-08-13 18:15:09,3.0,316.89,3840.0,3110.0,7206.0,954.0,0.0,16.0
4,2023-08-10 04:00:00,2023-08-13 18:15:09,3.0,308.07,3226.0,2959.0,7206.0,219.0,0.0,15.0
5,2023-08-10 05:00:00,2023-08-13 18:15:09,3.0,304.32,3038.0,2881.0,7211.0,0.0,0.0,16.0
6,2023-08-10 06:00:00,2023-08-13 18:15:09,3.0,302.4,3010.0,2822.0,7210.0,0.0,0.0,16.0
7,2023-08-10 07:00:00,2023-08-13 18:15:09,3.0,302.85,3037.0,2783.0,7211.0,0.0,0.0,15.0
8,2023-08-10 08:00:00,2023-08-13 18:15:09,3.0,296.38,2898.0,2718.0,7208.0,0.0,0.0,15.0
9,2023-08-10 09:00:00,2023-08-13 18:15:09,3.0,290.73,2776.0,2694.0,7218.0,0.0,0.0,14.0
10,2023-08-10 10:00:00,2023-08-13 18:15:09,3.0,296.49,2898.0,2730.0,7211.0,0.0,0.0,15.0
11,2023-08-10 11:00:00,2023-08-13 18:15:09,3.0,305.52,3097.0,2814.0,7217.0,0.0,0.0,15.0
12,2023-08-10 12:00:00,2023-08-13 18:15:09,3.0,311.12,3210.0,2910.0,7214.0,0.0,6.0,14.0
13,2023-08-10 13:00:00,2023-08-13 18:15:09,3.0,318.0,3332.0,3071.0,7208.0,0.0,5.0,16.0
14,2023-08-10 14:00:00,2023-08-13 18:15:09,3.0,322.67,3358.0,3447.0,7213.0,0.0,42.0,15.0
15,2023-08-10 15:00:00,2023-08-13 18:15:09,3.0,323.22,3422.0,3590.0,7215.0,0.0,212.0,15.0
16,2023-08-10 16:00:00,2023-08-13 18:15:09,3.0,326.63,3731.0,3657.0,7213.0,196.0,410.0,16.0
17,2023-08-10 17:00:00,2023-08-13 18:15:09,3.0,321.62,3636.0,3837.0,7212.0,201.0,621.0,17.0
18,2023-08-10 18:00:00,2023-08-13 18:15:09,3.0,313.64,3643.0,3706.0,7209.0,589.0,593.0,16.0
19,2023-08-10 19:00:00,2023-08-13 18:15:09,3.0,313.22,3829.0,3788.0,7207.0,986.0,596.0,15.0
20,2023-08-10 20:00:00,2023-08-13 18:15:09,3.0,309.26,4019.0,3948.0,7197.0,1600.0,670.0,17.0
21,2023-08-10 21:00:00,2023-08-13 18:15:09,3.0,315.27,4246.0,4252.0,7205.0,1804.0,672.0,16.0
22,2023-08-10 22:00:00,2023-08-13 18:15:09,3.0,321.57,4380.0,4262.0,7197.0,1842.0,472.0,15.0
23,2023-08-10 23:00:00,2023-08-13 18:15:09,3.0,317.0,4399.0,4229.0,7202.0,2356.0,231.0,14.0
