UTC time,coal,nat_gas,nuclear,oil,hydro,solar,wind,biomass,unknown
2023-08-23 00:00:00,85.0,449.0,2279.0,27.0,266.0,0.0,0.0,104.0,141.0
2023-08-23 01:00:00,84.0,452.0,2283.0,27.0,269.0,0.0,0.0,101.0,141.0
2023-08-23 02:00:00,84.0,460.0,2287.0,27.0,264.0,0.0,0.0,98.0,140.0
2023-08-23 03:00:00,84.0,464.0,2290.0,27.0,265.0,0.0,0.0,97.0,137.0
2023-08-23 04:00:00,84.0,442.0,2293.0,27.0,409.0,6.0,0.0,96.0,148.0
2023-08-23 05:00:00,84.0,447.0,2290.0,27.0,502.0,42.0,0.0,94.0,149.0
2023-08-23 06:00:00,84.0,441.0,2285.0,27.0,456.0,110.0,0.0,92.0,147.0
2023-08-23 07:00:00,84.0,433.0,2274.0,32.0,415.0,176.0,0.0,93.0,144.0
2023-08-23 08:00:00,84.0,433.0,2265.0,32.0,299.0,207.0,0.0,97.0,146.0
2023-08-23 09:00:00,84.0,437.0,2257.0,31.0,295.0,232.0,0.0,100.0,155.0
2023-08-23 10:00:00,82.0,428.0,2254.0,31.0,303.0,243.0,0.0,103.0,148.0
2023-08-23 11:00:00,82.0,422.0,2253.0,31.0,284.0,235.0,0.0,99.0,143.0
2023-08-23 12:00:00,82.0,419.0,2251.0,31.0,283.0,191.0,0.0,103.0,143.0
2023-08-23 13:00:00,82.0,428.0,2252.0,31.0,290.0,144.0,0.0,105.0,143.0
2023-08-23 14:00:00,82.0,422.0,2249.0,30.0,285.0,104.0,0.0,107.0,144.0
2023-08-23 15:00:00,82.0,407.0,2250.0,30.0,360.0,80.0,0.0,109.0,140.0
2023-08-23 16:00:00,82.0,430.0,2255.0,30.0,493.0,29.0,0.0,111.0,143.0
2023-08-23 17:00:00,82.0,447.0,2260.0,30.0,579.0,4.0,0.0,112.0,147.0
2023-08-23 18:00:00,85.0,451.0,2271.0,30.0,551.0,0.0,0.0,117.0,145.0
2023-08-23 19:00:00,85.0,445.0,2279.0,30.0,461.0,0.0,0.0,119.0,144.0
2023-08-23 20:00:00,85.0,459.0,2284.0,30.0,402.0,0.0,0.0,116.0,141.0
2023-08-23 21:00:00,85.0,450.0,2287.0,31.0,292.0,0.0,0.0,114.0,141.0
2023-08-23 22:00:00,85.0,451.0,2292.0,31.0,270.0,0.0,0.0,113.0,138.0
2023-08-23 23:00:00,85.0,447.0,2296.0,31.0,266.0,0.0,0.0,114.0,137.0
