UTC time,nat_gas,solar
2023-08-22 00:00:00,1100.0,179.0
2023-08-22 01:00:00,1094.0,113.0
2023-08-22 02:00:00,1127.0,48.0
2023-08-22 03:00:00,1143.0,38.0
2023-08-22 04:00:00,918.0,17.0
2023-08-22 05:00:00,897.0,3.0
2023-08-22 06:00:00,867.0,0.0
2023-08-22 07:00:00,705.0,0.0
2023-08-22 08:00:00,613.0,0.0
2023-08-22 09:00:00,631.0,0.0
2023-08-22 10:00:00,629.0,0.0
2023-08-22 11:00:00,630.0,0.0
2023-08-22 12:00:00,632.0,0.0
2023-08-22 13:00:00,631.0,0.0
2023-08-22 14:00:00,627.0,59.0
2023-08-22 15:00:00,627.0,164.0
2023-08-22 16:00:00,514.0,248.0
2023-08-22 17:00:00,573.0,249.0
2023-08-22 18:00:00,658.0,230.0
2023-08-22 19:00:00,802.0,230.0
2023-08-22 20:00:00,975.0,186.0
2023-08-22 21:00:00,1103.0,174.0
2023-08-22 22:00:00,1136.0,192.0
2023-08-22 23:00:00,1141.0,159.0
