,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,hydro,solar,other
0,2023-08-26 00:00:00,2023-08-28 00:48:23,3.0,343.41,824.0,2381.0,979.0,158.0,47.0,0.0
1,2023-08-26 01:00:00,2023-08-28 00:48:23,3.0,346.36,820.0,2310.0,979.0,158.0,0.0,0.0
2,2023-08-26 02:00:00,2023-08-28 00:48:23,3.0,338.74,756.0,2165.0,980.0,160.0,0.0,0.0
3,2023-08-26 03:00:00,2023-08-28 00:48:23,3.0,320.46,591.0,2079.0,979.0,153.0,0.0,0.0
4,2023-08-26 04:00:00,2023-08-28 00:48:23,3.0,299.68,450.0,1900.0,982.0,155.0,0.0,0.0
5,2023-08-26 05:00:00,2023-08-28 00:48:23,3.0,296.51,437.0,1815.0,980.0,153.0,0.0,0.0
6,2023-08-26 06:00:00,2023-08-28 00:48:23,3.0,305.53,440.0,1751.0,980.0,44.0,0.0,0.0
7,2023-08-26 07:00:00,2023-08-28 00:48:23,3.0,305.16,434.0,1643.0,981.0,15.0,0.0,0.0
8,2023-08-26 08:00:00,2023-08-28 00:48:23,3.0,303.79,436.0,1552.0,979.0,14.0,0.0,0.0
9,2023-08-26 09:00:00,2023-08-28 00:48:23,3.0,302.62,436.0,1518.0,982.0,15.0,0.0,0.0
10,2023-08-26 10:00:00,2023-08-28 00:48:23,3.0,303.91,441.0,1523.0,980.0,13.0,0.0,0.0
11,2023-08-26 11:00:00,2023-08-28 00:48:23,3.0,303.66,439.0,1530.0,980.0,14.0,0.0,0.0
12,2023-08-26 12:00:00,2023-08-28 00:48:23,3.0,296.59,441.0,1523.0,981.0,13.0,72.0,0.0
13,2023-08-26 13:00:00,2023-08-28 00:48:23,3.0,262.95,437.0,1486.0,981.0,14.0,436.0,0.0
14,2023-08-26 14:00:00,2023-08-28 00:48:23,3.0,247.15,441.0,1591.0,980.0,12.0,714.0,0.0
15,2023-08-26 15:00:00,2023-08-28 00:48:23,3.0,246.58,438.0,1770.0,982.0,14.0,802.0,0.0
16,2023-08-26 16:00:00,2023-08-28 00:48:23,3.0,248.06,439.0,1900.0,976.0,14.0,850.0,0.0
17,2023-08-26 17:00:00,2023-08-28 00:48:23,3.0,257.67,457.0,2177.0,979.0,15.0,846.0,0.0
18,2023-08-26 18:00:00,2023-08-28 00:48:23,3.0,270.53,528.0,2270.0,980.0,16.0,794.0,0.0
19,2023-08-26 19:00:00,2023-08-28 00:48:23,3.0,272.11,538.0,2364.0,977.0,39.0,799.0,0.0
20,2023-08-26 20:00:00,2023-08-28 00:48:23,3.0,278.62,596.0,2373.0,979.0,129.0,700.0,0.0
21,2023-08-26 21:00:00,2023-08-28 00:48:23,3.0,286.56,667.0,2356.0,978.0,262.0,548.0,0.0
22,2023-08-26 22:00:00,2023-08-28 00:48:23,3.0,295.64,757.0,2266.0,978.0,276.0,505.0,0.0
23,2023-08-26 23:00:00,2023-08-28 00:48:23,3.0,314.26,757.0,2251.0,981.0,218.0,274.0,0.0
