Unnamed: 0,UTC time,carbon_intensity,coal,nat_gas,oil,hydro,solar,wind
37872,2023-04-28 00:00:00,229.63,218.0,822.0,0.0,6.0,0.0,1000.0
37873,2023-04-28 01:00:00,209.01,197.0,785.0,0.0,6.0,0.0,1118.0
37874,2023-04-28 02:00:00,175.32,186.0,704.0,0.0,8.0,0.0,1394.0
37875,2023-04-28 03:00:00,181.29,179.0,798.0,0.0,55.0,7.0,1340.0
37876,2023-04-28 04:00:00,187.42,180.0,1196.0,0.0,213.0,246.0,1256.0
37877,2023-04-28 05:00:00,155.88,175.0,1284.0,0.0,334.0,1023.0,1085.0
37878,2023-04-28 06:00:00,115.38,174.0,1001.0,0.0,226.0,1924.0,1031.0
37879,2023-04-28 07:00:00,92.59,174.0,818.0,0.0,155.0,2645.0,905.0
37880,2023-04-28 08:00:00,87.55,192.0,797.0,0.0,155.0,3114.0,777.0
37881,2023-04-28 09:00:00,80.87,219.0,633.0,0.0,58.0,3385.0,659.0
37882,2023-04-28 10:00:00,75.73,217.0,574.0,0.0,33.0,3428.0,730.0
37883,2023-04-28 11:00:00,77.57,224.0,577.0,0.0,51.0,3267.0,828.0
37884,2023-04-28 12:00:00,81.59,213.0,615.0,0.0,49.0,2991.0,905.0
37885,2023-04-28 13:00:00,97.37,217.0,689.0,0.0,107.0,2501.0,798.0
37886,2023-04-28 14:00:00,124.62,228.0,757.0,0.0,167.0,1810.0,676.0
37887,2023-04-28 15:00:00,197.99,232.0,1185.0,0.0,170.0,916.0,602.0
37888,2023-04-28 16:00:00,279.93,227.0,1870.0,0.0,299.0,206.0,486.0
37889,2023-04-28 17:00:00,292.2,229.0,2146.0,0.0,513.0,6.0,419.0
37890,2023-04-28 18:00:00,286.43,242.0,2104.0,0.0,655.0,0.0,359.0
37891,2023-04-28 19:00:00,318.12,241.0,2031.0,0.0,375.0,0.0,291.0
37892,2023-04-28 20:00:00,338.11,266.0,1920.0,0.0,301.0,0.0,212.0
37893,2023-04-28 21:00:00,370.2,283.0,1838.0,0.0,136.0,0.0,161.0
37894,2023-04-28 22:00:00,395.18,274.0,1867.0,0.0,7.0,0.0,127.0
37895,2023-04-28 23:00:00,394.11,244.0,1807.0,0.0,6.0,0.0,110.0
