Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,hydro,solar,wind,biomass,unknown
37800,2023-04-25 00:00:00,2024-07-17 00:00:00,3.1,30.01,41.0,49.0,0.0,384.0,86.0,3.0
37801,2023-04-25 01:00:00,2024-07-17 00:00:00,3.1,32.0,41.0,49.0,0.0,349.0,86.0,3.0
37802,2023-04-25 02:00:00,2024-07-17 00:00:00,3.1,33.06,41.0,49.0,3.0,329.0,86.0,3.0
37803,2023-04-25 03:00:00,2024-07-17 00:00:00,3.1,33.06,41.0,72.0,22.0,287.0,86.0,3.0
37804,2023-04-25 04:00:00,2024-07-17 00:00:00,3.1,31.64,41.0,95.0,78.0,231.0,86.0,3.0
37805,2023-04-25 05:00:00,2024-07-17 00:00:00,3.1,28.79,40.0,98.0,165.0,182.0,86.0,3.0
37806,2023-04-25 06:00:00,2024-07-17 00:00:00,3.1,28.2,40.0,98.0,247.0,112.0,86.0,3.0
37807,2023-04-25 07:00:00,2024-07-17 00:00:00,3.1,25.77,39.0,98.0,303.0,98.0,86.0,3.0
37808,2023-04-25 08:00:00,2024-07-17 00:00:00,3.1,40.06,39.0,98.0,330.0,101.0,86.0,22.0
37809,2023-04-25 09:00:00,2024-07-17 00:00:00,3.1,29.17,40.0,90.0,334.0,116.0,77.0,8.0
37810,2023-04-25 10:00:00,2024-07-17 00:00:00,3.1,28.21,42.0,49.0,297.0,139.0,82.0,3.0
37811,2023-04-25 11:00:00,2024-07-17 00:00:00,3.1,28.26,43.0,49.0,241.0,202.0,86.0,3.0
37812,2023-04-25 12:00:00,2024-07-17 00:00:00,3.1,26.13,43.0,97.0,193.0,254.0,85.0,3.0
37813,2023-04-25 13:00:00,2024-07-17 00:00:00,3.1,27.34,43.0,87.0,140.0,287.0,85.0,3.0
37814,2023-04-25 14:00:00,2024-07-17 00:00:00,3.1,29.25,43.0,74.0,86.0,311.0,86.0,3.0
37815,2023-04-25 15:00:00,2024-07-17 00:00:00,3.1,37.6,43.0,49.0,41.0,247.0,86.0,3.0
37816,2023-04-25 16:00:00,2024-07-17 00:00:00,3.1,46.78,43.0,49.0,12.0,184.0,86.0,3.0
37817,2023-04-25 17:00:00,2024-07-17 00:00:00,3.1,45.22,43.0,98.0,1.0,159.0,86.0,3.0
37818,2023-04-25 18:00:00,2024-07-17 00:00:00,3.1,49.68,43.0,94.0,0.0,130.0,85.0,3.0
37819,2023-04-25 19:00:00,2024-07-17 00:00:00,3.1,46.04,43.0,98.0,0.0,153.0,86.0,3.0
37820,2023-04-25 20:00:00,2024-07-17 00:00:00,3.1,46.78,43.0,94.0,0.0,150.0,87.0,3.0
37821,2023-04-25 21:00:00,2024-07-17 00:00:00,3.1,54.77,43.0,49.0,0.0,140.0,87.0,3.0
37822,2023-04-25 22:00:00,2024-07-17 00:00:00,3.1,57.07,43.0,47.0,0.0,129.0,87.0,3.0
37823,2023-04-25 23:00:00,2024-07-17 00:00:00,3.1,56.89,43.0,47.0,0.0,130.0,87.0,3.0
