Unnamed: 0,UTC time,carbon_intensity,coal,nat_gas,oil,hydro,solar,wind,biomass,geothermal,unknown
36888,2023-03-18 00:00:00,221.7,142.0,462.0,0.0,595.0,0.0,27.0,80.0,6.0,34.0
36889,2023-03-18 01:00:00,218.84,142.0,462.0,0.0,590.0,0.0,48.0,80.0,6.0,33.0
36890,2023-03-18 02:00:00,221.53,141.0,462.0,0.0,564.0,0.0,55.0,80.0,6.0,33.0
36891,2023-03-18 03:00:00,216.82,142.0,462.0,0.0,598.0,0.0,51.0,80.0,6.0,32.0
36892,2023-03-18 04:00:00,213.63,142.0,460.0,0.0,627.0,0.0,41.0,80.0,6.0,32.0
36893,2023-03-18 05:00:00,169.58,143.0,460.0,0.0,977.0,2.0,53.0,80.0,6.0,32.0
36894,2023-03-18 06:00:00,161.6,143.0,460.0,0.0,1055.0,13.0,49.0,79.0,6.0,31.0
36895,2023-03-18 07:00:00,163.43,143.0,460.0,0.0,1045.0,26.0,29.0,78.0,6.0,32.0
36896,2023-03-18 08:00:00,170.84,142.0,462.0,0.0,965.0,36.0,19.0,79.0,5.0,32.0
36897,2023-03-18 09:00:00,177.15,139.0,460.0,0.0,883.0,42.0,21.0,79.0,5.0,32.0
36898,2023-03-18 10:00:00,180.51,139.0,459.0,0.0,833.0,46.0,35.0,79.0,5.0,32.0
36899,2023-03-18 11:00:00,182.84,138.0,460.0,0.0,792.0,46.0,51.0,79.0,5.0,31.0
36900,2023-03-18 12:00:00,184.91,138.0,459.0,0.0,763.0,42.0,65.0,79.0,5.0,31.0
36901,2023-03-18 13:00:00,183.18,138.0,461.0,0.0,783.0,37.0,68.0,79.0,4.0,31.0
36902,2023-03-18 14:00:00,192.85,138.0,507.0,0.0,761.0,26.0,63.0,79.0,4.0,31.0
36903,2023-03-18 15:00:00,182.36,140.0,507.0,0.0,887.0,12.0,51.0,79.0,5.0,32.0
36904,2023-03-18 16:00:00,160.77,140.0,508.0,0.0,1139.0,2.0,43.0,79.0,5.0,33.0
36905,2023-03-18 17:00:00,159.66,142.0,508.0,0.0,1160.0,0.0,45.0,79.0,5.0,33.0
36906,2023-03-18 18:00:00,161.32,141.0,508.0,0.0,1149.0,0.0,32.0,79.0,5.0,33.0
36907,2023-03-18 19:00:00,161.38,142.0,508.0,0.0,1148.0,0.0,36.0,79.0,5.0,33.0
36908,2023-03-18 20:00:00,161.46,142.0,508.0,0.0,1149.0,0.0,34.0,79.0,5.0,33.0
36909,2023-03-18 21:00:00,166.39,142.0,509.0,0.0,1087.0,0.0,37.0,79.0,5.0,32.0
36910,2023-03-18 22:00:00,186.19,142.0,507.0,0.0,898.0,0.0,23.0,79.0,5.0,32.0
36911,2023-03-18 23:00:00,221.32,142.0,460.0,0.0,598.0,0.0,31.0,75.0,5.0,34.0
