Unnamed: 0,UTC time,carbon_intensity,nat_gas,hydro,wind,biomass,unknown
39720,2023-07-14 00:00:00,272.45,0.0,0.0,18.0,10.0,12.0
39721,2023-07-14 01:00:00,270.23,0.0,0.0,20.0,10.0,13.0
39722,2023-07-14 02:00:00,336.81,0.0,0.0,12.0,11.0,14.0
39723,2023-07-14 03:00:00,343.38,0.0,0.0,12.0,12.0,15.0
39724,2023-07-14 04:00:00,286.81,0.0,0.0,20.0,12.0,15.0
39725,2023-07-14 05:00:00,270.28,0.0,0.0,26.0,14.0,17.0
39726,2023-07-14 06:00:00,251.06,0.0,0.0,27.0,12.0,15.0
39727,2023-07-14 07:00:00,238.3,0.0,0.0,28.0,12.0,14.0
39728,2023-07-14 08:00:00,230.18,0.0,0.0,30.0,11.0,14.0
39729,2023-07-14 09:00:00,161.18,0.0,20.0,37.0,11.0,14.0
39730,2023-07-14 10:00:00,132.77,0.0,30.0,48.0,12.0,14.0
39731,2023-07-14 11:00:00,136.81,0.0,19.0,59.0,12.0,15.0
39732,2023-07-14 12:00:00,116.83,0.0,13.0,72.0,11.0,13.0
39733,2023-07-14 13:00:00,116.52,0.0,4.0,67.0,9.0,11.0
39734,2023-07-14 14:00:00,120.19,0.0,47.0,45.0,12.0,14.0
39735,2023-07-14 15:00:00,176.46,0.0,32.0,32.0,14.0,18.0
39736,2023-07-14 16:00:00,118.68,0.0,89.0,28.0,14.0,17.0
39737,2023-07-14 17:00:00,64.95,0.0,260.0,19.0,13.0,15.0
39738,2023-07-14 18:00:00,59.11,0.0,313.0,14.0,12.0,15.0
39739,2023-07-14 19:00:00,56.15,0.0,316.0,17.0,11.0,14.0
39740,2023-07-14 20:00:00,63.24,0.0,250.0,18.0,11.0,14.0
39741,2023-07-14 21:00:00,71.4,0.0,208.0,14.0,12.0,14.0
39742,2023-07-14 22:00:00,360.47,0.0,2.0,6.0,10.0,12.0
39743,2023-07-14 23:00:00,384.5,0.0,0.0,6.0,10.0,12.0
